# For the net reaction C + CO + H2 -> C2H2 + O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.290E+26    C2H4+M->C2H2+H2+M
300.0   1.585E-08   2.007E+26    C2H4+M->C2H2+H2+M
300.0   2.512E-08   3.139E+26    C2H4+M->C2H2+H2+M
300.0   3.981E-08   4.946E+26    C2H4+M->C2H2+H2+M
300.0   6.310E-08   7.855E+26    C2H4+M->C2H2+H2+M
300.0   1.000E-07   1.260E+27    C2H4+M->C2H2+H2+M
300.0   1.585E-07   2.042E+27    C2H4+M->C2H2+H2+M
300.0   2.512E-07   3.189E+27    C2H4+M->C2H2+H2+M
300.0   3.981E-07   4.985E+27    C2H4+M->C2H2+H2+M
300.0   6.310E-07   7.845E+27    C2H4+M->C2H2+H2+M
300.0   1.000E-06   1.245E+28    C2H4+M->C2H2+H2+M
300.0   1.585E-06   1.993E+28    C2H4+M->C2H2+H2+M
300.0   2.512E-06   3.226E+28    C2H4+M->C2H2+H2+M
300.0   3.981E-06   5.066E+28    C2H4+M->C2H2+H2+M
300.0   6.310E-06   7.910E+28    C2H4+M->C2H2+H2+M
300.0   1.000E-05   1.244E+29    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   1.971E+29    C2H4+M->C2H2+H2+M
300.0   2.512E-05   3.153E+29    C2H4+M->C2H2+H2+M
300.0   3.981E-05   5.096E+29    C2H4+M->C2H2+H2+M
300.0   6.310E-05   8.043E+29    C2H4+M->C2H2+H2+M
300.0   1.000E-04   1.255E+30    C2H4+M->C2H2+H2+M
300.0   1.585E-04   1.971E+30    C2H4+M->C2H2+H2+M
300.0   2.512E-04   3.122E+30    C2H4+M->C2H2+H2+M
300.0   3.981E-04   4.988E+30    C2H4+M->C2H2+H2+M
300.0   6.310E-04   8.054E+30    C2H4+M->C2H2+H2+M
300.0   1.000E-03   1.277E+31    C2H4+M->C2H2+H2+M
300.0   1.585E-03   1.992E+31    C2H4+M->C2H2+H2+M
300.0   2.512E-03   3.127E+31    C2H4+M->C2H2+H2+M
300.0   3.981E-03   4.946E+31    C2H4+M->C2H2+H2+M
300.0   6.310E-03   7.894E+31    C2H4+M->C2H2+H2+M
300.0   1.000E-02   1.273E+32    C2H4+M->C2H2+H2+M
300.0   1.585E-02   2.029E+32    C2H4+M->C2H2+H2+M
300.0   2.512E-02   3.162E+32    C2H4+M->C2H2+H2+M
300.0   3.981E-02   4.959E+32    C2H4+M->C2H2+H2+M
300.0   6.310E-02   7.837E+32    C2H4+M->C2H2+H2+M
300.0   1.000E-01   1.249E+33    C2H4+M->C2H2+H2+M
300.0   1.585E-01   2.013E+33    C2H4+M->C2H2+H2+M
300.0   2.512E-01   3.223E+33    C2H4+M->C2H2+H2+M
300.0   3.981E-01   5.018E+33    C2H4+M->C2H2+H2+M
300.0   6.310E-01   7.866E+33    C2H4+M->C2H2+H2+M
300.0   1.000E+00   1.242E+34    C2H4+M->C2H2+H2+M
300.0   1.585E+00   1.978E+34    C2H4+M->C2H2+H2+M
300.0   2.512E+00   3.182E+34    C2H4+M->C2H2+H2+M
300.0   3.981E+00   5.119E+34    C2H4+M->C2H2+H2+M
300.0   6.310E+00   7.967E+34    C2H4+M->C2H2+H2+M
300.0   1.000E+01   1.248E+35    C2H4+M->C2H2+H2+M
300.0   1.585E+01   1.969E+35    C2H4+M->C2H2+H2+M
300.0   2.512E+01   3.132E+35    C2H4+M->C2H2+H2+M
300.0   3.981E+01   5.033E+35    C2H4+M->C2H2+H2+M
300.0   6.310E+01   8.133E+35    C2H4+M->C2H2+H2+M
300.0   1.000E+02   1.265E+36    C2H4+M->C2H2+H2+M
300.0   1.585E+02   1.980E+36    C2H4+M->C2H2+H2+M
300.0   2.512E+02   3.120E+36    C2H4+M->C2H2+H2+M
300.0   3.981E+02   4.960E+36    C2H4+M->C2H2+H2+M
300.0   6.310E+02   7.960E+36    C2H4+M->C2H2+H2+M
300.0   1.000E+03   1.292E+37    C2H4+M->C2H2+H2+M
350.0   1.000E-08   4.265E+12    C2H4+M->C2H2+H2+M
350.0   1.585E-08   6.943E+12    C2H4+M->C2H2+H2+M
350.0   2.512E-08   1.119E+13    C2H4+M->C2H2+H2+M
350.0   3.981E-08   1.797E+13    C2H4+M->C2H2+H2+M
350.0   6.310E-08   2.890E+13    C2H4+M->C2H2+H2+M
350.0   1.000E-07   4.672E+13    C2H4+M->C2H2+H2+M
350.0   1.585E-07   7.611E+13    C2H4+M->C2H2+H2+M
