# For the net reaction CH4 + CH4 -> C2H6 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   7.178E-67    CH3+C2H6->CH4+C2H5  
300.0   1.585E-08   5.706E-67    CH3+C2H6->CH4+C2H5  
300.0   2.512E-08   4.534E-67    CH3+C2H6->CH4+C2H5  
300.0   3.981E-08   3.603E-67    CH3+C2H6->CH4+C2H5  
300.0   6.310E-08   2.861E-67    CH3+C2H6->CH4+C2H5  
300.0   1.000E-07   2.272E-67    CH3+C2H6->CH4+C2H5  
300.0   1.585E-07   1.803E-67    CH3+C2H6->CH4+C2H5  
300.0   2.512E-07   1.433E-67    CH3+C2H6->CH4+C2H5  
300.0   3.981E-07   1.139E-67    CH3+C2H6->CH4+C2H5  
300.0   6.310E-07   9.049E-68    CH3+C2H6->CH4+C2H5  
300.0   1.000E-06   7.187E-68    CH3+C2H6->CH4+C2H5  
300.0   1.585E-06   5.707E-68    CH3+C2H6->CH4+C2H5  
300.0   2.512E-06   4.530E-68    CH3+C2H6->CH4+C2H5  
300.0   3.981E-06   3.600E-68    CH3+C2H6->CH4+C2H5  
300.0   6.310E-06   2.861E-68    CH3+C2H6->CH4+C2H5  
300.0   1.000E-05   2.273E-68    CH3+C2H6->CH4+C2H5  
300.0   1.585E-05   1.806E-68    CH3+C2H6->CH4+C2H5  
300.0   2.512E-05   1.434E-68    CH3+C2H6->CH4+C2H5  
300.0   3.981E-05   1.138E-68    CH3+C2H6->CH4+C2H5  
300.0   6.310E-05   9.043E-69    CH3+C2H6->CH4+C2H5  
300.0   1.000E-04   7.188E-69    CH3+C2H6->CH4+C2H5  
300.0   1.585E-04   5.711E-69    CH3+C2H6->CH4+C2H5  
300.0   2.512E-04   4.536E-69    CH3+C2H6->CH4+C2H5  
300.0   3.981E-04   3.602E-69    CH3+C2H6->CH4+C2H5  
300.0   6.310E-04   2.860E-69    CH3+C2H6->CH4+C2H5  
300.0   1.000E-03   2.272E-69    CH3+C2H6->CH4+C2H5  
300.0   1.585E-03   1.805E-69    CH3+C2H6->CH4+C2H5  
300.0   2.512E-03   1.435E-69    CH3+C2H6->CH4+C2H5  
300.0   3.981E-03   1.140E-69    CH3+C2H6->CH4+C2H5  
300.0   6.310E-03   9.049E-70    CH3+C2H6->CH4+C2H5  
