# For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const
300.0   1.000E-08   1.345E-79
300.0   1.585E-08   1.069E-79
300.0   2.512E-08   8.499E-80
300.0   3.981E-08   6.752E-80
300.0   6.310E-08   5.363E-80
300.0   1.000E-07   4.258E-80
300.0   1.585E-07   3.380E-80
300.0   2.512E-07   2.686E-80
300.0   3.981E-07   2.135E-80
300.0   6.310E-07   1.696E-80
300.0   1.000E-06   1.347E-80
300.0   1.585E-06   1.070E-80
300.0   2.512E-06   8.490E-81
300.0   3.981E-06   6.747E-81
300.0   6.310E-06   5.362E-81
300.0   1.000E-05   4.260E-81
300.0   1.585E-05   3.384E-81
300.0   2.512E-05   2.687E-81
300.0   3.981E-05   2.133E-81
300.0   6.310E-05   1.695E-81
300.0   1.000E-04   1.347E-81
300.0   1.585E-04   1.070E-81
300.0   2.512E-04   8.500E-82
300.0   3.981E-04   6.750E-82
300.0   6.310E-04   5.358E-82
300.0   1.000E-03   4.256E-82
300.0   1.585E-03   3.383E-82
300.0   2.512E-03   2.688E-82
300.0   3.981E-03   2.135E-82
300.0   6.310E-03   1.696E-82
300.0   1.000E-02   1.346E-82
300.0   1.585E-02   1.069E-82
300.0   2.512E-02   8.497E-83
300.0   3.981E-02   6.752E-83
300.0   6.310E-02   5.363E-83
300.0   1.000E-01   4.259E-83
300.0   1.585E-01   3.381E-83
300.0   2.512E-01   2.685E-83
300.0   3.981E-01   2.134E-83
300.0   6.310E-01   1.696E-83
300.0   1.000E+00   1.347E-83
300.0   1.585E+00   1.070E-83
300.0   2.512E+00   8.494E-84
300.0   3.981E+00   6.744E-84
300.0   6.310E+00   5.361E-84
300.0   1.000E+01   4.260E-84
300.0   1.585E+01   3.384E-84
300.0   2.512E+01   2.688E-84
300.0   3.981E+01   2.134E-84
300.0   6.310E+01   1.694E-84
300.0   1.000E+02   1.346E-84
300.0   1.585E+02   1.070E-84
300.0   2.512E+02   8.501E-85
300.0   3.981E+02   6.751E-85
300.0   6.310E+02   5.360E-85
300.0   1.000E+03   4.254E-85
350.0   1.000E-08   2.338E-68
350.0   1.585E-08   1.859E-68
350.0   2.512E-08   1.477E-68
350.0   3.981E-08   1.174E-68
