# For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.736E-84    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   1.493E-84    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   5.957E-85    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   2.374E-85    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   9.448E-86    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   3.755E-86    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   1.491E-86    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   5.948E-87    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   2.373E-87    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   9.454E-88    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   3.763E-88    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   1.496E-88    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   5.937E-89    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   2.367E-89    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   9.445E-90    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   3.764E-90    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   1.498E-90    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   5.956E-91    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   2.365E-91    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   9.423E-92    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   3.760E-92    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   1.499E-92    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   5.966E-93    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   2.372E-93    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   9.419E-94    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   3.750E-94    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   1.497E-94    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   5.966E-95    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   2.375E-95    C2H4+M->C2H2+H2+M   
300.0   6.310E-03   9.446E-96    C2H4+M->C2H2+H2+M   
300.0   1.000E-02   3.751E-96    C2H4+M->C2H2+H2+M   
300.0   1.585E-02   1.492E-96    C2H4+M->C2H2+H2+M   
300.0   2.512E-02   5.957E-97    C2H4+M->C2H2+H2+M   
300.0   3.981E-02   2.375E-97    C2H4+M->C2H2+H2+M   
300.0   6.310E-02   9.457E-98    C2H4+M->C2H2+H2+M   
300.0   1.000E-01   3.761E-98    C2H4+M->C2H2+H2+M   
300.0   1.585E-01   1.494E-98    C2H4+M->C2H2+H2+M   
300.0   2.512E-01   5.940E-99    C2H4+M->C2H2+H2+M   
300.0   3.981E-01   2.371E-99    C2H4+M->C2H2+H2+M   
300.0   6.310E-01  9.453E-100    C2H4+M->C2H2+H2+M   
300.0   1.000E+00  3.765E-100    C2H4+M->C2H2+H2+M   
