# For the net reaction CH4 + CO -> C2H2 + H + OH
T           Pbar    rate const            Reaction
500.0   1.000E-06   1.548E-49    CH3OH+H->CH3+H2O    
500.0   1.000E-05   4.155E-48    CH3OH+H->CH3+H2O    
500.0   1.000E-04   6.066E-47    C2H4+M->C2H2+H2+M   
500.0   1.000E-03   6.333E-47    C2H4+M->C2H2+H2+M   
500.0   1.000E-02   6.345E-47    C2H4+M->C2H2+H2+M   
500.0   1.000E-01   6.297E-47    C2H4+M->C2H2+H2+M   
500.0   1.000E+00   6.281E-47    C2H4+M->C2H2+H2+M   
500.0   1.000E+01   6.294E-47    C2H4+M->C2H2+H2+M   
500.0   1.000E+02   6.331E-47    C2H4+M->C2H2+H2+M   
750.0   1.000E-06   5.263E-38    CH3+CH3+M->C2H6+M   
750.0   1.000E-05   5.258E-36    CH3+CH3+M->C2H6+M   
750.0   1.000E-04   6.530E-36    CH2OH+H->OH+CH3     
750.0   1.000E-03   1.063E-36    CH2OH+H->OH+CH3     
750.0   1.000E-02   7.327E-36    CH3OH+H->CH3+H2O    
750.0   1.000E-01   2.648E-34    CH3OH+H->CH3+H2O    
750.0   1.000E+00   2.237E-33    H+C2H2+M->C2H3+M    
750.0   1.000E+01   8.201E-34    H+C2H2+M->C2H3+M    
750.0   1.000E+02   5.493E-34    C2H4+M->C2H2+H2+M   
1000.0  1.000E-06   7.333E-32    C2H2+OH->CH3+CO     
1000.0  1.000E-05   2.301E-32    C2H2+OH->CH3+CO     
1000.0  1.000E-04   9.905E-31    CH3+CH3+M->C2H6+M   
1000.0  1.000E-03   9.735E-29    CH3+CH3+M->C2H6+M   
1000.0  1.000E-02   1.129E-28    CH2OH+H->OH+CH3     
1000.0  1.000E-01   1.816E-29    CH2OH+H->OH+CH3     
1000.0  1.000E+00   2.232E-28    OH+CH3+M->CH3OH+M   
1000.0  1.000E+01   6.618E-27    OH+CH3+M->CH3OH+M   
1000.0  1.000E+02   2.563E-27    H+C2H2+M->C2H3+M    
1250.0  1.000E-06   2.445E-26    C2H2+O->CH2+CO      
1250.0  1.000E-05   4.562E-27    C2H2+OH->CH3+CO     
1250.0  1.000E-04   1.129E-27    C2H2+OH->CH3+CO     
1250.0  1.000E-03   5.319E-27    CH3+CH3+M->C2H6+M   
1250.0  1.000E-02   5.119E-25    CH3+CH3+M->C2H6+M   
1250.0  1.000E-01   4.231E-24    CH2OH+H->OH+CH3     
1250.0  1.000E+00   5.536E-25    CH2OH+H->OH+CH3     
1250.0  1.000E+01   3.563E-24    OH+CH3+M->CH3OH+M   
1250.0  1.000E+02   5.201E-23    H+C2H2+M->C2H3+M    
1500.0  1.000E-06   1.256E-21    C2H2+O->CH2+CO      
1500.0  1.000E-05   1.306E-22    C2H2+O->CH2+CO      
1500.0  1.000E-04   1.514E-23    C2H2+O->CH2+CO      
1500.0  1.000E-03   2.192E-24    C2H2+O->CH2+CO      
1500.0  1.000E-02   5.738E-24    CH3+CH3+M->C2H6+M   
1500.0  1.000E-01   2.224E-22    H+C2H6->C2H5+H2     
1500.0  1.000E+00   2.286E-21    CH2OH+H->OH+CH3     
