# For the net reaction NH3 + NH3 -> N2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   4.620E-92    N+NH3->N2H+H2       
300.0   1.585E-08   3.673E-92    N+NH3->N2H+H2       
300.0   2.512E-08   2.950E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-08   2.950E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-08   2.952E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-07   2.957E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-07   2.963E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-07   2.964E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-07   2.967E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-07   2.977E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-06   2.995E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-06   3.025E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-06   3.072E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-06   3.140E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-06   3.251E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-05   3.439E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-05   3.757E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-05   4.305E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   5.276E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   6.972E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   9.883E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-04   1.478E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-04   2.284E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-04   3.596E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-04   5.727E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-03   9.066E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-03   1.424E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-03   2.246E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-03   3.556E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-03   5.655E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-02   9.039E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-02   1.437E-89    NH2+NH2->N2H2+H2    
300.0   2.512E-02   2.258E-89    NH2+NH2->N2H2+H2    
300.0   3.981E-02   3.560E-89    NH2+NH2->N2H2+H2    
300.0   6.310E-02   5.635E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-01   8.956E-89    NH2+NH2->N2H2+H2    
300.0   1.585E-01   1.431E-88    NH2+NH2->N2H2+H2    
300.0   2.512E-01   2.280E-88    NH2+NH2->N2H2+H2    
300.0   3.981E-01   3.582E-88    NH2+NH2->N2H2+H2    
300.0   6.310E-01   5.645E-88    NH2+NH2->N2H2+H2    
300.0   1.000E+00   8.929E-88    NH2+NH2->N2H2+H2    
300.0   1.585E+00   1.419E-87    NH2+NH2->N2H2+H2    
300.0   2.512E+00   2.265E-87    NH2+NH2->N2H2+H2    
300.0   3.981E+00   3.617E-87    NH2+NH2->N2H2+H2    
300.0   6.310E+00   5.681E-87    NH2+NH2->N2H2+H2    
300.0   1.000E+01   8.951E-87    NH2+NH2->N2H2+H2    
300.0   1.585E+01   1.415E-86    NH2+NH2->N2H2+H2    
300.0   2.512E+01   2.247E-86    NH2+NH2->N2H2+H2    
300.0   3.981E+01   3.587E-86    NH2+NH2->N2H2+H2    
300.0   6.310E+01   5.740E-86    NH2+NH2->N2H2+H2    
300.0   1.000E+02   7.568E-86    N2H2+H->N2H+H2      
300.0   1.585E+02   9.481E-86    N2H2+H->N2H+H2      
300.0   2.512E+02   1.191E-85    N2H2+H->N2H+H2      
300.0   3.981E+02   1.501E-85    N2H2+H->N2H+H2      
300.0   6.310E+02   1.899E-85    N2H2+H->N2H+H2      
300.0   1.000E+03   2.413E-85    N2H2+H->N2H+H2      
350.0   1.000E-08   1.214E-77    N+NH3->N2H+H2       
350.0   1.585E-08   9.654E-78    N+NH3->N2H+H2       
350.0   2.512E-08   7.672E-78    N+NH3->N2H+H2       
350.0   3.981E-08   6.096E-78    N+NH3->N2H+H2       
350.0   6.310E-08   4.842E-78    N+NH3->N2H+H2       
350.0   1.000E-07   3.844E-78    N+NH3->N2H+H2       
350.0   1.585E-07   3.052E-78    N+NH3->N2H+H2       
350.0   2.512E-07   2.426E-78    N+NH3->N2H+H2       
350.0   3.981E-07   1.928E-78    N+NH3->N2H+H2       
350.0   6.310E-07   1.533E-78    N+NH3->N2H+H2       
350.0   1.000E-06   1.218E-78    N+NH3->N2H+H2       
350.0   1.585E-06   9.682E-79    N+NH3->N2H+H2       
350.0   2.512E-06   7.698E-79    N+NH3->N2H+H2       
350.0   3.981E-06   6.132E-79    N+NH3->N2H+H2       
350.0   6.310E-06   4.894E-79    N+NH3->N2H+H2       
350.0   1.000E-05   3.913E-79    N+NH3->N2H+H2       
350.0   1.585E-05   3.140E-79    N+NH3->N2H+H2       
350.0   2.512E-05   2.533E-79    N+NH3->N2H+H2       
350.0   3.981E-05   2.061E-79    N+NH3->N2H+H2       
350.0   6.310E-05   2.070E-79    NH2+NH2->N2H2+H2    
350.0   1.000E-04   2.252E-79    NH2+NH2->N2H2+H2    
350.0   1.585E-04   2.562E-79    NH2+NH2->N2H2+H2    
350.0   2.512E-04   3.094E-79    NH2+NH2->N2H2+H2    
350.0   3.981E-04   4.008E-79    NH2+NH2->N2H2+H2    
350.0   6.310E-04   5.553E-79    NH2+NH2->N2H2+H2    
350.0   1.000E-03   8.058E-79    NH2+NH2->N2H2+H2    
350.0   1.585E-03   1.201E-78    NH2+NH2->N2H2+H2    
350.0   2.512E-03   1.835E-78    NH2+NH2->N2H2+H2    
350.0   3.981E-03   2.855E-78    NH2+NH2->N2H2+H2    
350.0   6.310E-03   4.505E-78    NH2+NH2->N2H2+H2    
350.0   1.000E-02   7.176E-78    NH2+NH2->N2H2+H2    
350.0   1.585E-02   1.139E-77    NH2+NH2->N2H2+H2    
350.0   2.512E-02   1.790E-77    NH2+NH2->N2H2+H2    
350.0   3.981E-02   2.821E-77    NH2+NH2->N2H2+H2    
