# For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const
300.0   1.000E-08   1.326E-82
300.0   1.585E-08   8.350E-83
300.0   2.512E-08   5.263E-83
300.0   3.981E-08   3.320E-83
300.0   6.310E-08   2.096E-83
300.0   1.000E-07   1.324E-83
300.0   1.585E-07   8.362E-84
300.0   2.512E-07   5.269E-84
300.0   3.981E-07   3.321E-84
300.0   6.310E-07   2.095E-84
300.0   1.000E-06   1.322E-84
300.0   1.585E-06   8.351E-85
300.0   2.512E-06   5.276E-85
300.0   3.981E-06   3.326E-85
300.0   6.310E-06   2.097E-85
300.0   1.000E-05   1.323E-85
300.0   1.585E-05   8.353E-86
300.0   2.512E-05   5.275E-86
300.0   3.981E-05   3.330E-86
300.0   6.310E-05   2.102E-86
300.0   1.000E-04   1.328E-86
300.0   1.585E-04   8.385E-87
300.0   2.512E-04   5.291E-87
300.0   3.981E-04   3.337E-87
300.0   6.310E-04   2.103E-87
300.0   1.000E-03   1.327E-87
300.0   1.585E-03   8.382E-88
300.0   2.512E-03   5.292E-88
300.0   3.981E-03   3.339E-88
300.0   6.310E-03   2.106E-88
300.0   1.000E-02   1.327E-88
300.0   1.585E-02   8.371E-89
300.0   2.512E-02   5.288E-89
300.0   3.981E-02   3.339E-89
300.0   6.310E-02   2.107E-89
300.0   1.000E-01   1.329E-89
300.0   1.585E-01   8.374E-90
300.0   2.512E-01   5.281E-90
300.0   3.981E-01   3.336E-90
300.0   6.310E-01   2.107E-90
300.0   1.000E+00   1.329E-90
300.0   1.585E+00   8.384E-91
300.0   2.512E+00   5.285E-91
300.0   3.981E+00   3.331E-91
300.0   6.310E+00   2.105E-91
300.0   1.000E+01   1.329E-91
300.0   1.585E+01   8.388E-92
300.0   2.512E+01   5.291E-92
300.0   3.981E+01   3.335E-92
300.0   6.310E+01   2.102E-92
300.0   1.000E+02   1.328E-92
300.0   1.585E+02   8.386E-93
300.0   2.512E+02   5.293E-93
300.0   3.981E+02   3.338E-93
300.0   6.310E+02   2.104E-93
300.0   1.000E+03   1.326E-93
350.0   1.000E-08   2.868E-69
350.0   1.585E-08   1.807E-69
350.0   2.512E-08   1.139E-69
350.0   3.981E-08   7.185E-70
350.0   6.310E-08   4.535E-70
350.0   1.000E-07   2.864E-70
350.0   1.585E-07   1.810E-70
350.0   2.512E-07   1.140E-70
350.0   3.981E-07   7.189E-71
350.0   6.310E-07   4.535E-71
350.0   1.000E-06   2.863E-71
350.0   1.585E-06   1.809E-71
350.0   2.512E-06   1.144E-71
350.0   3.981E-06   7.217E-72
350.0   6.310E-06   4.556E-72
