# For the net reaction CO + NH3  -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.935E-67    HCN+OH->HNCO+H
300.0   1.585E-08   1.521E-67    HCN+OH->HNCO+H
300.0   2.512E-08   1.199E-67    HCN+OH->HNCO+H
300.0   3.981E-08   9.496E-68    HCN+OH->HNCO+H
300.0   6.310E-08   7.553E-68    HCN+OH->HNCO+H
300.0   1.000E-07   6.038E-68    HCN+OH->HNCO+H
300.0   1.585E-07   4.852E-68    HCN+OH->HNCO+H
300.0   2.512E-07   3.823E-68    HCN+OH->HNCO+H
300.0   3.981E-07   3.015E-68    HCN+OH->HNCO+H
300.0   6.310E-07   2.386E-68    HCN+OH->HNCO+H
300.0   1.000E-06   1.897E-68    HCN+OH->HNCO+H
300.0   1.585E-06   1.515E-68    HCN+OH->HNCO+H
300.0   2.512E-06   1.217E-68    HCN+OH->HNCO+H
300.0   3.981E-06   9.621E-69    HCN+OH->HNCO+H
300.0   6.310E-06   7.591E-69    HCN+OH->HNCO+H
300.0   1.000E-05   6.015E-69    HCN+OH->HNCO+H
300.0   1.585E-05   4.786E-69    HCN+OH->HNCO+H
300.0   2.512E-05   3.823E-69    HCN+OH->HNCO+H
300.0   3.981E-05   3.059E-69    HCN+OH->HNCO+H
300.0   6.310E-05   2.432E-69    HCN+OH->HNCO+H
300.0   1.000E-04   1.933E-69    HCN+OH->HNCO+H
300.0   1.585E-04   1.537E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.222E-69    HCN+OH->HNCO+H
300.0   3.981E-04   9.706E-70    HCN+OH->HNCO+H
300.0   6.310E-04   7.707E-70    HCN+OH->HNCO+H
300.0   1.000E-03   6.122E-70    HCN+OH->HNCO+H
300.0   1.585E-03   4.866E-70    HCN+OH->HNCO+H
300.0   2.512E-03   3.866E-70    HCN+OH->HNCO+H
300.0   3.981E-03   3.071E-70    HCN+OH->HNCO+H
300.0   6.310E-03   2.439E-70    HCN+OH->HNCO+H
300.0   1.000E-02   1.936E-70    HCN+OH->HNCO+H
300.0   1.585E-02   1.538E-70    HCN+OH->HNCO+H
300.0   2.512E-02   1.222E-70    HCN+OH->HNCO+H
300.0   3.981E-02   9.712E-71    HCN+OH->HNCO+H
300.0   6.310E-02   7.715E-71    HCN+OH->HNCO+H
300.0   1.000E-01   6.126E-71    HCN+OH->HNCO+H
300.0   1.585E-01   4.864E-71    HCN+OH->HNCO+H
300.0   2.512E-01   3.862E-71    HCN+OH->HNCO+H
300.0   3.981E-01   3.070E-71    HCN+OH->HNCO+H
300.0   6.310E-01   2.439E-71    HCN+OH->HNCO+H
300.0   1.000E+00   1.938E-71    HCN+OH->HNCO+H
300.0   1.585E+00   1.539E-71    HCN+OH->HNCO+H
300.0   2.512E+00   1.222E-71    HCN+OH->HNCO+H
300.0   3.981E+00   9.701E-72    HCN+OH->HNCO+H
300.0   6.310E+00   7.711E-72    HCN+OH->HNCO+H
300.0   1.000E+01   6.127E-72    HCN+OH->HNCO+H
