# For the net reaction C2H2 + H2 + H2 -> C2H6
T           Pbar    rate const
300.0   1.000E-08   2.083E-57
300.0   1.585E-08   1.315E-57
300.0   2.512E-08   8.300E-58
300.0   3.981E-08   5.239E-58
300.0   6.310E-08   3.306E-58
300.0   1.000E-07   2.086E-58
300.0   1.585E-07   1.316E-58
300.0   2.512E-07   8.306E-59
300.0   3.981E-07   5.241E-59
300.0   6.310E-07   3.307E-59
300.0   1.000E-06   2.086E-59
300.0   1.585E-06   1.316E-59
300.0   2.512E-06   8.306E-60
300.0   3.981E-06   5.241E-60
300.0   6.310E-06   3.307E-60
300.0   1.000E-05   2.086E-60
300.0   1.585E-05   1.317E-60
300.0   2.512E-05   8.307E-61
300.0   3.981E-05   5.241E-61
300.0   6.310E-05   3.307E-61
300.0   1.000E-04   2.087E-61
300.0   1.585E-04   1.317E-61
300.0   2.512E-04   8.307E-62
300.0   3.981E-04   5.241E-62
300.0   6.310E-04   3.307E-62
300.0   1.000E-03   2.087E-62
300.0   1.585E-03   1.317E-62
300.0   2.512E-03   8.307E-63
300.0   3.981E-03   5.241E-63
300.0   6.310E-03   3.307E-63
300.0   1.000E-02   2.087E-63
300.0   1.585E-02   1.317E-63
300.0   2.512E-02   8.307E-64
300.0   3.981E-02   5.241E-64
300.0   6.310E-02   3.307E-64
300.0   1.000E-01   2.087E-64
300.0   1.585E-01   1.317E-64
300.0   2.512E-01   8.307E-65
300.0   3.981E-01   5.241E-65
300.0   6.310E-01   3.307E-65
300.0   1.000E+00   2.087E-65
300.0   1.585E+00   1.317E-65
300.0   2.512E+00   8.307E-66
300.0   3.981E+00   5.241E-66
300.0   6.310E+00   3.307E-66
300.0   1.000E+01   2.087E-66
300.0   1.585E+01   1.317E-66
300.0   2.512E+01   8.307E-67
300.0   3.981E+01   5.241E-67
300.0   6.310E+01   3.307E-67
300.0   1.000E+02   2.087E-67
300.0   1.585E+02   1.317E-67
300.0   2.512E+02   8.307E-68
300.0   3.981E+02   5.241E-68
300.0   6.310E+02   3.307E-68
300.0   1.000E+03   2.087E-68
350.0   1.000E-08   1.911E-52
350.0   1.585E-08   1.263E-52
350.0   2.512E-08   8.213E-53
350.0   3.981E-08   5.285E-53
350.0   6.310E-08   3.377E-53
350.0   1.000E-07   2.148E-53
350.0   1.585E-07   1.362E-53
350.0   2.512E-07   8.622E-54
350.0   3.981E-07   5.451E-54
350.0   6.310E-07   3.444E-54
350.0   1.000E-06   2.175E-54
350.0   1.585E-06   1.373E-54
350.0   2.512E-06   8.665E-55
350.0   3.981E-06   5.468E-55
350.0   6.310E-06   3.451E-55
350.0   1.000E-05   2.177E-55
350.0   1.585E-05   1.374E-55
350.0   2.512E-05   8.669E-56
350.0   3.981E-05   5.470E-56
350.0   6.310E-05   3.451E-56
350.0   1.000E-04   2.178E-56
350.0   1.585E-04   1.374E-56
350.0   2.512E-04   8.670E-57
350.0   3.981E-04   5.471E-57
350.0   6.310E-04   3.452E-57
350.0   1.000E-03   2.178E-57
350.0   1.585E-03   1.374E-57
350.0   2.512E-03   8.671E-58
350.0   3.981E-03   5.471E-58
350.0   6.310E-03   3.452E-58
350.0   1.000E-02   2.178E-58
350.0   1.585E-02   1.374E-58
350.0   2.512E-02   8.671E-59
350.0   3.981E-02   5.471E-59
350.0   6.310E-02   3.452E-59
350.0   1.000E-01   2.178E-59
350.0   1.585E-01   1.374E-59
350.0   2.512E-01   8.671E-60
350.0   3.981E-01   5.471E-60
350.0   6.310E-01   3.452E-60
350.0   1.000E+00   2.178E-60
350.0   1.585E+00   1.374E-60
350.0   2.512E+00   8.671E-61
350.0   3.981E+00   5.471E-61
350.0   6.310E+00   3.452E-61
350.0   1.000E+01   2.178E-61
350.0   1.585E+01   1.374E-61
350.0   2.512E+01   8.671E-62
350.0   3.981E+01   5.471E-62
350.0   6.310E+01   3.452E-62
350.0   1.000E+02   2.178E-62
350.0   1.585E+02   1.374E-62
350.0   2.512E+02   8.671E-63
350.0   3.981E+02   5.471E-63
350.0   6.310E+02   3.452E-63
350.0   1.000E+03   2.178E-63
400.0   1.000E-08   2.596E-49
400.0   1.585E-08   2.313E-49
400.0   2.512E-08   1.973E-49
400.0   3.981E-08   1.600E-49
400.0   6.310E-08   1.231E-49
400.0   1.000E-07   9.011E-50
400.0   1.585E-07   6.327E-50
400.0   2.512E-07   4.298E-50
400.0   3.981E-07   2.849E-50
400.0   6.310E-07   1.857E-50
400.0   1.000E-06   1.197E-50
400.0   1.585E-06   7.655E-51
400.0   2.512E-06   4.872E-51
400.0   3.981E-06   3.091E-51
400.0   6.310E-06   1.957E-51
400.0   1.000E-05   1.238E-51
400.0   1.585E-05   7.819E-52
400.0   2.512E-05   4.938E-52
400.0   3.981E-05   3.117E-52
400.0   6.310E-05   1.968E-52
400.0   1.000E-04   1.242E-52
400.0   1.585E-04   7.836E-53
400.0   2.512E-04   4.945E-53
400.0   3.981E-04   3.120E-53
400.0   6.310E-04   1.969E-53
400.0   1.000E-03   1.242E-53
400.0   1.585E-03   7.838E-54
400.0   2.512E-03   4.946E-54
400.0   3.981E-03   3.120E-54
400.0   6.310E-03   1.969E-54
400.0   1.000E-02   1.242E-54
400.0   1.585E-02   7.839E-55
400.0   2.512E-02   4.946E-55
400.0   3.981E-02   3.121E-55
400.0   6.310E-02   1.969E-55
400.0   1.000E-01   1.242E-55
400.0   1.585E-01   7.839E-56
400.0   2.512E-01   4.946E-56
400.0   3.981E-01   3.121E-56
400.0   6.310E-01   1.969E-56
400.0   1.000E+00   1.242E-56
400.0   1.585E+00   7.839E-57
400.0   2.512E+00   4.946E-57
400.0   3.981E+00   3.121E-57
400.0   6.310E+00   1.969E-57
400.0   1.000E+01   1.242E-57
400.0   1.585E+01   7.839E-58
