# For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.575E-84    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   1.428E-84    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   5.700E-85    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   2.271E-85    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   9.040E-86    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   3.593E-86    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   1.426E-86    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   5.691E-87    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   2.270E-87    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   9.046E-88    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   3.600E-88    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   1.431E-88    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   5.681E-89    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   2.265E-89    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   9.037E-90    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   3.601E-90    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   1.434E-90    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   5.699E-91    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   2.263E-91    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   9.016E-92    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   3.597E-92    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   2.272E-92    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   1.434E-92    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   9.048E-93    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   5.708E-93    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   3.600E-93    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   2.270E-93    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   1.430E-93    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   9.012E-94    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   5.678E-94    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   3.588E-94    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   2.267E-94    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   1.432E-94    C2H4+M->C2H2+H2+M   
300.0   1.995E-03   9.042E-95    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   5.708E-95    C2H4+M->C2H2+H2+M   
300.0   3.162E-03   3.602E-95    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   2.273E-95    C2H4+M->C2H2+H2+M   
300.0   5.012E-03   1.433E-95    C2H4+M->C2H2+H2+M   
300.0   6.310E-03   9.037E-96    C2H4+M->C2H2+H2+M   
300.0   7.943E-03   5.696E-96    C2H4+M->C2H2+H2+M   
300.0   1.000E-02   3.589E-96    C2H4+M->C2H2+H2+M   
300.0   1.259E-02   2.260E-96    C2H4+M->C2H2+H2+M   
300.0   1.585E-02   1.428E-96    C2H4+M->C2H2+H2+M   
300.0   1.995E-02   9.023E-97    C2H4+M->C2H2+H2+M   
300.0   2.512E-02   5.699E-97    C2H4+M->C2H2+H2+M   
300.0   3.162E-02   3.599E-97    C2H4+M->C2H2+H2+M   
300.0   3.981E-02   2.272E-97    C2H4+M->C2H2+H2+M   
300.0   5.012E-02   1.434E-97    C2H4+M->C2H2+H2+M   
300.0   6.310E-02   9.048E-98    C2H4+M->C2H2+H2+M   
300.0   7.943E-02   5.707E-98    C2H4+M->C2H2+H2+M   
300.0   1.000E-01   3.599E-98    C2H4+M->C2H2+H2+M   
300.0   1.259E-01   2.268E-98    C2H4+M->C2H2+H2+M   
300.0   1.585E-01   1.429E-98    C2H4+M->C2H2+H2+M   
300.0   1.995E-01   9.003E-99    C2H4+M->C2H2+H2+M   
300.0   2.512E-01   5.683E-99    C2H4+M->C2H2+H2+M   
300.0   3.162E-01   3.591E-99    C2H4+M->C2H2+H2+M   
300.0   3.981E-01   2.268E-99    C2H4+M->C2H2+H2+M   
300.0   5.012E-01   1.433E-99    C2H4+M->C2H2+H2+M   
300.0   6.310E-01  9.045E-100    C2H4+M->C2H2+H2+M   
300.0   7.943E-01  5.709E-100    C2H4+M->C2H2+H2+M   
300.0   1.000E+00  3.602E-100    C2H4+M->C2H2+H2+M   
300.0   1.259E+00  2.272E-100    C2H4+M->C2H2+H2+M   
300.0   1.585E+00  1.433E-100    C2H4+M->C2H2+H2+M   
300.0   1.995E+00  9.032E-101    C2H4+M->C2H2+H2+M   
300.0   2.512E+00  5.692E-101    C2H4+M->C2H2+H2+M   
300.0   3.162E+00  3.586E-101    C2H4+M->C2H2+H2+M   
