# For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.331E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-08   1.058E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-08   8.405E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-08   6.678E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-08   5.304E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-07   4.211E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-07   3.342E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-07   2.657E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-07   2.111E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-07   1.677E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-06   1.332E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-06   1.058E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-06   8.397E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-06   6.672E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-06   5.303E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-05   4.213E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-05   3.347E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-05   2.657E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-05   2.109E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-05   1.676E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-04   1.332E-81    CH3OH+H->CH3+H2O    
300.0   1.259E-04   1.187E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-04   1.058E-81    CH3OH+H->CH3+H2O    
300.0   1.995E-04   9.433E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-04   8.407E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-04   7.492E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-04   6.676E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-04   5.948E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-04   5.299E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-04   4.721E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-03   4.210E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-03   3.753E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-03   3.346E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-03   2.983E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-03   2.658E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-03   2.369E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-03   2.112E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-03   1.882E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-03   1.677E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-03   1.494E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-02   1.331E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-02   1.186E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-02   1.057E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-02   9.427E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-02   8.404E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-02   7.491E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-02   6.678E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-02   5.952E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-02   5.305E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-02   4.727E-83    CH3OH+H->CH3+H2O    
300.0   1.000E-01   4.212E-83    CH3OH+H->CH3+H2O    
300.0   1.259E-01   3.753E-83    CH3OH+H->CH3+H2O    
300.0   1.585E-01   3.344E-83    CH3OH+H->CH3+H2O    
300.0   1.995E-01   2.979E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-01   2.656E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-01   2.368E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-01   2.111E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-01   1.882E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-01   1.677E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-01   1.495E-83    CH3OH+H->CH3+H2O    
300.0   1.000E+00   1.332E-83    CH3OH+H->CH3+H2O    
300.0   1.259E+00   1.187E-83    CH3OH+H->CH3+H2O    
300.0   1.585E+00   1.058E-83    CH3OH+H->CH3+H2O    
300.0   1.995E+00   9.429E-84    CH3OH+H->CH3+H2O    
300.0   2.512E+00   8.401E-84    CH3OH+H->CH3+H2O    
300.0   3.162E+00   7.484E-84    CH3OH+H->CH3+H2O    
300.0   3.981E+00   6.670E-84    CH3OH+H->CH3+H2O    
300.0   5.012E+00   5.947E-84    CH3OH+H->CH3+H2O    
