# For the net reaction CO + CH4 -> C2H2 + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.411E-89    OH+C2H2+M->CH3CO+M  
300.0   1.585E-08   1.768E-89    OH+C2H2+M->CH3CO+M  
300.0   2.512E-08   2.219E-89    OH+C2H2+M->CH3CO+M  
300.0   3.981E-08   2.788E-89    OH+C2H2+M->CH3CO+M  
300.0   6.310E-08   3.512E-89    OH+C2H2+M->CH3CO+M  
300.0   1.000E-07   4.434E-89    OH+C2H2+M->CH3CO+M  
300.0   1.585E-07   5.613E-89    OH+C2H2+M->CH3CO+M  
300.0   2.512E-07   7.042E-89    OH+C2H2+M->CH3CO+M  
300.0   3.981E-07   8.835E-89    OH+C2H2+M->CH3CO+M  
300.0   6.310E-07   1.110E-88    OH+C2H2+M->CH3CO+M  
300.0   1.000E-06   1.398E-88    OH+C2H2+M->CH3CO+M  
300.0   1.585E-06   1.764E-88    OH+C2H2+M->CH3CO+M  
300.0   2.512E-06   2.233E-88    OH+C2H2+M->CH3CO+M  
300.0   3.981E-06   2.804E-88    OH+C2H2+M->CH3CO+M  
300.0   6.310E-06   3.517E-88    OH+C2H2+M->CH3CO+M  
300.0   1.000E-05   4.418E-88    OH+C2H2+M->CH3CO+M  
300.0   1.585E-05   5.558E-88    OH+C2H2+M->CH3CO+M  
300.0   2.512E-05   7.009E-88    OH+C2H2+M->CH3CO+M  
300.0   3.981E-05   8.860E-88    OH+C2H2+M->CH3CO+M  
300.0   6.310E-05   1.113E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-04   1.392E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-04   1.557E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-04   1.742E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-04   1.949E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-04   2.180E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-04   2.437E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-04   2.724E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-04   3.043E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-04   3.396E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-04   3.783E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-03   4.182E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-03   4.609E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-03   5.064E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-03   5.542E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-03   6.034E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-03   6.532E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-03   7.021E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-03   7.487E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-03   7.912E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-03   8.275E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-02   8.559E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-02   8.751E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-02   8.783E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-02   8.696E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-02   8.502E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-02   8.212E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-02   7.843E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-02   7.414E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-02   6.945E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-02   6.455E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-01   5.960E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-01   5.472E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-01   5.002E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-01   4.556E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-01   4.120E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-01   3.708E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-01   3.330E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-01   2.986E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-01   2.675E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-01   2.394E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E+00   2.142E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E+00   1.915E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E+00   1.713E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E+00   1.532E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E+00   1.370E-87    OH+C2H2+M->CH3CO+M  
