# For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   7.252E-89    N+NH3->N2H+H2       
300.0   1.585E-08   3.626E-89    N+NH3->N2H+H2       
300.0   2.512E-08   3.708E-89    NH2+NH2->N2H2+H2    
300.0   3.981E-08   2.337E-89    NH2+NH2->N2H2+H2    
300.0   6.310E-08   1.476E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-07   9.340E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-07   5.918E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-07   3.719E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-07   2.340E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   1.475E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   9.315E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-06   5.892E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-06   3.732E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-06   2.349E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   1.478E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   9.324E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-05   5.891E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-05   3.726E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   2.356E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   1.488E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   9.395E-93    NH2+NH2->N2H2+H2    
300.0   1.259E-04   7.467E-93    NH2+NH2->N2H2+H2    
300.0   1.585E-04   5.934E-93    NH2+NH2->N2H2+H2    
300.0   1.995E-04   4.715E-93    NH2+NH2->N2H2+H2    
300.0   2.512E-04   3.746E-93    NH2+NH2->N2H2+H2    
300.0   3.162E-04   2.975E-93    NH2+NH2->N2H2+H2    
300.0   3.981E-04   2.362E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   1.875E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   1.489E-93    NH2+NH2->N2H2+H2    
300.0   7.943E-04   1.182E-93    NH2+NH2->N2H2+H2    
300.0   1.000E-03   9.394E-94    NH2+NH2->N2H2+H2    
300.0   1.259E-03   7.467E-94    NH2+NH2->N2H2+H2    
