# 01Xsolar and C/O = 1: # For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.329E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-08   1.057E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-08   8.399E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-08   6.672E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-08   5.300E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-07   4.208E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-07   3.340E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-07   2.654E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-07   2.110E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-07   1.676E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-06   1.331E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-06   1.057E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-06   8.390E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-06   6.667E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-06   5.299E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-05   4.210E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-05   3.344E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-05   2.655E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-05   2.108E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-05   1.675E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-04   1.331E-81    CH3OH+H->CH3+H2O    
300.0   1.259E-04   1.186E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-04   1.057E-81    CH3OH+H->CH3+H2O    
300.0   1.995E-04   9.425E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-04   8.400E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-04   7.485E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-04   6.670E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-04   5.943E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-04   5.295E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-04   4.717E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-03   4.206E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-03   3.750E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-03   3.343E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-03   2.980E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-03   2.656E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-03   2.368E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-03   2.110E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-03   1.880E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-03   1.676E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-03   1.493E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-02   1.330E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-02   1.185E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-02   1.056E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-02   9.419E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-02   8.397E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-02   7.485E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-02   6.672E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-02   5.947E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-02   5.300E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-02   4.723E-83    CH3OH+H->CH3+H2O    
300.0   1.000E-01   4.209E-83    CH3OH+H->CH3+H2O    
300.0   1.259E-01   3.750E-83    CH3OH+H->CH3+H2O    
300.0   1.585E-01   3.341E-83    CH3OH+H->CH3+H2O    
300.0   1.995E-01   2.977E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-01   2.653E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-01   2.366E-83    CH3OH+H->CH3+H2O    
