# 01Xsolar and C/O = 1: # For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.295E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   8.154E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   5.140E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   3.243E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   2.047E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   1.293E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   8.167E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   5.146E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   3.244E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   2.046E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   1.292E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   8.157E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   5.152E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   3.249E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   2.050E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   1.294E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   8.174E-86    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   5.160E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   3.253E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   2.054E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   1.297E-86    CH2NH2+H->CH2NH+H2  
300.0   1.259E-04   1.031E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   8.191E-87    CH2NH2+H->CH2NH+H2  
300.0   1.995E-04   6.507E-87    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   5.168E-87    CH2NH2+H->CH2NH+H2  
300.0   3.162E-04   4.104E-87    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   3.259E-87    CH2NH2+H->CH2NH+H2  
300.0   5.012E-04   2.587E-87    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   2.053E-87    CH2NH2+H->CH2NH+H2  
300.0   7.943E-04   1.630E-87    CH2NH2+H->CH2NH+H2  
300.0   1.000E-03   1.296E-87    CH2NH2+H->CH2NH+H2  
300.0   1.259E-03   1.030E-87    CH2NH2+H->CH2NH+H2  
300.0   1.585E-03   8.186E-88    CH2NH2+H->CH2NH+H2  
300.0   1.995E-03   6.505E-88    CH2NH2+H->CH2NH+H2  
300.0   2.512E-03   5.168E-88    CH2NH2+H->CH2NH+H2  
300.0   3.162E-03   4.105E-88    CH2NH2+H->CH2NH+H2  
300.0   3.981E-03   3.261E-88    CH2NH2+H->CH2NH+H2  
300.0   5.012E-03   2.590E-88    CH2NH2+H->CH2NH+H2  
300.0   6.310E-03   2.056E-88    CH2NH2+H->CH2NH+H2  
300.0   7.943E-03   1.632E-88    CH2NH2+H->CH2NH+H2  
300.0   1.000E-02   1.296E-88    CH2NH2+H->CH2NH+H2  
300.0   1.259E-02   1.028E-88    CH2NH2+H->CH2NH+H2  
300.0   1.585E-02   8.174E-89    CH2NH2+H->CH2NH+H2  
300.0   1.995E-02   6.498E-89    CH2NH2+H->CH2NH+H2  
300.0   2.512E-02   5.164E-89    CH2NH2+H->CH2NH+H2  
300.0   3.162E-02   4.104E-89    CH2NH2+H->CH2NH+H2  
300.0   3.981E-02   3.261E-89    CH2NH2+H->CH2NH+H2  
300.0   5.012E-02   2.590E-89    CH2NH2+H->CH2NH+H2  
300.0   6.310E-02   2.058E-89    CH2NH2+H->CH2NH+H2  
300.0   7.943E-02   1.634E-89    CH2NH2+H->CH2NH+H2  
300.0   1.000E-01   1.298E-89    CH2NH2+H->CH2NH+H2  
300.0   1.259E-01   1.030E-89    CH2NH2+H->CH2NH+H2  
300.0   1.585E-01   8.177E-90    CH2NH2+H->CH2NH+H2  
300.0   1.995E-01   6.490E-90    CH2NH2+H->CH2NH+H2  
300.0   2.512E-01   5.157E-90    CH2NH2+H->CH2NH+H2  
300.0   3.162E-01   4.099E-90    CH2NH2+H->CH2NH+H2  
300.0   3.981E-01   3.258E-90    CH2NH2+H->CH2NH+H2  
300.0   5.012E-01   2.589E-90    CH2NH2+H->CH2NH+H2  
300.0   6.310E-01   2.057E-90    CH2NH2+H->CH2NH+H2  
300.0   7.943E-01   1.634E-90    CH2NH2+H->CH2NH+H2  
300.0   1.000E+00   1.298E-90    CH2NH2+H->CH2NH+H2  
300.0   1.259E+00   1.031E-90    CH2NH2+H->CH2NH+H2  
300.0   1.585E+00   8.188E-91    CH2NH2+H->CH2NH+H2  
300.0   1.995E+00   6.501E-91    CH2NH2+H->CH2NH+H2  
300.0   2.512E+00   5.161E-91    CH2NH2+H->CH2NH+H2  
300.0   3.162E+00   4.096E-91    CH2NH2+H->CH2NH+H2  
300.0   3.981E+00   3.253E-91    CH2NH2+H->CH2NH+H2  
300.0   5.012E+00   2.586E-91    CH2NH2+H->CH2NH+H2  
300.0   6.310E+00   2.055E-91    CH2NH2+H->CH2NH+H2  
300.0   7.943E+00   1.633E-91    CH2NH2+H->CH2NH+H2  
300.0   1.000E+01   1.298E-91    CH2NH2+H->CH2NH+H2  
300.0   1.259E+01   1.031E-91    CH2NH2+H->CH2NH+H2  
300.0   1.585E+01   8.191E-92    CH2NH2+H->CH2NH+H2  
300.0   1.995E+01   6.506E-92    CH2NH2+H->CH2NH+H2  
300.0   2.512E+01   5.167E-92    CH2NH2+H->CH2NH+H2  
300.0   3.162E+01   4.102E-92    CH2NH2+H->CH2NH+H2  
300.0   3.981E+01   3.257E-92    CH2NH2+H->CH2NH+H2  
300.0   5.012E+01   2.585E-92    CH2NH2+H->CH2NH+H2  
300.0   6.310E+01   2.052E-92    CH2NH2+H->CH2NH+H2  
300.0   7.943E+01   1.631E-92    CH2NH2+H->CH2NH+H2  
300.0   1.000E+02   1.297E-92    CH2NH2+H->CH2NH+H2  
300.0   1.259E+02   1.031E-92    CH2NH2+H->CH2NH+H2  
300.0   1.585E+02   8.189E-93    CH2NH2+H->CH2NH+H2  
300.0   1.995E+02   6.506E-93    CH2NH2+H->CH2NH+H2  
300.0   2.512E+02   5.168E-93    CH2NH2+H->CH2NH+H2  
300.0   3.162E+02   4.105E-93    CH2NH2+H->CH2NH+H2  
300.0   3.981E+02   3.260E-93    CH2NH2+H->CH2NH+H2  
300.0   5.012E+02   2.589E-93    CH2NH2+H->CH2NH+H2  
300.0   6.310E+02   2.055E-93    CH2NH2+H->CH2NH+H2  
300.0   7.943E+02   1.631E-93    CH2NH2+H->CH2NH+H2  
300.0   1.000E+03   1.295E-93    CH2NH2+H->CH2NH+H2  
350.0   1.000E-08   1.808E-70    CH2NH2+H->CH2NH+H2  
