#01Xsolar and C/O = 2:# For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.295E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   8.155E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   5.141E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   3.243E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   2.047E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   1.293E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   8.168E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   5.147E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   3.244E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   2.047E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   1.292E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   8.158E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   5.153E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   3.250E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   2.050E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   1.295E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   8.175E-86    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   5.160E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   3.254E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   2.054E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   1.298E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   8.192E-87    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   5.168E-87    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   3.259E-87    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   2.054E-87    CH2NH2+H->CH2NH+H2  
300.0   1.000E-03   1.296E-87    CH2NH2+H->CH2NH+H2  
300.0   1.585E-03   8.187E-88    CH2NH2+H->CH2NH+H2  
300.0   2.512E-03   5.169E-88    CH2NH2+H->CH2NH+H2  
300.0   3.981E-03   3.261E-88    CH2NH2+H->CH2NH+H2  
300.0   6.310E-03   2.057E-88    CH2NH2+H->CH2NH+H2  
300.0   1.000E-02   1.296E-88    CH2NH2+H->CH2NH+H2  
300.0   1.585E-02   8.175E-89    CH2NH2+H->CH2NH+H2  
300.0   2.512E-02   5.165E-89    CH2NH2+H->CH2NH+H2  
300.0   3.981E-02   3.261E-89    CH2NH2+H->CH2NH+H2  
300.0   6.310E-02   2.058E-89    CH2NH2+H->CH2NH+H2  
