#01Xsolar and C/O = 2:# For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   7.235E-89    N+NH3->N2H+H2       
300.0   1.585E-08   3.617E-89    N+NH3->N2H+H2       
300.0   2.512E-08   3.702E-89    NH2+NH2->N2H2+H2    
300.0   3.981E-08   2.334E-89    NH2+NH2->N2H2+H2    
300.0   6.310E-08   1.474E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-07   9.327E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-07   5.909E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-07   3.714E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-07   2.337E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   1.473E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   9.304E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-06   5.885E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-06   3.727E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-06   2.347E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   1.479E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   9.342E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-05   5.906E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-05   3.732E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   2.355E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   1.487E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   9.390E-93    NH2+NH2->N2H2+H2    
300.0   1.259E-04   7.462E-93    NH2+NH2->N2H2+H2    
300.0   1.585E-04   5.929E-93    NH2+NH2->N2H2+H2    
300.0   1.995E-04   4.710E-93    NH2+NH2->N2H2+H2    
300.0   2.512E-04   3.741E-93    NH2+NH2->N2H2+H2    
300.0   3.162E-04   2.971E-93    NH2+NH2->N2H2+H2    
300.0   3.981E-04   2.359E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   1.873E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   1.486E-93    NH2+NH2->N2H2+H2    
300.0   7.943E-04   1.180E-93    NH2+NH2->N2H2+H2    
300.0   1.000E-03   9.379E-94    NH2+NH2->N2H2+H2    
300.0   1.259E-03   7.455E-94    NH2+NH2->N2H2+H2    
300.0   1.585E-03   5.925E-94    NH2+NH2->N2H2+H2    
300.0   1.995E-03   4.708E-94    NH2+NH2->N2H2+H2    
300.0   2.512E-03   3.741E-94    NH2+NH2->N2H2+H2    
300.0   3.162E-03   2.972E-94    NH2+NH2->N2H2+H2    
300.0   3.981E-03   2.360E-94    NH2+NH2->N2H2+H2    
300.0   5.012E-03   1.875E-94    NH2+NH2->N2H2+H2    
300.0   6.310E-03   1.488E-94    NH2+NH2->N2H2+H2    
300.0   7.943E-03   1.182E-94    NH2+NH2->N2H2+H2    
300.0   1.000E-02   9.380E-95    NH2+NH2->N2H2+H2    
300.0   1.259E-02   7.444E-95    NH2+NH2->N2H2+H2    
300.0   1.585E-02   5.917E-95    NH2+NH2->N2H2+H2    
300.0   1.995E-02   4.703E-95    NH2+NH2->N2H2+H2    
300.0   2.512E-02   3.738E-95    NH2+NH2->N2H2+H2    
300.0   3.162E-02   2.971E-95    NH2+NH2->N2H2+H2    
300.0   3.981E-02   2.360E-95    NH2+NH2->N2H2+H2    
300.0   5.012E-02   1.875E-95    NH2+NH2->N2H2+H2    
300.0   6.310E-02   1.489E-95    NH2+NH2->N2H2+H2    
300.0   7.943E-02   1.183E-95    NH2+NH2->N2H2+H2    
300.0   1.000E-01   9.392E-96    NH2+NH2->N2H2+H2    
300.0   1.259E-01   7.457E-96    NH2+NH2->N2H2+H2    
300.0   1.585E-01   5.919E-96    NH2+NH2->N2H2+H2    
300.0   1.995E-01   4.698E-96    NH2+NH2->N2H2+H2    
300.0   2.512E-01   3.733E-96    NH2+NH2->N2H2+H2    
300.0   3.162E-01   2.967E-96    NH2+NH2->N2H2+H2    
300.0   3.981E-01   2.358E-96    NH2+NH2->N2H2+H2    
300.0   5.012E-01   1.874E-96    NH2+NH2->N2H2+H2    
300.0   6.310E-01   1.489E-96    NH2+NH2->N2H2+H2    
300.0   7.943E-01   1.183E-96    NH2+NH2->N2H2+H2    
300.0   1.000E+00   9.397E-97    NH2+NH2->N2H2+H2    
300.0   1.259E+00   7.463E-97    NH2+NH2->N2H2+H2    
300.0   1.585E+00   5.927E-97    NH2+NH2->N2H2+H2    
300.0   1.995E+00   4.706E-97    NH2+NH2->N2H2+H2    
300.0   2.512E+00   3.735E-97    NH2+NH2->N2H2+H2    
300.0   3.162E+00   2.965E-97    NH2+NH2->N2H2+H2    
300.0   3.981E+00   2.355E-97    NH2+NH2->N2H2+H2    
300.0   5.012E+00   1.872E-97    NH2+NH2->N2H2+H2    
300.0   6.310E+00   1.488E-97    NH2+NH2->N2H2+H2    
300.0   7.943E+00   1.182E-97    NH2+NH2->N2H2+H2    
300.0   1.000E+01   9.395E-98    NH2+NH2->N2H2+H2    
300.0   1.259E+01   7.464E-98    NH2+NH2->N2H2+H2    
300.0   1.585E+01   5.929E-98    NH2+NH2->N2H2+H2    
300.0   1.995E+01   4.709E-98    NH2+NH2->N2H2+H2    
300.0   2.512E+01   3.740E-98    NH2+NH2->N2H2+H2    
300.0   3.162E+01   2.969E-98    NH2+NH2->N2H2+H2    
300.0   3.981E+01   2.357E-98    NH2+NH2->N2H2+H2    
300.0   5.012E+01   1.871E-98    NH2+NH2->N2H2+H2    
300.0   6.310E+01   1.485E-98    NH2+NH2->N2H2+H2    
300.0   7.943E+01   5.493E-99    N2H2+H->N2H+H2      
300.0   1.000E+02   3.895E-99    N2H2+H->N2H+H2      
300.0   1.259E+02   2.761E-99    N2H2+H->N2H+H2      
300.0   1.585E+02   1.956E-99    N2H2+H->N2H+H2      
300.0   1.995E+02   1.386E-99    N2H2+H->N2H+H2      
300.0   2.512E+02  9.814E-100    N2H2+H->N2H+H2      
300.0   3.162E+02  6.946E-100    N2H2+H->N2H+H2      
300.0   3.981E+02  4.915E-100    N2H2+H->N2H+H2      
300.0   5.012E+02  3.476E-100    N2H2+H->N2H+H2      
300.0   6.310E+02  2.458E-100    N2H2+H->N2H+H2      
300.0   7.943E+02  1.737E-100    N2H2+H->N2H+H2      
300.0   1.000E+03  1.227E-100    N2H2+H->N2H+H2      
350.0   1.000E-08   5.968E-75    N+NH3->N2H+H2       
350.0   1.585E-08   2.984E-75    N+NH3->N2H+H2       
350.0   2.512E-08   1.493E-75    N+NH3->N2H+H2       
350.0   3.981E-08   7.482E-76    N+NH3->N2H+H2       
350.0   6.310E-08   3.752E-76    N+NH3->N2H+H2       
