#01Xsolar and C/O = 0.25: # For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.912E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.503E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.185E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   9.385E-68    HCN+OH->HNCO+H      
300.0   6.310E-08   7.464E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   5.967E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   4.795E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   3.779E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   2.980E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   2.359E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   1.876E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.499E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.203E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   9.522E-69    HCN+OH->HNCO+H      
300.0   6.310E-06   7.533E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   5.986E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   4.771E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   3.805E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.030E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   2.408E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   1.914E-69    HCN+OH->HNCO+H      
300.0   1.259E-04   1.706E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.521E-69    HCN+OH->HNCO+H      
300.0   1.995E-04   1.356E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.208E-69    HCN+OH->HNCO+H      
300.0   3.162E-04   1.077E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   9.593E-70    HCN+OH->HNCO+H      
300.0   5.012E-04   8.548E-70    HCN+OH->HNCO+H      
300.0   6.310E-04   7.616E-70    HCN+OH->HNCO+H      
300.0   7.943E-04   6.785E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   6.050E-70    HCN+OH->HNCO+H      
300.0   1.259E-03   5.394E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   4.808E-70    HCN+OH->HNCO+H      
300.0   1.995E-03   4.286E-70    HCN+OH->HNCO+H      
300.0   2.512E-03   3.821E-70    HCN+OH->HNCO+H      
300.0   3.162E-03   3.405E-70    HCN+OH->HNCO+H      
300.0   3.981E-03   3.035E-70    HCN+OH->HNCO+H      
300.0   5.012E-03   2.704E-70    HCN+OH->HNCO+H      
300.0   6.310E-03   2.410E-70    HCN+OH->HNCO+H      
300.0   7.943E-03   2.147E-70    HCN+OH->HNCO+H      
300.0   1.000E-02   1.913E-70    HCN+OH->HNCO+H      
300.0   1.259E-02   1.704E-70    HCN+OH->HNCO+H      
300.0   1.585E-02   1.519E-70    HCN+OH->HNCO+H      
300.0   1.995E-02   1.355E-70    HCN+OH->HNCO+H      
300.0   2.512E-02   1.208E-70    HCN+OH->HNCO+H      
300.0   3.162E-02   1.077E-70    HCN+OH->HNCO+H      
300.0   3.981E-02   9.597E-71    HCN+OH->HNCO+H      
300.0   5.012E-02   8.554E-71    HCN+OH->HNCO+H      
300.0   6.310E-02   7.623E-71    HCN+OH->HNCO+H      
300.0   7.943E-02   6.794E-71    HCN+OH->HNCO+H      
300.0   1.000E-01   6.054E-71    HCN+OH->HNCO+H      
300.0   1.259E-01   5.394E-71    HCN+OH->HNCO+H      
300.0   1.585E-01   4.806E-71    HCN+OH->HNCO+H      
300.0   1.995E-01   4.282E-71    HCN+OH->HNCO+H      
300.0   2.512E-01   3.816E-71    HCN+OH->HNCO+H      
300.0   3.162E-01   3.403E-71    HCN+OH->HNCO+H      
300.0   3.981E-01   3.033E-71    HCN+OH->HNCO+H      
300.0   5.012E-01   2.704E-71    HCN+OH->HNCO+H      
300.0   6.310E-01   2.411E-71    HCN+OH->HNCO+H      
300.0   7.943E-01   2.149E-71    HCN+OH->HNCO+H      
300.0   1.000E+00   1.915E-71    HCN+OH->HNCO+H      
300.0   1.259E+00   1.707E-71    HCN+OH->HNCO+H      
300.0   1.585E+00   1.521E-71    HCN+OH->HNCO+H      
300.0   1.995E+00   1.355E-71    HCN+OH->HNCO+H      
300.0   2.512E+00   1.207E-71    HCN+OH->HNCO+H      
300.0   3.162E+00   1.076E-71    HCN+OH->HNCO+H      
300.0   3.981E+00   9.586E-72    HCN+OH->HNCO+H      
300.0   5.012E+00   8.546E-72    HCN+OH->HNCO+H      
300.0   6.310E+00   7.619E-72    HCN+OH->HNCO+H      
300.0   7.943E+00   6.792E-72    HCN+OH->HNCO+H      
300.0   1.000E+01   6.055E-72    HCN+OH->HNCO+H      
300.0   1.259E+01   5.397E-72    HCN+OH->HNCO+H      
300.0   1.585E+01   4.810E-72    HCN+OH->HNCO+H      
300.0   1.995E+01   4.287E-72    HCN+OH->HNCO+H      
300.0   2.512E+01   3.820E-72    HCN+OH->HNCO+H      
300.0   3.162E+01   3.404E-72    HCN+OH->HNCO+H      
300.0   3.981E+01   3.033E-72    HCN+OH->HNCO+H      
300.0   5.012E+01   2.702E-72    HCN+OH->HNCO+H      
300.0   6.310E+01   2.408E-72    HCN+OH->HNCO+H      
300.0   7.943E+01   2.147E-72    HCN+OH->HNCO+H      
300.0   1.000E+02   1.914E-72    HCN+OH->HNCO+H      
300.0   1.259E+02   1.706E-72    HCN+OH->HNCO+H      
300.0   1.585E+02   1.521E-72    HCN+OH->HNCO+H      
300.0   1.995E+02   1.356E-72    HCN+OH->HNCO+H      
300.0   2.512E+02   1.208E-72    HCN+OH->HNCO+H      
300.0   3.162E+02   1.077E-72    HCN+OH->HNCO+H      
300.0   3.981E+02   9.596E-73    HCN+OH->HNCO+H      
300.0   5.012E+02   8.551E-73    HCN+OH->HNCO+H      
300.0   6.310E+02   9.491E-73    CH2NH2+OH->CH2OH+NH2
