#01Xsolar and C/O = 0.25: # For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   7.233E-89    N+NH3->N2H+H2       
300.0   1.585E-08   3.616E-89    N+NH3->N2H+H2       
300.0   2.512E-08   3.701E-89    NH2+NH2->N2H2+H2    
300.0   3.981E-08   2.334E-89    NH2+NH2->N2H2+H2    
300.0   6.310E-08   1.474E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-07   9.325E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-07   5.908E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-07   3.713E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-07   2.336E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   1.473E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   9.302E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-06   5.884E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-06   3.726E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-06   2.347E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   1.479E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   9.340E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-05   5.904E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-05   3.731E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   2.354E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   1.486E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   9.388E-93    NH2+NH2->N2H2+H2    
300.0   1.259E-04   7.460E-93    NH2+NH2->N2H2+H2    
300.0   1.585E-04   5.927E-93    NH2+NH2->N2H2+H2    
300.0   1.995E-04   4.709E-93    NH2+NH2->N2H2+H2    
300.0   2.512E-04   3.740E-93    NH2+NH2->N2H2+H2    
300.0   3.162E-04   2.970E-93    NH2+NH2->N2H2+H2    
300.0   3.981E-04   2.358E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   1.872E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   1.486E-93    NH2+NH2->N2H2+H2    
300.0   7.943E-04   1.180E-93    NH2+NH2->N2H2+H2    
300.0   1.000E-03   9.377E-94    NH2+NH2->N2H2+H2    
300.0   1.259E-03   7.454E-94    NH2+NH2->N2H2+H2    
300.0   1.585E-03   5.924E-94    NH2+NH2->N2H2+H2    
300.0   1.995E-03   4.707E-94    NH2+NH2->N2H2+H2    
