# 01Xsolar: # For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.563E-84    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   1.424E-84    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   5.681E-85    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   2.264E-85    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   9.011E-86    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   3.581E-86    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   1.421E-86    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   5.672E-87    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   2.263E-87    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   9.016E-88    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   3.588E-88    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   1.426E-88    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   5.662E-89    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   2.258E-89    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   9.007E-90    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   3.589E-90    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   1.429E-90    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   5.680E-91    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   2.255E-91    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   8.985E-92    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   3.585E-92    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   2.264E-92    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   1.429E-92    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   9.017E-93    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   5.688E-93    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   3.588E-93    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   2.262E-93    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   1.425E-93    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   8.981E-94    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   5.658E-94    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   3.576E-94    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   2.259E-94    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   1.427E-94    C2H4+M->C2H2+H2+M   
300.0   1.995E-03   9.011E-95    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   5.688E-95    C2H4+M->C2H2+H2+M   
300.0   3.162E-03   3.590E-95    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   2.265E-95    C2H4+M->C2H2+H2+M   
300.0   5.012E-03   1.428E-95    C2H4+M->C2H2+H2+M   
