#100Xsolar and C/O = 1:# For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.739E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   1.096E-82    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   6.906E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   4.357E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   2.750E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   1.737E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   1.097E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   6.914E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   4.358E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   2.749E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   1.735E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   1.096E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   6.923E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   4.364E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   2.751E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   1.735E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   1.095E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   6.919E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   4.373E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   2.760E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   1.742E-86    CH2NH2+H->CH2NH+H2  
300.0   1.259E-04   1.385E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   1.101E-86    CH2NH2+H->CH2NH+H2  
300.0   1.995E-04   8.756E-87    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   6.965E-87    CH2NH2+H->CH2NH+H2  
300.0   3.162E-04   5.542E-87    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   4.410E-87    CH2NH2+H->CH2NH+H2  
300.0   5.012E-04   3.509E-87    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   2.792E-87    CH2NH2+H->CH2NH+H2  
300.0   7.943E-04   2.220E-87    CH2NH2+H->CH2NH+H2  
300.0   1.000E-03   1.766E-87    CH2NH2+H->CH2NH+H2  
300.0   1.259E-03   1.405E-87    CH2NH2+H->CH2NH+H2  
300.0   1.585E-03   1.117E-87    CH2NH2+H->CH2NH+H2  
300.0   1.995E-03   8.885E-88    CH2NH2+H->CH2NH+H2  
300.0   2.512E-03   7.062E-88    CH2NH2+H->CH2NH+H2  
300.0   3.162E-03   5.612E-88    CH2NH2+H->CH2NH+H2  
300.0   3.981E-03   4.459E-88    CH2NH2+H->CH2NH+H2  
300.0   5.012E-03   3.542E-88    CH2NH2+H->CH2NH+H2  
300.0   6.310E-03   2.812E-88    CH2NH2+H->CH2NH+H2  
300.0   7.943E-03   2.233E-88    CH2NH2+H->CH2NH+H2  
300.0   1.000E-02   1.773E-88    CH2NH2+H->CH2NH+H2  
300.0   1.259E-02   1.407E-88    CH2NH2+H->CH2NH+H2  
300.0   1.585E-02   1.118E-88    CH2NH2+H->CH2NH+H2  
300.0   1.995E-02   8.888E-89    CH2NH2+H->CH2NH+H2  
300.0   2.512E-02   7.064E-89    CH2NH2+H->CH2NH+H2  
300.0   3.162E-02   5.614E-89    CH2NH2+H->CH2NH+H2  
300.0   3.981E-02   4.460E-89    CH2NH2+H->CH2NH+H2  
300.0   5.012E-02   3.544E-89    CH2NH2+H->CH2NH+H2  
300.0   6.310E-02   2.815E-89    CH2NH2+H->CH2NH+H2  
300.0   7.943E-02   2.235E-89    CH2NH2+H->CH2NH+H2  
300.0   1.000E-01   1.775E-89    CH2NH2+H->CH2NH+H2  
300.0   1.259E-01   1.409E-89    CH2NH2+H->CH2NH+H2  
300.0   1.585E-01   1.119E-89    CH2NH2+H->CH2NH+H2  
300.0   1.995E-01   8.879E-90    CH2NH2+H->CH2NH+H2  
300.0   2.512E-01   7.054E-90    CH2NH2+H->CH2NH+H2  
300.0   3.162E-01   5.608E-90    CH2NH2+H->CH2NH+H2  
300.0   3.981E-01   4.457E-90    CH2NH2+H->CH2NH+H2  
300.0   5.012E-01   3.542E-90    CH2NH2+H->CH2NH+H2  
300.0   6.310E-01   2.814E-90    CH2NH2+H->CH2NH+H2  
300.0   7.943E-01   2.236E-90    CH2NH2+H->CH2NH+H2  
300.0   1.000E+00   1.776E-90    CH2NH2+H->CH2NH+H2  
300.0   1.259E+00   1.410E-90    CH2NH2+H->CH2NH+H2  
300.0   1.585E+00   1.120E-90    CH2NH2+H->CH2NH+H2  
300.0   1.995E+00   8.893E-91    CH2NH2+H->CH2NH+H2  
300.0   2.512E+00   7.059E-91    CH2NH2+H->CH2NH+H2  
300.0   3.162E+00   5.603E-91    CH2NH2+H->CH2NH+H2  
300.0   3.981E+00   4.450E-91    CH2NH2+H->CH2NH+H2  
300.0   5.012E+00   3.538E-91    CH2NH2+H->CH2NH+H2  
300.0   6.310E+00   2.812E-91    CH2NH2+H->CH2NH+H2  
300.0   7.943E+00   2.235E-91    CH2NH2+H->CH2NH+H2  
300.0   1.000E+01   1.776E-91    CH2NH2+H->CH2NH+H2  
300.0   1.259E+01   1.411E-91    CH2NH2+H->CH2NH+H2  
300.0   1.585E+01   1.121E-91    CH2NH2+H->CH2NH+H2  
300.0   1.995E+01   8.900E-92    CH2NH2+H->CH2NH+H2  
300.0   2.512E+01   7.068E-92    CH2NH2+H->CH2NH+H2  
300.0   3.162E+01   5.612E-92    CH2NH2+H->CH2NH+H2  
300.0   3.981E+01   4.455E-92    CH2NH2+H->CH2NH+H2  
300.0   5.012E+01   3.536E-92    CH2NH2+H->CH2NH+H2  
300.0   6.310E+01   2.807E-92    CH2NH2+H->CH2NH+H2  
300.0   7.943E+01   2.232E-92    CH2NH2+H->CH2NH+H2  
300.0   1.000E+02   1.774E-92    CH2NH2+H->CH2NH+H2  
300.0   1.259E+02   1.410E-92    CH2NH2+H->CH2NH+H2  
300.0   1.585E+02   1.120E-92    CH2NH2+H->CH2NH+H2  
300.0   1.995E+02   8.900E-93    CH2NH2+H->CH2NH+H2  
300.0   2.512E+02   7.070E-93    CH2NH2+H->CH2NH+H2  
300.0   3.162E+02   5.616E-93    CH2NH2+H->CH2NH+H2  
300.0   3.981E+02   4.460E-93    CH2NH2+H->CH2NH+H2  
300.0   5.012E+02   3.541E-93    CH2NH2+H->CH2NH+H2  
300.0   6.310E+02   2.811E-93    CH2NH2+H->CH2NH+H2  
300.0   7.943E+02   2.231E-93    CH2NH2+H->CH2NH+H2  
300.0   1.000E+03   1.771E-93    CH2NH2+H->CH2NH+H2  
350.0   1.000E-08   2.363E-70    CH2NH2+H->CH2NH+H2  
350.0   1.585E-08   1.508E-70    CH2NH2+H->CH2NH+H2  
350.0   2.512E-08   9.583E-71    CH2NH2+H->CH2NH+H2  
350.0   3.981E-08   6.068E-71    CH2NH2+H->CH2NH+H2  
350.0   6.310E-08   3.836E-71    CH2NH2+H->CH2NH+H2  
350.0   1.000E-07   2.425E-71    CH2NH2+H->CH2NH+H2  
350.0   1.585E-07   1.532E-71    CH2NH2+H->CH2NH+H2  
350.0   2.512E-07   9.656E-72    CH2NH2+H->CH2NH+H2  
350.0   3.981E-07   6.087E-72    CH2NH2+H->CH2NH+H2  
350.0   6.310E-07   3.839E-72    CH2NH2+H->CH2NH+H2  
350.0   1.000E-06   2.423E-72    CH2NH2+H->CH2NH+H2  
350.0   1.585E-06   1.530E-72    CH2NH2+H->CH2NH+H2  
350.0   2.512E-06   9.668E-73    CH2NH2+H->CH2NH+H2  
350.0   3.981E-06   6.094E-73    CH2NH2+H->CH2NH+H2  
350.0   6.310E-06   3.841E-73    CH2NH2+H->CH2NH+H2  
350.0   1.000E-05   2.423E-73    CH2NH2+H->CH2NH+H2  
350.0   1.585E-05   1.529E-73    CH2NH2+H->CH2NH+H2  
350.0   2.512E-05   9.655E-74    CH2NH2+H->CH2NH+H2  
350.0   3.981E-05   6.100E-74    CH2NH2+H->CH2NH+H2  
350.0   6.310E-05   3.846E-74    CH2NH2+H->CH2NH+H2  
350.0   1.000E-04   2.424E-74    CH2NH2+H->CH2NH+H2  
350.0   1.259E-04   1.925E-74    CH2NH2+H->CH2NH+H2  
350.0   1.585E-04   1.529E-74    CH2NH2+H->CH2NH+H2  
350.0   1.995E-04   1.215E-74    CH2NH2+H->CH2NH+H2  
350.0   2.512E-04   9.653E-75    CH2NH2+H->CH2NH+H2  
350.0   3.162E-04   7.672E-75    CH2NH2+H->CH2NH+H2  
350.0   3.981E-04   6.098E-75    CH2NH2+H->CH2NH+H2  
350.0   5.012E-04   4.847E-75    CH2NH2+H->CH2NH+H2  
350.0   6.310E-04   3.854E-75    CH2NH2+H->CH2NH+H2  
350.0   7.943E-04   3.064E-75    CH2NH2+H->CH2NH+H2  
350.0   1.000E-03   2.433E-75    CH2NH2+H->CH2NH+H2  
350.0   1.259E-03   1.933E-75    CH2NH2+H->CH2NH+H2  
