#100Xsolar and C/O = 1:# For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   2.217E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.742E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.374E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   1.088E-67    HCN+OH->HNCO+H      
300.0   6.310E-08   8.652E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   6.916E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   5.558E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   4.379E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   3.453E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   2.733E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   2.173E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.735E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.394E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   1.101E-68    HCN+OH->HNCO+H      
300.0   6.310E-06   8.681E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   6.869E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   5.458E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   4.359E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.499E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   2.774E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   2.190E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.736E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.383E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   1.105E-69    HCN+OH->HNCO+H      
300.0   6.310E-04   8.853E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   7.053E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   5.608E-70    HCN+OH->HNCO+H      
300.0   2.512E-03   4.461E-70    HCN+OH->HNCO+H      
300.0   3.981E-03   3.547E-70    HCN+OH->HNCO+H      
300.0   6.310E-03   2.818E-70    HCN+OH->HNCO+H      
300.0   1.000E-02   2.238E-70    HCN+OH->HNCO+H      
300.0   1.585E-02   1.777E-70    HCN+OH->HNCO+H      
300.0   2.512E-02   1.413E-70    HCN+OH->HNCO+H      
300.0   3.981E-02   1.122E-70    HCN+OH->HNCO+H      
300.0   6.310E-02   8.917E-71    HCN+OH->HNCO+H      
