# 100Xsolar_CtoO2: # For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.098E-83    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   4.385E-84    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   1.750E-84    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   6.974E-85    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   2.776E-85    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   1.103E-85    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   4.379E-86    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   1.747E-86    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   6.970E-87    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   2.778E-87    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   1.106E-87    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   4.395E-88    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   1.745E-88    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   6.957E-89    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   2.776E-89    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   1.107E-89    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   4.407E-90    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   1.753E-90    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   6.968E-91    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   2.781E-91    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   1.113E-91    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   7.038E-92    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   4.452E-92    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   2.816E-92    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   1.782E-92    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   1.128E-92    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   7.138E-93    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   4.519E-93    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   2.861E-93    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   1.811E-93    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   1.150E-93    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   7.296E-94    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   4.625E-94    C2H4+M->C2H2+H2+M   
300.0   1.995E-03   2.930E-94    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   1.854E-94    C2H4+M->C2H2+H2+M   
300.0   3.162E-03   1.172E-94    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   7.404E-95    C2H4+M->C2H2+H2+M   
300.0   5.012E-03   4.673E-95    C2H4+M->C2H2+H2+M   
300.0   6.310E-03   2.948E-95    C2H4+M->C2H2+H2+M   
300.0   7.943E-03   1.859E-95    C2H4+M->C2H2+H2+M   
300.0   1.000E-02   1.172E-95    C2H4+M->C2H2+H2+M   
300.0   1.259E-02   7.380E-96    C2H4+M->C2H2+H2+M   
300.0   1.585E-02   4.662E-96    C2H4+M->C2H2+H2+M   
300.0   1.995E-02   2.946E-96    C2H4+M->C2H2+H2+M   
300.0   2.512E-02   1.861E-96    C2H4+M->C2H2+H2+M   
300.0   3.162E-02   1.175E-96    C2H4+M->C2H2+H2+M   
300.0   3.981E-02   7.420E-97    C2H4+M->C2H2+H2+M   
300.0   5.012E-02   4.683E-97    C2H4+M->C2H2+H2+M   
300.0   6.310E-02   2.955E-97    C2H4+M->C2H2+H2+M   
300.0   7.943E-02   1.864E-97    C2H4+M->C2H2+H2+M   
300.0   1.000E-01   1.175E-97    C2H4+M->C2H2+H2+M   
300.0   1.259E-01   7.407E-98    C2H4+M->C2H2+H2+M   
300.0   1.585E-01   4.667E-98    C2H4+M->C2H2+H2+M   
300.0   1.995E-01   2.940E-98    C2H4+M->C2H2+H2+M   
300.0   2.512E-01   1.856E-98    C2H4+M->C2H2+H2+M   
300.0   3.162E-01   1.173E-98    C2H4+M->C2H2+H2+M   
300.0   3.981E-01   7.408E-99    C2H4+M->C2H2+H2+M   
300.0   5.012E-01   4.678E-99    C2H4+M->C2H2+H2+M   
300.0   6.310E-01   2.954E-99    C2H4+M->C2H2+H2+M   
300.0   7.943E-01   1.864E-99    C2H4+M->C2H2+H2+M   
300.0   1.000E+00   1.176E-99    C2H4+M->C2H2+H2+M   
300.0   1.259E+00  7.420E-100    C2H4+M->C2H2+H2+M   
300.0   1.585E+00  4.679E-100    C2H4+M->C2H2+H2+M   
300.0   1.995E+00  2.950E-100    C2H4+M->C2H2+H2+M   
300.0   2.512E+00  1.859E-100    C2H4+M->C2H2+H2+M   
300.0   3.162E+00  1.171E-100    C2H4+M->C2H2+H2+M   
300.0   3.981E+00  7.386E-101    C2H4+M->C2H2+H2+M   
300.0   5.012E+00  4.667E-101    C2H4+M->C2H2+H2+M   
300.0   6.310E+00  2.948E-101    C2H4+M->C2H2+H2+M   
300.0   7.943E+00  1.862E-101    C2H4+M->C2H2+H2+M   
300.0   1.000E+01  1.176E-101    C2H4+M->C2H2+H2+M   
300.0   1.259E+01  7.421E-102    C2H4+M->C2H2+H2+M   
300.0   1.585E+01  4.683E-102    C2H4+M->C2H2+H2+M   
300.0   1.995E+01  2.954E-102    C2H4+M->C2H2+H2+M   
300.0   2.512E+01  1.863E-102    C2H4+M->C2H2+H2+M   
