# 100Xsolar_CtoO2: # For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.118E-79    CH3O+CO->CH3+CO2    
300.0   1.585E-08   1.400E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-08   1.113E-79    CH3OH+H->CH3+H2O    
300.0   3.981E-08   8.840E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-08   7.021E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-07   5.574E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-07   4.425E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-07   3.517E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-07   2.795E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-07   2.220E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-06   1.764E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-06   1.400E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-06   1.112E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-06   8.833E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-06   7.021E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-05   5.578E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-05   4.431E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-05   3.519E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-05   2.794E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-05   2.221E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-04   1.766E-81    CH3OH+H->CH3+H2O    
300.0   1.259E-04   1.575E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-04   1.405E-81    CH3OH+H->CH3+H2O    
300.0   1.995E-04   1.253E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-04   1.117E-81    CH3OH+H->CH3+H2O    
300.0   3.162E-04   9.967E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-04   8.890E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-04   7.930E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-04   7.073E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-04   6.310E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-03   5.632E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-03   5.027E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-03   4.486E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-03   4.002E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-03   3.569E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-03   3.182E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-03   2.837E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-03   2.529E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-03   2.254E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-03   2.008E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-02   1.789E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-02   1.594E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-02   1.421E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-02   1.267E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-02   1.130E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-02   1.007E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-02   8.977E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-02   8.001E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-02   7.131E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-02   6.355E-83    CH3OH+H->CH3+H2O    
300.0   1.000E-01   5.663E-83    CH3OH+H->CH3+H2O    
300.0   1.259E-01   5.046E-83    CH3OH+H->CH3+H2O    
300.0   1.585E-01   4.495E-83    CH3OH+H->CH3+H2O    
300.0   1.995E-01   4.005E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-01   3.570E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-01   3.183E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-01   2.838E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-01   2.530E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-01   2.255E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-01   2.010E-83    CH3OH+H->CH3+H2O    
300.0   1.000E+00   1.791E-83    CH3OH+H->CH3+H2O    
