# 100Xsolar_CtoO2: # For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   2.272E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   1.431E-82    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   9.021E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   5.691E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   3.592E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   2.269E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   1.433E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   9.031E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   5.693E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   3.591E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   2.266E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   1.431E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   9.043E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   5.700E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   3.593E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   2.267E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   1.431E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   9.039E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   5.713E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   3.606E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   2.276E-86    CH2NH2+H->CH2NH+H2  
300.0   1.259E-04   1.809E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   1.439E-86    CH2NH2+H->CH2NH+H2  
300.0   1.995E-04   1.144E-86    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   9.107E-87    CH2NH2+H->CH2NH+H2  
300.0   3.162E-04   7.249E-87    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   5.772E-87    CH2NH2+H->CH2NH+H2  
300.0   5.012E-04   4.597E-87    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   3.661E-87    CH2NH2+H->CH2NH+H2  
300.0   7.943E-04   2.916E-87    CH2NH2+H->CH2NH+H2  
300.0   1.000E-03   2.322E-87    CH2NH2+H->CH2NH+H2  
300.0   1.259E-03   1.849E-87    CH2NH2+H->CH2NH+H2  
300.0   1.585E-03   1.472E-87    CH2NH2+H->CH2NH+H2  
