# 100Xsolar_CtoO2: # For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   2.533E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.991E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.570E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   1.243E-67    HCN+OH->HNCO+H      
300.0   6.310E-08   9.888E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   7.905E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   6.353E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   5.005E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   3.946E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   3.124E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   2.483E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.983E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.593E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   1.259E-68    HCN+OH->HNCO+H      
300.0   6.310E-06   9.921E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   7.850E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   6.238E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   4.982E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.999E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   3.170E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   2.501E-69    HCN+OH->HNCO+H      
300.0   1.259E-04   2.225E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.982E-69    HCN+OH->HNCO+H      
300.0   1.995E-04   1.768E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.578E-69    HCN+OH->HNCO+H      
300.0   3.162E-04   1.411E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   1.262E-69    HCN+OH->HNCO+H      
300.0   5.012E-04   1.130E-69    HCN+OH->HNCO+H      
300.0   6.310E-04   1.013E-69    HCN+OH->HNCO+H      
300.0   7.943E-04   9.073E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   8.079E-70    HCN+OH->HNCO+H      
300.0   1.259E-03   7.202E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   6.425E-70    HCN+OH->HNCO+H      
300.0   1.995E-03   5.734E-70    HCN+OH->HNCO+H      
300.0   2.512E-03   5.117E-70    HCN+OH->HNCO+H      
300.0   3.162E-03   4.567E-70    HCN+OH->HNCO+H      
300.0   3.981E-03   4.074E-70    HCN+OH->HNCO+H      
300.0   5.012E-03   3.633E-70    HCN+OH->HNCO+H      
