# 100Xsolar_CtoO2: # For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.685E-88    N+NH3->N2H+H2       
300.0   1.585E-08   8.427E-89    N+NH3->N2H+H2       
300.0   2.512E-08   4.220E-89    N+NH3->N2H+H2       
300.0   3.981E-08   2.116E-89    N+NH3->N2H+H2       
300.0   6.310E-08   2.587E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-07   1.637E-89    NH2+NH2->N2H2+H2    
300.0   1.585E-07   1.037E-89    NH2+NH2->N2H2+H2    
300.0   2.512E-07   6.517E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-07   4.100E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   2.584E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   1.632E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-06   1.032E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-06   6.540E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-06   4.115E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   2.588E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   1.631E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-05   1.030E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-05   6.518E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   4.130E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   2.604E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   1.640E-92    NH2+NH2->N2H2+H2    
300.0   1.259E-04   1.303E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-04   1.036E-92    NH2+NH2->N2H2+H2    
300.0   1.995E-04   8.243E-93    NH2+NH2->N2H2+H2    
300.0   2.512E-04   6.562E-93    NH2+NH2->N2H2+H2    
300.0   3.162E-04   5.226E-93    NH2+NH2->N2H2+H2    
300.0   3.981E-04   4.165E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   3.320E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   2.647E-93    NH2+NH2->N2H2+H2    
300.0   7.943E-04   2.110E-93    NH2+NH2->N2H2+H2    
300.0   1.000E-03   1.679E-93    NH2+NH2->N2H2+H2    
300.0   1.259E-03   1.337E-93    NH2+NH2->N2H2+H2    
300.0   1.585E-03   1.064E-93    NH2+NH2->N2H2+H2    
300.0   1.995E-03   8.472E-94    NH2+NH2->N2H2+H2    
300.0   2.512E-03   6.742E-94    NH2+NH2->N2H2+H2    
300.0   3.162E-03   5.362E-94    NH2+NH2->N2H2+H2    
300.0   3.981E-03   4.264E-94    NH2+NH2->N2H2+H2    
300.0   5.012E-03   3.388E-94    NH2+NH2->N2H2+H2    
300.0   6.310E-03   2.692E-94    NH2+NH2->N2H2+H2    
300.0   7.943E-03   2.138E-94    NH2+NH2->N2H2+H2    
300.0   1.000E-02   1.697E-94    NH2+NH2->N2H2+H2    
300.0   1.259E-02   1.347E-94    NH2+NH2->N2H2+H2    
300.0   1.585E-02   1.071E-94    NH2+NH2->N2H2+H2    
300.0   1.995E-02   8.512E-95    NH2+NH2->N2H2+H2    
300.0   2.512E-02   6.765E-95    NH2+NH2->N2H2+H2    
300.0   3.162E-02   5.376E-95    NH2+NH2->N2H2+H2    
300.0   3.981E-02   4.272E-95    NH2+NH2->N2H2+H2    
300.0   5.012E-02   3.394E-95    NH2+NH2->N2H2+H2    
300.0   6.310E-02   2.696E-95    NH2+NH2->N2H2+H2    
300.0   7.943E-02   2.141E-95    NH2+NH2->N2H2+H2    
300.0   1.000E-01   1.700E-95    NH2+NH2->N2H2+H2    
300.0   1.259E-01   1.350E-95    NH2+NH2->N2H2+H2    
300.0   1.585E-01   1.071E-95    NH2+NH2->N2H2+H2    
300.0   1.995E-01   8.503E-96    NH2+NH2->N2H2+H2    
300.0   2.512E-01   6.756E-96    NH2+NH2->N2H2+H2    
300.0   3.162E-01   5.370E-96    NH2+NH2->N2H2+H2    
300.0   3.981E-01   4.268E-96    NH2+NH2->N2H2+H2    
300.0   5.012E-01   3.392E-96    NH2+NH2->N2H2+H2    
300.0   6.310E-01   2.695E-96    NH2+NH2->N2H2+H2    
300.0   7.943E-01   2.141E-96    NH2+NH2->N2H2+H2    
300.0   1.000E+00   1.701E-96    NH2+NH2->N2H2+H2    
300.0   1.259E+00   1.351E-96    NH2+NH2->N2H2+H2    
300.0   1.585E+00   1.073E-96    NH2+NH2->N2H2+H2    
300.0   1.995E+00   8.517E-97    NH2+NH2->N2H2+H2    
300.0   2.512E+00   6.761E-97    NH2+NH2->N2H2+H2    
300.0   3.162E+00   5.366E-97    NH2+NH2->N2H2+H2    
300.0   3.981E+00   4.262E-97    NH2+NH2->N2H2+H2    
300.0   5.012E+00   3.388E-97    NH2+NH2->N2H2+H2    
300.0   6.310E+00   2.693E-97    NH2+NH2->N2H2+H2    
300.0   7.943E+00   2.140E-97    NH2+NH2->N2H2+H2    
300.0   1.000E+01   1.700E-97    NH2+NH2->N2H2+H2    
300.0   1.259E+01   1.351E-97    NH2+NH2->N2H2+H2    
300.0   1.585E+01   1.073E-97    NH2+NH2->N2H2+H2    
300.0   1.995E+01   8.523E-98    NH2+NH2->N2H2+H2    
300.0   2.512E+01   6.769E-98    NH2+NH2->N2H2+H2    
300.0   3.162E+01   5.374E-98    NH2+NH2->N2H2+H2    
300.0   3.981E+01   4.266E-98    NH2+NH2->N2H2+H2    
300.0   5.012E+01   3.386E-98    NH2+NH2->N2H2+H2    
300.0   6.310E+01   2.689E-98    NH2+NH2->N2H2+H2    
300.0   7.943E+01   2.137E-98    NH2+NH2->N2H2+H2    
300.0   1.000E+02   1.699E-98    NH2+NH2->N2H2+H2    
300.0   1.259E+02   6.744E-99    N2H2+H->N2H+H2      
300.0   1.585E+02   4.779E-99    N2H2+H->N2H+H2      
300.0   1.995E+02   3.385E-99    N2H2+H->N2H+H2      
300.0   2.512E+02   2.397E-99    N2H2+H->N2H+H2      
300.0   3.162E+02   1.697E-99    N2H2+H->N2H+H2      
300.0   3.981E+02   1.200E-99    N2H2+H->N2H+H2      
300.0   5.012E+02  8.491E-100    N2H2+H->N2H+H2      
300.0   6.310E+02  6.003E-100    N2H2+H->N2H+H2      
300.0   7.943E+02  4.242E-100    N2H2+H->N2H+H2      
300.0   1.000E+03  2.996E-100    N2H2+H->N2H+H2      
350.0   1.000E-08   1.186E-74    N+NH3->N2H+H2       
350.0   1.585E-08   6.210E-75    N+NH3->N2H+H2       
350.0   2.512E-08   3.240E-75    N+NH3->N2H+H2       
350.0   3.981E-08   1.676E-75    N+NH3->N2H+H2       
350.0   6.310E-08   8.572E-76    N+NH3->N2H+H2       
350.0   1.000E-07   4.348E-76    N+NH3->N2H+H2       
350.0   1.585E-07   2.194E-76    N+NH3->N2H+H2       
350.0   2.512E-07   1.100E-76    N+NH3->N2H+H2       
350.0   3.981E-07   5.513E-77    N+NH3->N2H+H2       
350.0   6.310E-07   2.765E-77    N+NH3->N2H+H2       
350.0   1.000E-06   1.388E-77    N+NH3->N2H+H2       
350.0   1.585E-06   6.971E-78    N+NH3->N2H+H2       
