# For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.594E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   1.004E-82    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   6.329E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   3.993E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   2.520E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   1.592E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   1.006E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   6.336E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   3.994E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   2.519E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   1.590E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   1.004E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   6.344E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   3.999E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   2.521E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   1.590E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   1.004E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   6.341E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   4.008E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   2.529E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   1.596E-86    CH2NH2+H->CH2NH+H2  
300.0   1.259E-04   1.269E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   1.009E-86    CH2NH2+H->CH2NH+H2  
300.0   1.995E-04   8.022E-87    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   6.381E-87    CH2NH2+H->CH2NH+H2  
300.0   3.162E-04   5.076E-87    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   4.038E-87    CH2NH2+H->CH2NH+H2  
300.0   5.012E-04   3.212E-87    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   2.555E-87    CH2NH2+H->CH2NH+H2  
300.0   7.943E-04   2.031E-87    CH2NH2+H->CH2NH+H2  
300.0   1.000E-03   1.615E-87    CH2NH2+H->CH2NH+H2  
300.0   1.259E-03   1.285E-87    CH2NH2+H->CH2NH+H2  
300.0   1.585E-03   1.021E-87    CH2NH2+H->CH2NH+H2  
300.0   1.995E-03   8.120E-88    CH2NH2+H->CH2NH+H2  
300.0   2.512E-03   6.453E-88    CH2NH2+H->CH2NH+H2  
300.0   3.162E-03   5.128E-88    CH2NH2+H->CH2NH+H2  
300.0   3.981E-03   4.073E-88    CH2NH2+H->CH2NH+H2  
300.0   5.012E-03   3.235E-88    CH2NH2+H->CH2NH+H2  
300.0   6.310E-03   2.569E-88    CH2NH2+H->CH2NH+H2  
300.0   7.943E-03   2.040E-88    CH2NH2+H->CH2NH+H2  
300.0   1.000E-02   1.619E-88    CH2NH2+H->CH2NH+H2  
300.0   1.259E-02   1.285E-88    CH2NH2+H->CH2NH+H2  
300.0   1.585E-02   1.021E-88    CH2NH2+H->CH2NH+H2  
300.0   1.995E-02   8.119E-89    CH2NH2+H->CH2NH+H2  
300.0   2.512E-02   6.453E-89    CH2NH2+H->CH2NH+H2  
300.0   3.162E-02   5.128E-89    CH2NH2+H->CH2NH+H2  
300.0   3.981E-02   4.074E-89    CH2NH2+H->CH2NH+H2  
300.0   5.012E-02   3.237E-89    CH2NH2+H->CH2NH+H2  
300.0   6.310E-02   2.571E-89    CH2NH2+H->CH2NH+H2  
300.0   7.943E-02   2.042E-89    CH2NH2+H->CH2NH+H2  
300.0   1.000E-01   1.621E-89    CH2NH2+H->CH2NH+H2  
300.0   1.259E-01   1.287E-89    CH2NH2+H->CH2NH+H2  
300.0   1.585E-01   1.022E-89    CH2NH2+H->CH2NH+H2  
300.0   1.995E-01   8.110E-90    CH2NH2+H->CH2NH+H2  
300.0   2.512E-01   6.444E-90    CH2NH2+H->CH2NH+H2  
300.0   3.162E-01   5.122E-90    CH2NH2+H->CH2NH+H2  
300.0   3.981E-01   4.071E-90    CH2NH2+H->CH2NH+H2  
300.0   5.012E-01   3.235E-90    CH2NH2+H->CH2NH+H2  
300.0   6.310E-01   2.571E-90    CH2NH2+H->CH2NH+H2  
300.0   7.943E-01   2.042E-90    CH2NH2+H->CH2NH+H2  
300.0   1.000E+00   1.622E-90    CH2NH2+H->CH2NH+H2  
300.0   1.259E+00   1.288E-90    CH2NH2+H->CH2NH+H2  
300.0   1.585E+00   1.023E-90    CH2NH2+H->CH2NH+H2  
300.0   1.995E+00   8.123E-91    CH2NH2+H->CH2NH+H2  
300.0   2.512E+00   6.448E-91    CH2NH2+H->CH2NH+H2  
300.0   3.162E+00   5.118E-91    CH2NH2+H->CH2NH+H2  
300.0   3.981E+00   4.065E-91    CH2NH2+H->CH2NH+H2  
300.0   5.012E+00   3.231E-91    CH2NH2+H->CH2NH+H2  
300.0   6.310E+00   2.568E-91    CH2NH2+H->CH2NH+H2  
