# For the net reaction CO + CH4 -> C2H2 + H2 + O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.012E-74    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   1.005E-74    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   9.994E-75    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   9.969E-75    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   9.978E-75    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   1.003E-74    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   1.013E-74    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   1.007E-74    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   1.001E-74    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   9.974E-75    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   9.978E-75    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   1.002E-74    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   1.011E-74    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   1.007E-74    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   1.001E-74    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   9.970E-75    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   9.965E-75    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   9.999E-75    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   1.008E-74    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   1.005E-74    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   9.960E-75    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   9.924E-75    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   9.895E-75    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   9.872E-75    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   9.856E-75    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   9.847E-75    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   9.848E-75    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   9.860E-75    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   9.885E-75    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   9.914E-75    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   9.857E-75    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   9.808E-75    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   9.770E-75    C2H4+M->C2H2+H2+M   
300.0   1.995E-03   9.741E-75    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   9.721E-75    C2H4+M->C2H2+H2+M   
300.0   3.162E-03   9.710E-75    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   9.707E-75    C2H4+M->C2H2+H2+M   
300.0   5.012E-03   9.716E-75    C2H4+M->C2H2+H2+M   
300.0   6.310E-03   9.734E-75    C2H4+M->C2H2+H2+M   
300.0   7.943E-03   9.764E-75    C2H4+M->C2H2+H2+M   
300.0   1.000E-02   9.805E-75    C2H4+M->C2H2+H2+M   
300.0   1.259E-02   9.863E-75    C2H4+M->C2H2+H2+M   
300.0   1.585E-02   9.831E-75    C2H4+M->C2H2+H2+M   
300.0   1.995E-02   9.792E-75    C2H4+M->C2H2+H2+M   
300.0   2.512E-02   9.760E-75    C2H4+M->C2H2+H2+M   
300.0   3.162E-02   9.734E-75    C2H4+M->C2H2+H2+M   
300.0   3.981E-02   9.716E-75    C2H4+M->C2H2+H2+M   
300.0   5.012E-02   9.706E-75    C2H4+M->C2H2+H2+M   
