# For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   2.122E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.668E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.315E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   1.041E-67    HCN+OH->HNCO+H      
300.0   6.310E-08   8.282E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   6.621E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   5.321E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   4.193E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   3.306E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   2.616E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   2.080E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.661E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.335E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   1.054E-68    HCN+OH->HNCO+H      
300.0   6.310E-06   8.311E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   6.576E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   5.226E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   4.173E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.350E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   2.656E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   2.097E-69    HCN+OH->HNCO+H      
300.0   1.259E-04   1.866E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.662E-69    HCN+OH->HNCO+H      
300.0   1.995E-04   1.483E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.324E-69    HCN+OH->HNCO+H      
300.0   3.162E-04   1.183E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   1.058E-69    HCN+OH->HNCO+H      
300.0   5.012E-04   9.470E-70    HCN+OH->HNCO+H      
300.0   6.310E-04   8.472E-70    HCN+OH->HNCO+H      
300.0   7.943E-04   7.573E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   6.747E-70    HCN+OH->HNCO+H      
300.0   1.259E-03   6.015E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   5.364E-70    HCN+OH->HNCO+H      
