# For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   9.900E-89    N+NH3->N2H+H2       
300.0   1.585E-08   4.951E-89    N+NH3->N2H+H2       
300.0   2.512E-08   2.479E-89    N+NH3->N2H+H2       
300.0   3.981E-08   2.873E-89    NH2+NH2->N2H2+H2    
300.0   6.310E-08   1.815E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-07   1.148E-89    NH2+NH2->N2H2+H2    
300.0   1.585E-07   7.275E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-07   4.572E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-07   2.876E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   1.813E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   1.145E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-06   7.242E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-06   4.588E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-06   2.887E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   1.816E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   1.145E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-05   7.228E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-05   4.573E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   2.897E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   1.827E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   1.151E-92    NH2+NH2->N2H2+H2    
300.0   1.259E-04   9.142E-93    NH2+NH2->N2H2+H2    
300.0   1.585E-04   7.268E-93    NH2+NH2->N2H2+H2    
300.0   1.995E-04   5.781E-93    NH2+NH2->N2H2+H2    
300.0   2.512E-04   4.600E-93    NH2+NH2->N2H2+H2    
300.0   3.162E-04   3.662E-93    NH2+NH2->N2H2+H2    
300.0   3.981E-04   2.916E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   2.321E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   1.848E-93    NH2+NH2->N2H2+H2    
300.0   7.943E-04   1.470E-93    NH2+NH2->N2H2+H2    
300.0   1.000E-03   1.169E-93    NH2+NH2->N2H2+H2    
300.0   1.259E-03   9.293E-94    NH2+NH2->N2H2+H2    
300.0   1.585E-03   7.389E-94    NH2+NH2->N2H2+H2    
300.0   1.995E-03   5.875E-94    NH2+NH2->N2H2+H2    
300.0   2.512E-03   4.669E-94    NH2+NH2->N2H2+H2    
300.0   3.162E-03   3.711E-94    NH2+NH2->N2H2+H2    
300.0   3.981E-03   2.948E-94    NH2+NH2->N2H2+H2    
300.0   5.012E-03   2.341E-94    NH2+NH2->N2H2+H2    
300.0   6.310E-03   1.859E-94    NH2+NH2->N2H2+H2    
300.0   7.943E-03   1.476E-94    NH2+NH2->N2H2+H2    
300.0   1.000E-02   1.172E-94    NH2+NH2->N2H2+H2    
300.0   1.259E-02   9.301E-95    NH2+NH2->N2H2+H2    
300.0   1.585E-02   7.393E-95    NH2+NH2->N2H2+H2    
300.0   1.995E-02   5.876E-95    NH2+NH2->N2H2+H2    
300.0   2.512E-02   4.670E-95    NH2+NH2->N2H2+H2    
300.0   3.162E-02   3.711E-95    NH2+NH2->N2H2+H2    
300.0   3.981E-02   2.949E-95    NH2+NH2->N2H2+H2    
300.0   5.012E-02   2.343E-95    NH2+NH2->N2H2+H2    
300.0   6.310E-02   1.861E-95    NH2+NH2->N2H2+H2    
300.0   7.943E-02   1.478E-95    NH2+NH2->N2H2+H2    
300.0   1.000E-01   1.174E-95    NH2+NH2->N2H2+H2    
300.0   1.259E-01   9.317E-96    NH2+NH2->N2H2+H2    
300.0   1.585E-01   7.396E-96    NH2+NH2->N2H2+H2    
300.0   1.995E-01   5.870E-96    NH2+NH2->N2H2+H2    
300.0   2.512E-01   4.664E-96    NH2+NH2->N2H2+H2    
300.0   3.162E-01   3.707E-96    NH2+NH2->N2H2+H2    
300.0   3.981E-01   2.947E-96    NH2+NH2->N2H2+H2    
300.0   5.012E-01   2.342E-96    NH2+NH2->N2H2+H2    
300.0   6.310E-01   1.861E-96    NH2+NH2->N2H2+H2    
300.0   7.943E-01   1.478E-96    NH2+NH2->N2H2+H2    
300.0   1.000E+00   1.174E-96    NH2+NH2->N2H2+H2    
300.0   1.259E+00   9.325E-97    NH2+NH2->N2H2+H2    
