#10Xsolar and C/O = 0.25:# For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.310E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   8.250E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   5.201E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   3.281E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   2.071E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   1.308E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   8.262E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   5.206E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   3.282E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   2.070E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   1.307E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   8.251E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   5.213E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   3.286E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   2.071E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   1.307E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   8.247E-86    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   5.208E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   3.290E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   2.076E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   1.310E-86    CH2NH2+H->CH2NH+H2  
300.0   1.259E-04   1.041E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   8.277E-87    CH2NH2+H->CH2NH+H2  
300.0   1.995E-04   6.578E-87    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   5.227E-87    CH2NH2+H->CH2NH+H2  
300.0   3.162E-04   4.153E-87    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   3.298E-87    CH2NH2+H->CH2NH+H2  
300.0   5.012E-04   2.619E-87    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   2.079E-87    CH2NH2+H->CH2NH+H2  
300.0   7.943E-04   1.651E-87    CH2NH2+H->CH2NH+H2  
300.0   1.000E-03   1.312E-87    CH2NH2+H->CH2NH+H2  
300.0   1.259E-03   1.043E-87    CH2NH2+H->CH2NH+H2  
300.0   1.585E-03   8.289E-88    CH2NH2+H->CH2NH+H2  
300.0   1.995E-03   6.587E-88    CH2NH2+H->CH2NH+H2  
300.0   2.512E-03   5.233E-88    CH2NH2+H->CH2NH+H2  
300.0   3.162E-03   4.157E-88    CH2NH2+H->CH2NH+H2  
300.0   3.981E-03   3.302E-88    CH2NH2+H->CH2NH+H2  
300.0   5.012E-03   2.622E-88    CH2NH2+H->CH2NH+H2  
300.0   6.310E-03   2.082E-88    CH2NH2+H->CH2NH+H2  
300.0   7.943E-03   1.653E-88    CH2NH2+H->CH2NH+H2  
300.0   1.000E-02   1.312E-88    CH2NH2+H->CH2NH+H2  
300.0   1.259E-02   1.041E-88    CH2NH2+H->CH2NH+H2  
300.0   1.585E-02   8.278E-89    CH2NH2+H->CH2NH+H2  
300.0   1.995E-02   6.580E-89    CH2NH2+H->CH2NH+H2  
300.0   2.512E-02   5.229E-89    CH2NH2+H->CH2NH+H2  
300.0   3.162E-02   4.156E-89    CH2NH2+H->CH2NH+H2  
300.0   3.981E-02   3.302E-89    CH2NH2+H->CH2NH+H2  
300.0   5.012E-02   2.623E-89    CH2NH2+H->CH2NH+H2  
300.0   6.310E-02   2.084E-89    CH2NH2+H->CH2NH+H2  
300.0   7.943E-02   1.655E-89    CH2NH2+H->CH2NH+H2  
300.0   1.000E-01   1.314E-89    CH2NH2+H->CH2NH+H2  
300.0   1.259E-01   1.043E-89    CH2NH2+H->CH2NH+H2  
300.0   1.585E-01   8.281E-90    CH2NH2+H->CH2NH+H2  
300.0   1.995E-01   6.572E-90    CH2NH2+H->CH2NH+H2  
300.0   2.512E-01   5.222E-90    CH2NH2+H->CH2NH+H2  
300.0   3.162E-01   4.151E-90    CH2NH2+H->CH2NH+H2  
300.0   3.981E-01   3.299E-90    CH2NH2+H->CH2NH+H2  
300.0   5.012E-01   2.622E-90    CH2NH2+H->CH2NH+H2  
300.0   6.310E-01   2.083E-90    CH2NH2+H->CH2NH+H2  
300.0   7.943E-01   1.655E-90    CH2NH2+H->CH2NH+H2  
300.0   1.000E+00   1.315E-90    CH2NH2+H->CH2NH+H2  
300.0   1.259E+00   1.044E-90    CH2NH2+H->CH2NH+H2  
300.0   1.585E+00   8.291E-91    CH2NH2+H->CH2NH+H2  
300.0   1.995E+00   6.583E-91    CH2NH2+H->CH2NH+H2  
300.0   2.512E+00   5.226E-91    CH2NH2+H->CH2NH+H2  
300.0   3.162E+00   4.148E-91    CH2NH2+H->CH2NH+H2  
300.0   3.981E+00   3.294E-91    CH2NH2+H->CH2NH+H2  
300.0   5.012E+00   2.619E-91    CH2NH2+H->CH2NH+H2  
300.0   6.310E+00   2.081E-91    CH2NH2+H->CH2NH+H2  
300.0   7.943E+00   1.654E-91    CH2NH2+H->CH2NH+H2  
300.0   1.000E+01   1.314E-91    CH2NH2+H->CH2NH+H2  
