#10Xsolar and C/O = 0.25:# For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.923E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.512E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.192E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   9.439E-68    HCN+OH->HNCO+H      
300.0   6.310E-08   7.508E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   6.002E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   4.823E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   3.800E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   2.996E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   2.372E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   1.886E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.506E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.210E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   9.559E-69    HCN+OH->HNCO+H      
300.0   6.310E-06   7.536E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   5.965E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   4.742E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   3.787E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.037E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   2.411E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   1.910E-69    HCN+OH->HNCO+H      
300.0   1.259E-04   1.702E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.519E-69    HCN+OH->HNCO+H      
300.0   1.995E-04   1.356E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.210E-69    HCN+OH->HNCO+H      
300.0   3.162E-04   1.080E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   9.636E-70    HCN+OH->HNCO+H      
300.0   5.012E-04   8.593E-70    HCN+OH->HNCO+H      
300.0   6.310E-04   7.661E-70    HCN+OH->HNCO+H      
300.0   7.943E-04   6.828E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   6.087E-70    HCN+OH->HNCO+H      
300.0   1.259E-03   5.427E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   4.838E-70    HCN+OH->HNCO+H      
300.0   1.995E-03   4.313E-70    HCN+OH->HNCO+H      
300.0   2.512E-03   3.845E-70    HCN+OH->HNCO+H      
300.0   3.162E-03   3.427E-70    HCN+OH->HNCO+H      
300.0   3.981E-03   3.054E-70    HCN+OH->HNCO+H      
300.0   5.012E-03   2.722E-70    HCN+OH->HNCO+H      
300.0   6.310E-03   2.425E-70    HCN+OH->HNCO+H      
300.0   7.943E-03   2.161E-70    HCN+OH->HNCO+H      
300.0   1.000E-02   1.925E-70    HCN+OH->HNCO+H      
300.0   1.259E-02   1.715E-70    HCN+OH->HNCO+H      
300.0   1.585E-02   1.529E-70    HCN+OH->HNCO+H      
300.0   1.995E-02   1.363E-70    HCN+OH->HNCO+H      
300.0   2.512E-02   1.215E-70    HCN+OH->HNCO+H      
300.0   3.162E-02   1.083E-70    HCN+OH->HNCO+H      
300.0   3.981E-02   9.658E-71    HCN+OH->HNCO+H      
300.0   5.012E-02   8.608E-71    HCN+OH->HNCO+H      
300.0   6.310E-02   7.672E-71    HCN+OH->HNCO+H      
300.0   7.943E-02   6.837E-71    HCN+OH->HNCO+H      
300.0   1.000E-01   6.092E-71    HCN+OH->HNCO+H      
300.0   1.259E-01   5.428E-71    HCN+OH->HNCO+H      
300.0   1.585E-01   4.836E-71    HCN+OH->HNCO+H      
300.0   1.995E-01   4.309E-71    HCN+OH->HNCO+H      
300.0   2.512E-01   3.841E-71    HCN+OH->HNCO+H      
300.0   3.162E-01   3.424E-71    HCN+OH->HNCO+H      
300.0   3.981E-01   3.053E-71    HCN+OH->HNCO+H      
300.0   5.012E-01   2.721E-71    HCN+OH->HNCO+H      
300.0   6.310E-01   2.426E-71    HCN+OH->HNCO+H      
300.0   7.943E-01   2.162E-71    HCN+OH->HNCO+H      
300.0   1.000E+00   1.927E-71    HCN+OH->HNCO+H      
300.0   1.259E+00   1.717E-71    HCN+OH->HNCO+H      
300.0   1.585E+00   1.530E-71    HCN+OH->HNCO+H      
300.0   1.995E+00   1.364E-71    HCN+OH->HNCO+H      
300.0   2.512E+00   1.215E-71    HCN+OH->HNCO+H      
300.0   3.162E+00   1.082E-71    HCN+OH->HNCO+H      
300.0   3.981E+00   9.646E-72    HCN+OH->HNCO+H      
300.0   5.012E+00   8.601E-72    HCN+OH->HNCO+H      
300.0   6.310E+00   7.668E-72    HCN+OH->HNCO+H      
300.0   7.943E+00   6.836E-72    HCN+OH->HNCO+H      
300.0   1.000E+01   6.093E-72    HCN+OH->HNCO+H      
300.0   1.259E+01   5.431E-72    HCN+OH->HNCO+H      
300.0   1.585E+01   4.841E-72    HCN+OH->HNCO+H      
300.0   1.995E+01   4.314E-72    HCN+OH->HNCO+H      
300.0   2.512E+01   3.844E-72    HCN+OH->HNCO+H      
300.0   3.162E+01   3.425E-72    HCN+OH->HNCO+H      
300.0   3.981E+01   3.052E-72    HCN+OH->HNCO+H      
300.0   5.012E+01   2.719E-72    HCN+OH->HNCO+H      
300.0   6.310E+01   2.423E-72    HCN+OH->HNCO+H      
300.0   7.943E+01   2.160E-72    HCN+OH->HNCO+H      
300.0   1.000E+02   1.926E-72    HCN+OH->HNCO+H      
300.0   1.259E+02   1.717E-72    HCN+OH->HNCO+H      
300.0   1.585E+02   1.530E-72    HCN+OH->HNCO+H      
300.0   1.995E+02   1.364E-72    HCN+OH->HNCO+H      
300.0   2.512E+02   1.216E-72    HCN+OH->HNCO+H      
300.0   3.162E+02   1.084E-72    HCN+OH->HNCO+H      
300.0   3.981E+02   9.657E-73    HCN+OH->HNCO+H      
300.0   5.012E+02   8.605E-73    HCN+OH->HNCO+H      
300.0   6.310E+02   9.371E-73    CH2NH2+OH->CH2OH+NH2
300.0   7.943E+02   1.186E-72    CH2NH2+OH->CH2OH+NH2
300.0   1.000E+03   1.503E-72    CH2NH2+OH->CH2OH+NH2
350.0   1.000E-08   4.868E-59    HCN+OH->HNCO+H      
350.0   1.585E-08   3.826E-59    HCN+OH->HNCO+H      
350.0   2.512E-08   3.017E-59    HCN+OH->HNCO+H      
350.0   3.981E-08   2.389E-59    HCN+OH->HNCO+H      
350.0   6.310E-08   1.900E-59    HCN+OH->HNCO+H      
350.0   1.000E-07   1.519E-59    HCN+OH->HNCO+H      
350.0   1.585E-07   1.221E-59    HCN+OH->HNCO+H      
350.0   2.512E-07   9.619E-60    HCN+OH->HNCO+H      
350.0   3.981E-07   7.584E-60    HCN+OH->HNCO+H      
350.0   6.310E-07   6.002E-60    HCN+OH->HNCO+H      
350.0   1.000E-06   4.772E-60    HCN+OH->HNCO+H      
350.0   1.585E-06   3.811E-60    HCN+OH->HNCO+H      
350.0   2.512E-06   3.062E-60    HCN+OH->HNCO+H      
350.0   3.981E-06   2.419E-60    HCN+OH->HNCO+H      
350.0   6.310E-06   1.906E-60    HCN+OH->HNCO+H      
350.0   1.000E-05   1.508E-60    HCN+OH->HNCO+H      
350.0   1.585E-05   1.198E-60    HCN+OH->HNCO+H      
350.0   2.512E-05   9.567E-61    HCN+OH->HNCO+H      
350.0   3.981E-05   7.679E-61    HCN+OH->HNCO+H      
350.0   6.310E-05   6.084E-61    HCN+OH->HNCO+H      
350.0   1.000E-04   4.795E-61    HCN+OH->HNCO+H      
350.0   1.259E-04   4.263E-61    HCN+OH->HNCO+H      
350.0   1.585E-04   3.794E-61    HCN+OH->HNCO+H      
350.0   1.995E-04   3.380E-61    HCN+OH->HNCO+H      
350.0   2.512E-04   3.015E-61    HCN+OH->HNCO+H      
350.0   3.162E-04   2.692E-61    HCN+OH->HNCO+H      
350.0   3.981E-04   2.407E-61    HCN+OH->HNCO+H      
350.0   5.012E-04   2.153E-61    HCN+OH->HNCO+H      
350.0   6.310E-04   1.929E-61    HCN+OH->HNCO+H      
350.0   7.943E-04   1.727E-61    HCN+OH->HNCO+H      
350.0   1.000E-03   1.534E-61    HCN+OH->HNCO+H      
350.0   1.259E-03   1.365E-61    HCN+OH->HNCO+H      
350.0   1.585E-03   1.215E-61    HCN+OH->HNCO+H      
350.0   1.995E-03   1.083E-61    HCN+OH->HNCO+H      
350.0   2.512E-03   9.666E-62    HCN+OH->HNCO+H      
350.0   3.162E-03   8.626E-62    HCN+OH->HNCO+H      
350.0   3.981E-03   7.699E-62    HCN+OH->HNCO+H      
350.0   5.012E-03   6.870E-62    HCN+OH->HNCO+H      
350.0   6.310E-03   6.128E-62    HCN+OH->HNCO+H      
350.0   7.943E-03   5.464E-62    HCN+OH->HNCO+H      
350.0   1.000E-02   4.871E-62    HCN+OH->HNCO+H      
350.0   1.259E-02   4.341E-62    HCN+OH->HNCO+H      
350.0   1.585E-02   3.870E-62    HCN+OH->HNCO+H      
350.0   1.995E-02   3.450E-62    HCN+OH->HNCO+H      
350.0   2.512E-02   3.076E-62    HCN+OH->HNCO+H      
350.0   3.162E-02   2.742E-62    HCN+OH->HNCO+H      
350.0   3.981E-02   2.444E-62    HCN+OH->HNCO+H      
350.0   5.012E-02   2.179E-62    HCN+OH->HNCO+H      
350.0   6.310E-02   1.942E-62    HCN+OH->HNCO+H      
350.0   7.943E-02   1.730E-62    HCN+OH->HNCO+H      
350.0   1.000E-01   1.542E-62    HCN+OH->HNCO+H      
350.0   1.259E-01   1.374E-62    HCN+OH->HNCO+H      
350.0   1.585E-01   1.224E-62    HCN+OH->HNCO+H      
350.0   1.995E-01   1.091E-62    HCN+OH->HNCO+H      
350.0   2.512E-01   9.721E-63    HCN+OH->HNCO+H      
350.0   3.162E-01   8.667E-63    HCN+OH->HNCO+H      
350.0   3.981E-01   7.727E-63    HCN+OH->HNCO+H      
350.0   5.012E-01   6.888E-63    HCN+OH->HNCO+H      
350.0   6.310E-01   6.140E-63    HCN+OH->HNCO+H      
350.0   7.943E-01   5.473E-63    HCN+OH->HNCO+H      
350.0   1.000E+00   4.877E-63    HCN+OH->HNCO+H      
350.0   1.259E+00   4.347E-63    HCN+OH->HNCO+H      
350.0   1.585E+00   3.873E-63    HCN+OH->HNCO+H      
350.0   1.995E+00   3.451E-63    HCN+OH->HNCO+H      
350.0   2.512E+00   3.075E-63    HCN+OH->HNCO+H      
350.0   3.162E+00   2.740E-63    HCN+OH->HNCO+H      
350.0   3.981E+00   2.442E-63    HCN+OH->HNCO+H      
350.0   5.012E+00   2.177E-63    HCN+OH->HNCO+H      
350.0   6.310E+00   1.941E-63    HCN+OH->HNCO+H      
350.0   7.943E+00   1.730E-63    HCN+OH->HNCO+H      
350.0   1.000E+01   1.542E-63    HCN+OH->HNCO+H      
350.0   1.259E+01   1.375E-63    HCN+OH->HNCO+H      
350.0   1.585E+01   1.225E-63    HCN+OH->HNCO+H      
350.0   1.995E+01   1.092E-63    HCN+OH->HNCO+H      
350.0   2.512E+01   9.730E-64    HCN+OH->HNCO+H      
350.0   3.162E+01   8.670E-64    HCN+OH->HNCO+H      
350.0   3.981E+01   7.725E-64    HCN+OH->HNCO+H      
350.0   5.012E+01   6.882E-64    HCN+OH->HNCO+H      
350.0   6.310E+01   6.132E-64    HCN+OH->HNCO+H      
350.0   7.943E+01   5.468E-64    HCN+OH->HNCO+H      
350.0   1.000E+02   4.875E-64    HCN+OH->HNCO+H      
350.0   1.259E+02   4.346E-64    HCN+OH->HNCO+H      
350.0   1.585E+02   3.874E-64    HCN+OH->HNCO+H      
350.0   1.995E+02   3.453E-64    HCN+OH->HNCO+H      
350.0   2.512E+02   3.077E-64    HCN+OH->HNCO+H      
350.0   3.162E+02   2.743E-64    HCN+OH->HNCO+H      
350.0   3.981E+02   2.444E-64    HCN+OH->HNCO+H      
350.0   5.012E+02   2.400E-64    CH2NH2+OH->CH2OH+NH2
350.0   6.310E+02   3.033E-64    CH2NH2+OH->CH2OH+NH2
350.0   7.943E+02   3.838E-64    CH2NH2+OH->CH2OH+NH2
350.0   1.000E+03   4.865E-64    CH2NH2+OH->CH2OH+NH2
400.0   1.000E-08   1.099E-52    HCN+OH->HNCO+H      
400.0   1.585E-08   8.651E-53    HCN+OH->HNCO+H      
400.0   2.512E-08   6.821E-53    HCN+OH->HNCO+H      
400.0   3.981E-08   5.399E-53    HCN+OH->HNCO+H      
400.0   6.310E-08   4.292E-53    HCN+OH->HNCO+H      
400.0   1.000E-07   3.430E-53    HCN+OH->HNCO+H      
400.0   1.585E-07   2.757E-53    HCN+OH->HNCO+H      
400.0   2.512E-07   2.172E-53    HCN+OH->HNCO+H      
400.0   3.981E-07   1.712E-53    HCN+OH->HNCO+H      
400.0   6.310E-07   1.355E-53    HCN+OH->HNCO+H      
400.0   1.000E-06   1.078E-53    HCN+OH->HNCO+H      
400.0   1.585E-06   8.606E-54    HCN+OH->HNCO+H      
400.0   2.512E-06   6.914E-54    HCN+OH->HNCO+H      
400.0   3.981E-06   5.462E-54    HCN+OH->HNCO+H      
400.0   6.310E-06   4.304E-54    HCN+OH->HNCO+H      
400.0   1.000E-05   3.405E-54    HCN+OH->HNCO+H      
400.0   1.585E-05   2.705E-54    HCN+OH->HNCO+H      
400.0   2.512E-05   2.160E-54    HCN+OH->HNCO+H      
400.0   3.981E-05   1.734E-54    HCN+OH->HNCO+H      
400.0   6.310E-05   1.374E-54    HCN+OH->HNCO+H      
400.0   1.000E-04   1.082E-54    HCN+OH->HNCO+H      
400.0   1.259E-04   9.617E-55    HCN+OH->HNCO+H      
400.0   1.585E-04   8.556E-55    HCN+OH->HNCO+H      
