#10Xsolar and C/O = 1:# For the net reaction CO + CH4 -> C2H2 + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.427E-89    OH+C2H2+M->CH3CO+M  
300.0   1.585E-08   1.788E-89    OH+C2H2+M->CH3CO+M  
300.0   2.512E-08   2.244E-89    OH+C2H2+M->CH3CO+M  
300.0   3.981E-08   2.820E-89    OH+C2H2+M->CH3CO+M  
300.0   6.310E-08   3.551E-89    OH+C2H2+M->CH3CO+M  
300.0   1.000E-07   4.484E-89    OH+C2H2+M->CH3CO+M  
300.0   1.585E-07   5.677E-89    OH+C2H2+M->CH3CO+M  
300.0   2.512E-07   7.122E-89    OH+C2H2+M->CH3CO+M  
300.0   3.981E-07   8.935E-89    OH+C2H2+M->CH3CO+M  
300.0   6.310E-07   1.123E-88    OH+C2H2+M->CH3CO+M  
300.0   1.000E-06   1.414E-88    OH+C2H2+M->CH3CO+M  
300.0   1.585E-06   1.784E-88    OH+C2H2+M->CH3CO+M  
300.0   2.512E-06   2.258E-88    OH+C2H2+M->CH3CO+M  
300.0   3.981E-06   2.836E-88    OH+C2H2+M->CH3CO+M  
300.0   6.310E-06   3.557E-88    OH+C2H2+M->CH3CO+M  
300.0   1.000E-05   4.468E-88    OH+C2H2+M->CH3CO+M  
300.0   1.585E-05   5.621E-88    OH+C2H2+M->CH3CO+M  
300.0   2.512E-05   7.089E-88    OH+C2H2+M->CH3CO+M  
300.0   3.981E-05   8.961E-88    OH+C2H2+M->CH3CO+M  
300.0   6.310E-05   1.126E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-04   1.408E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-04   1.575E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-04   1.763E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-04   1.972E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-04   2.205E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-04   2.466E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-04   2.756E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-04   3.079E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-04   3.436E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-04   3.828E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-03   4.231E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-03   4.663E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-03   5.124E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-03   5.607E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-03   6.105E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-03   6.608E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-03   7.104E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-03   7.575E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-03   8.004E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-03   8.372E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-02   8.659E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-02   8.853E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-02   8.886E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-02   8.798E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-02   8.602E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-02   8.308E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-02   7.935E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-02   7.501E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-02   7.027E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-02   6.531E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-01   6.030E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-01   5.536E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-01   5.060E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-01   4.609E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-01   4.168E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-01   3.751E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-01   3.369E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-01   3.021E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-01   2.706E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-01   2.422E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E+00   2.167E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E+00   1.938E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E+00   1.733E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E+00   1.550E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E+00   1.387E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E+00   1.241E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E+00   1.108E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E+00   9.860E-88    OH+C2H2+M->CH3CO+M  
300.0   6.310E+00   8.776E-88    OH+C2H2+M->CH3CO+M  
300.0   7.943E+00   7.812E-88    OH+C2H2+M->CH3CO+M  
300.0   1.000E+01   6.956E-88    OH+C2H2+M->CH3CO+M  
300.0   1.259E+01   6.196E-88    OH+C2H2+M->CH3CO+M  
300.0   1.585E+01   5.522E-88    OH+C2H2+M->CH3CO+M  
300.0   1.995E+01   4.923E-88    OH+C2H2+M->CH3CO+M  
