#10Xsolar and C/O = 1:# For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.935E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.521E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.199E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   9.498E-68    HCN+OH->HNCO+H      
300.0   6.310E-08   7.554E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   6.039E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   4.853E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   3.824E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   3.015E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   2.386E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   1.897E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.515E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.217E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   9.618E-69    HCN+OH->HNCO+H      
300.0   6.310E-06   7.583E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   6.002E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   4.771E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   3.810E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.056E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   2.426E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   1.921E-69    HCN+OH->HNCO+H      
300.0   1.259E-04   1.713E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.528E-69    HCN+OH->HNCO+H      
300.0   1.995E-04   1.364E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.217E-69    HCN+OH->HNCO+H      
300.0   3.162E-04   1.087E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   9.695E-70    HCN+OH->HNCO+H      
300.0   5.012E-04   8.647E-70    HCN+OH->HNCO+H      
300.0   6.310E-04   7.709E-70    HCN+OH->HNCO+H      
300.0   7.943E-04   6.871E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   6.125E-70    HCN+OH->HNCO+H      
300.0   1.259E-03   5.461E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   4.868E-70    HCN+OH->HNCO+H      
300.0   1.995E-03   4.340E-70    HCN+OH->HNCO+H      
300.0   2.512E-03   3.869E-70    HCN+OH->HNCO+H      
300.0   3.162E-03   3.448E-70    HCN+OH->HNCO+H      
300.0   3.981E-03   3.073E-70    HCN+OH->HNCO+H      
300.0   5.012E-03   2.739E-70    HCN+OH->HNCO+H      
300.0   6.310E-03   2.440E-70    HCN+OH->HNCO+H      
300.0   7.943E-03   2.174E-70    HCN+OH->HNCO+H      
300.0   1.000E-02   1.937E-70    HCN+OH->HNCO+H      
300.0   1.259E-02   1.726E-70    HCN+OH->HNCO+H      
300.0   1.585E-02   1.539E-70    HCN+OH->HNCO+H      
300.0   1.995E-02   1.372E-70    HCN+OH->HNCO+H      
