# For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.696E-84    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   1.477E-84    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   5.893E-85    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   2.348E-85    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   9.347E-86    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   3.715E-86    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   1.475E-86    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   5.884E-87    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   2.347E-87    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   9.353E-88    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   3.722E-88    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   1.480E-88    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   5.873E-89    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   2.342E-89    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   9.344E-90    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   3.724E-90    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   1.483E-90    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   5.894E-91    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   2.341E-91    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   9.328E-92    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   3.723E-92    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   2.351E-92    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   1.484E-92    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   9.368E-93    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   5.911E-93    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   3.728E-93    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   2.350E-93    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   1.481E-93    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   9.333E-94    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   5.881E-94    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   3.716E-94    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   2.348E-94    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   1.483E-94    C2H4+M->C2H2+H2+M   
300.0   1.995E-03   9.365E-95    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   5.912E-95    C2H4+M->C2H2+H2+M   
300.0   3.162E-03   3.731E-95    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   2.354E-95    C2H4+M->C2H2+H2+M   
300.0   5.012E-03   1.485E-95    C2H4+M->C2H2+H2+M   
300.0   6.310E-03   9.360E-96    C2H4+M->C2H2+H2+M   
300.0   7.943E-03   5.900E-96    C2H4+M->C2H2+H2+M   
300.0   1.000E-02   3.717E-96    C2H4+M->C2H2+H2+M   
300.0   1.259E-02   2.341E-96    C2H4+M->C2H2+H2+M   
300.0   1.585E-02   1.479E-96    C2H4+M->C2H2+H2+M   
300.0   1.995E-02   9.345E-97    C2H4+M->C2H2+H2+M   
300.0   2.512E-02   5.903E-97    C2H4+M->C2H2+H2+M   
300.0   3.162E-02   3.728E-97    C2H4+M->C2H2+H2+M   
300.0   3.981E-02   2.353E-97    C2H4+M->C2H2+H2+M   
300.0   5.012E-02   1.485E-97    C2H4+M->C2H2+H2+M   
300.0   6.310E-02   9.371E-98    C2H4+M->C2H2+H2+M   
300.0   7.943E-02   5.911E-98    C2H4+M->C2H2+H2+M   
300.0   1.000E-01   3.727E-98    C2H4+M->C2H2+H2+M   
300.0   1.259E-01   2.349E-98    C2H4+M->C2H2+H2+M   
300.0   1.585E-01   1.480E-98    C2H4+M->C2H2+H2+M   
300.0   1.995E-01   9.325E-99    C2H4+M->C2H2+H2+M   
300.0   2.512E-01   5.886E-99    C2H4+M->C2H2+H2+M   
300.0   3.162E-01   3.719E-99    C2H4+M->C2H2+H2+M   
300.0   3.981E-01   2.349E-99    C2H4+M->C2H2+H2+M   
300.0   5.012E-01   1.484E-99    C2H4+M->C2H2+H2+M   
300.0   6.310E-01  9.368E-100    C2H4+M->C2H2+H2+M   
300.0   7.943E-01  5.913E-100    C2H4+M->C2H2+H2+M   
300.0   1.000E+00  3.731E-100    C2H4+M->C2H2+H2+M   
300.0   1.259E+00  2.353E-100    C2H4+M->C2H2+H2+M   
300.0   1.585E+00  1.484E-100    C2H4+M->C2H2+H2+M   
300.0   1.995E+00  9.355E-101    C2H4+M->C2H2+H2+M   
300.0   2.512E+00  5.895E-101    C2H4+M->C2H2+H2+M   
300.0   3.162E+00  3.714E-101    C2H4+M->C2H2+H2+M   
300.0   3.981E+00  2.342E-101    C2H4+M->C2H2+H2+M   
300.0   5.012E+00  1.480E-101    C2H4+M->C2H2+H2+M   
300.0   6.310E+00  9.351E-102    C2H4+M->C2H2+H2+M   
300.0   7.943E+00  5.906E-102    C2H4+M->C2H2+H2+M   
300.0   1.000E+01  3.729E-102    C2H4+M->C2H2+H2+M   
300.0   1.259E+01  2.354E-102    C2H4+M->C2H2+H2+M   
300.0   1.585E+01  1.485E-102    C2H4+M->C2H2+H2+M   
300.0   1.995E+01  9.369E-103    C2H4+M->C2H2+H2+M   
300.0   2.512E+01  5.909E-103    C2H4+M->C2H2+H2+M   
300.0   3.162E+01  3.725E-103    C2H4+M->C2H2+H2+M   
300.0   3.981E+01  2.348E-103    C2H4+M->C2H2+H2+M   
300.0   5.012E+01  1.479E-103    C2H4+M->C2H2+H2+M   
300.0   6.310E+01  9.322E-104    C2H4+M->C2H2+H2+M   
300.0   7.943E+01  5.891E-104    C2H4+M->C2H2+H2+M   
300.0   1.000E+02  3.722E-104    C2H4+M->C2H2+H2+M   
300.0   1.259E+02  2.351E-104    C2H4+M->C2H2+H2+M   
300.0   1.585E+02  1.484E-104    C2H4+M->C2H2+H2+M   
300.0   1.995E+02  9.370E-105    C2H4+M->C2H2+H2+M   
300.0   2.512E+02  5.913E-105    C2H4+M->C2H2+H2+M   
300.0   3.162E+02  3.730E-105    C2H4+M->C2H2+H2+M   
300.0   3.981E+02  2.353E-105    C2H4+M->C2H2+H2+M   
