# For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.342E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-08   1.067E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-08   8.476E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-08   6.734E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-08   5.348E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-07   4.246E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-07   3.370E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-07   2.679E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-07   2.129E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-07   1.691E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-06   1.343E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-06   1.067E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-06   8.467E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-06   6.728E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-06   5.348E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-05   4.249E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-05   3.375E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-05   2.680E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-05   2.127E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-05   1.690E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-04   1.344E-81    CH3OH+H->CH3+H2O    
300.0   1.259E-04   1.198E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-04   1.068E-81    CH3OH+H->CH3+H2O    
300.0   1.995E-04   9.515E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-04   8.480E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-04   7.557E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-04   6.734E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-04   6.000E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-04   5.346E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-04   4.763E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-03   4.247E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-03   3.786E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-03   3.375E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-03   3.009E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-03   2.682E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-03   2.390E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-03   2.130E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-03   1.898E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-03   1.692E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-03   1.507E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-02   1.343E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-02   1.196E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-02   1.067E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-02   9.510E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-02   8.478E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-02   7.557E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-02   6.736E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-02   6.004E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-02   5.351E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-02   4.769E-83    CH3OH+H->CH3+H2O    
300.0   1.000E-01   4.250E-83    CH3OH+H->CH3+H2O    
300.0   1.259E-01   3.786E-83    CH3OH+H->CH3+H2O    
300.0   1.585E-01   3.374E-83    CH3OH+H->CH3+H2O    
300.0   1.995E-01   3.005E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-01   2.679E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-01   2.389E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-01   2.129E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-01   1.898E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-01   1.692E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-01   1.508E-83    CH3OH+H->CH3+H2O    
300.0   1.000E+00   1.344E-83    CH3OH+H->CH3+H2O    
300.0   1.259E+00   1.198E-83    CH3OH+H->CH3+H2O    
300.0   1.585E+00   1.067E-83    CH3OH+H->CH3+H2O    
300.0   1.995E+00   9.512E-84    CH3OH+H->CH3+H2O    
