#500Xsolar and C/O = 0.25:# For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   4.806E-83    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   1.960E-83    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   7.895E-84    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   3.159E-84    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   1.259E-84    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   5.009E-85    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   1.989E-85    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   7.936E-86    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   3.166E-86    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   1.262E-86    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   5.021E-87    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   1.996E-87    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   7.924E-88    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   3.160E-88    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   1.261E-88    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   5.029E-89    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   2.003E-89    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   7.975E-90    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   3.173E-90    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   1.268E-90    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   5.086E-91    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   3.223E-91    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   2.043E-91    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   1.296E-91    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   8.233E-92    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   5.236E-92    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   3.335E-92    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   2.129E-92    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   1.362E-92    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   8.745E-93    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   5.649E-93    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   3.664E-93    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   2.386E-93    C2H4+M->C2H2+H2+M   
300.0   1.995E-03   1.561E-93    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   1.026E-93    C2H4+M->C2H2+H2+M   
300.0   3.162E-03   6.774E-94    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   4.492E-94    C2H4+M->C2H2+H2+M   
300.0   5.012E-03   2.990E-94    C2H4+M->C2H2+H2+M   
300.0   6.310E-03   1.996E-94    C2H4+M->C2H2+H2+M   
300.0   7.943E-03   1.335E-94    C2H4+M->C2H2+H2+M   
300.0   1.000E-02   8.923E-95    C2H4+M->C2H2+H2+M   
300.0   1.259E-02   5.954E-95    C2H4+M->C2H2+H2+M   
300.0   1.585E-02   3.963E-95    C2H4+M->C2H2+H2+M   
300.0   1.995E-02   2.624E-95    C2H4+M->C2H2+H2+M   
300.0   2.512E-02   1.725E-95    C2H4+M->C2H2+H2+M   
300.0   3.162E-02   1.126E-95    C2H4+M->C2H2+H2+M   
300.0   3.981E-02   7.288E-96    C2H4+M->C2H2+H2+M   
300.0   5.012E-02   4.687E-96    C2H4+M->C2H2+H2+M   
300.0   6.310E-02   2.997E-96    C2H4+M->C2H2+H2+M   
300.0   7.943E-02   1.908E-96    C2H4+M->C2H2+H2+M   
300.0   1.000E-01   1.210E-96    C2H4+M->C2H2+H2+M   
300.0   1.259E-01   7.660E-97    C2H4+M->C2H2+H2+M   
300.0   1.585E-01   4.839E-97    C2H4+M->C2H2+H2+M   
300.0   1.995E-01   3.053E-97    C2H4+M->C2H2+H2+M   
300.0   2.512E-01   1.929E-97    C2H4+M->C2H2+H2+M   
300.0   3.162E-01   1.220E-97    C2H4+M->C2H2+H2+M   
300.0   3.981E-01   7.709E-98    C2H4+M->C2H2+H2+M   
300.0   5.012E-01   4.870E-98    C2H4+M->C2H2+H2+M   
300.0   6.310E-01   3.075E-98    C2H4+M->C2H2+H2+M   
300.0   7.943E-01   1.941E-98    C2H4+M->C2H2+H2+M   
300.0   1.000E+00   1.225E-98    C2H4+M->C2H2+H2+M   
300.0   1.259E+00   7.727E-99    C2H4+M->C2H2+H2+M   
300.0   1.585E+00   4.873E-99    C2H4+M->C2H2+H2+M   
300.0   1.995E+00   3.072E-99    C2H4+M->C2H2+H2+M   
300.0   2.512E+00   1.936E-99    C2H4+M->C2H2+H2+M   
300.0   3.162E+00   1.219E-99    C2H4+M->C2H2+H2+M   
300.0   3.981E+00  7.692E-100    C2H4+M->C2H2+H2+M   
300.0   5.012E+00  4.861E-100    C2H4+M->C2H2+H2+M   
300.0   6.310E+00  3.071E-100    C2H4+M->C2H2+H2+M   
300.0   7.943E+00  1.939E-100    C2H4+M->C2H2+H2+M   
300.0   1.000E+01  1.224E-100    C2H4+M->C2H2+H2+M   
300.0   1.259E+01  7.729E-101    C2H4+M->C2H2+H2+M   
300.0   1.585E+01  4.877E-101    C2H4+M->C2H2+H2+M   
300.0   1.995E+01  3.077E-101    C2H4+M->C2H2+H2+M   
300.0   2.512E+01  1.940E-101    C2H4+M->C2H2+H2+M   
300.0   3.162E+01  1.223E-101    C2H4+M->C2H2+H2+M   
300.0   3.981E+01  7.709E-102    C2H4+M->C2H2+H2+M   
300.0   5.012E+01  4.857E-102    C2H4+M->C2H2+H2+M   
