#500Xsolar and C/O = 0.25:# For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   2.548E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-08   2.036E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-08   1.622E-79    CH3OH+H->CH3+H2O    
300.0   3.981E-08   1.290E-79    CH3OH+H->CH3+H2O    
300.0   6.310E-08   1.025E-79    CH3OH+H->CH3+H2O    
300.0   1.000E-07   8.137E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-07   6.459E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-07   5.134E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-07   4.080E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-07   3.241E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-06   2.575E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-06   2.044E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-06   1.623E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-06   1.290E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-06   1.025E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-05   8.145E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-05   6.471E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-05   5.140E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-05   4.082E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-05   3.246E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-04   2.583E-81    CH3OH+H->CH3+H2O    
300.0   1.259E-04   2.304E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-04   2.056E-81    CH3OH+H->CH3+H2O    
300.0   1.995E-04   1.835E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-04   1.638E-81    CH3OH+H->CH3+H2O    
300.0   3.162E-04   1.463E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-04   1.307E-81    CH3OH+H->CH3+H2O    
300.0   5.012E-04   1.168E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-04   1.045E-81    CH3OH+H->CH3+H2O    
300.0   7.943E-04   9.353E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-03   8.386E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-03   7.525E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-03   6.761E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-03   6.080E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-03   5.475E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-03   4.935E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-03   4.454E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-03   4.023E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-03   3.636E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-03   3.288E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-02   2.973E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-02   2.687E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-02   2.427E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-02   2.189E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-02   1.971E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-02   1.772E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-02   1.589E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-02   1.423E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-02   1.273E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-02   1.137E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-01   1.014E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-01   9.048E-83    CH3OH+H->CH3+H2O    
300.0   1.585E-01   8.067E-83    CH3OH+H->CH3+H2O    
300.0   1.995E-01   7.190E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-01   6.410E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-01   5.716E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-01   5.097E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-01   4.544E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-01   4.050E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-01   3.610E-83    CH3OH+H->CH3+H2O    
300.0   1.000E+00   3.218E-83    CH3OH+H->CH3+H2O    
300.0   1.259E+00   2.868E-83    CH3OH+H->CH3+H2O    
300.0   1.585E+00   2.555E-83    CH3OH+H->CH3+H2O    
300.0   1.995E+00   2.277E-83    CH3OH+H->CH3+H2O    
300.0   2.512E+00   2.029E-83    CH3OH+H->CH3+H2O    
300.0   3.162E+00   1.807E-83    CH3OH+H->CH3+H2O    
300.0   3.981E+00   1.611E-83    CH3OH+H->CH3+H2O    
300.0   5.012E+00   1.436E-83    CH3OH+H->CH3+H2O    
300.0   6.310E+00   1.280E-83    CH3OH+H->CH3+H2O    
300.0   7.943E+00   1.141E-83    CH3OH+H->CH3+H2O    
300.0   1.000E+01   1.017E-83    CH3OH+H->CH3+H2O    
300.0   1.259E+01   9.069E-84    CH3OH+H->CH3+H2O    
300.0   1.585E+01   8.083E-84    CH3OH+H->CH3+H2O    
300.0   1.995E+01   7.203E-84    CH3OH+H->CH3+H2O    
300.0   2.512E+01   6.419E-84    CH3OH+H->CH3+H2O    
300.0   3.162E+01   5.720E-84    CH3OH+H->CH3+H2O    
300.0   3.981E+01   5.096E-84    CH3OH+H->CH3+H2O    
300.0   5.012E+01   4.540E-84    CH3OH+H->CH3+H2O    
300.0   6.310E+01   4.046E-84    CH3OH+H->CH3+H2O    
300.0   7.943E+01   3.607E-84    CH3OH+H->CH3+H2O    
300.0   1.000E+02   3.216E-84    CH3OH+H->CH3+H2O    
300.0   1.259E+02   2.867E-84    CH3OH+H->CH3+H2O    
