#500Xsolar and C/O = 0.25:# For the net reaction CO + CH4 -> C2H2 + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   2.702E-89    OH+C2H2+M->CH3CO+M  
300.0   1.585E-08   3.404E-89    OH+C2H2+M->CH3CO+M  
300.0   2.512E-08   4.280E-89    OH+C2H2+M->CH3CO+M  
300.0   3.981E-08   5.385E-89    OH+C2H2+M->CH3CO+M  
300.0   6.310E-08   6.784E-89    OH+C2H2+M->CH3CO+M  
300.0   1.000E-07   8.567E-89    OH+C2H2+M->CH3CO+M  
300.0   1.585E-07   1.085E-88    OH+C2H2+M->CH3CO+M  
300.0   2.512E-07   1.361E-88    OH+C2H2+M->CH3CO+M  
300.0   3.981E-07   1.707E-88    OH+C2H2+M->CH3CO+M  
300.0   6.310E-07   2.145E-88    OH+C2H2+M->CH3CO+M  
300.0   1.000E-06   2.701E-88    OH+C2H2+M->CH3CO+M  
300.0   1.585E-06   3.409E-88    OH+C2H2+M->CH3CO+M  
300.0   2.512E-06   4.315E-88    OH+C2H2+M->CH3CO+M  
300.0   3.981E-06   5.420E-88    OH+C2H2+M->CH3CO+M  
300.0   6.310E-06   6.798E-88    OH+C2H2+M->CH3CO+M  
300.0   1.000E-05   8.540E-88    OH+C2H2+M->CH3CO+M  
300.0   1.585E-05   1.075E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-05   1.356E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-05   1.715E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-05   2.155E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-04   2.700E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-04   3.023E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-04   3.385E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E-04   3.792E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E-04   4.249E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-04   4.761E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-04   5.336E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-04   5.979E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-04   6.698E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-04   7.495E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E-03   8.331E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E-03   9.246E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E-03   1.024E-86    OH+C2H2+M->CH3CO+M  
300.0   1.995E-03   1.131E-86    OH+C2H2+M->CH3CO+M  
300.0   2.512E-03   1.244E-86    OH+C2H2+M->CH3CO+M  
300.0   3.162E-03   1.362E-86    OH+C2H2+M->CH3CO+M  
300.0   3.981E-03   1.483E-86    OH+C2H2+M->CH3CO+M  
300.0   5.012E-03   1.603E-86    OH+C2H2+M->CH3CO+M  
300.0   6.310E-03   1.718E-86    OH+C2H2+M->CH3CO+M  
300.0   7.943E-03   1.823E-86    OH+C2H2+M->CH3CO+M  
300.0   1.000E-02   1.913E-86    OH+C2H2+M->CH3CO+M  
300.0   1.259E-02   1.983E-86    OH+C2H2+M->CH3CO+M  
300.0   1.585E-02   2.017E-86    OH+C2H2+M->CH3CO+M  
300.0   1.995E-02   2.021E-86    OH+C2H2+M->CH3CO+M  
300.0   2.512E-02   1.996E-86    OH+C2H2+M->CH3CO+M  
300.0   3.162E-02   1.943E-86    OH+C2H2+M->CH3CO+M  
300.0   3.981E-02   1.868E-86    OH+C2H2+M->CH3CO+M  
300.0   5.012E-02   1.774E-86    OH+C2H2+M->CH3CO+M  
300.0   6.310E-02   1.667E-86    OH+C2H2+M->CH3CO+M  
300.0   7.943E-02   1.553E-86    OH+C2H2+M->CH3CO+M  
300.0   1.000E-01   1.435E-86    OH+C2H2+M->CH3CO+M  
300.0   1.259E-01   1.319E-86    OH+C2H2+M->CH3CO+M  
300.0   1.585E-01   1.207E-86    OH+C2H2+M->CH3CO+M  
300.0   1.995E-01   1.099E-86    OH+C2H2+M->CH3CO+M  
300.0   2.512E-01   9.945E-87    OH+C2H2+M->CH3CO+M  
300.0   3.162E-01   8.951E-87    OH+C2H2+M->CH3CO+M  
300.0   3.981E-01   8.040E-87    OH+C2H2+M->CH3CO+M  
300.0   5.012E-01   7.211E-87    OH+C2H2+M->CH3CO+M  
300.0   6.310E-01   6.459E-87    OH+C2H2+M->CH3CO+M  
300.0   7.943E-01   5.781E-87    OH+C2H2+M->CH3CO+M  
300.0   1.000E+00   5.171E-87    OH+C2H2+M->CH3CO+M  
300.0   1.259E+00   4.625E-87    OH+C2H2+M->CH3CO+M  
300.0   1.585E+00   4.136E-87    OH+C2H2+M->CH3CO+M  
300.0   1.995E+00   3.699E-87    OH+C2H2+M->CH3CO+M  
300.0   2.512E+00   3.309E-87    OH+C2H2+M->CH3CO+M  
