#500Xsolar and C/O = 0.25:# For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   5.110E-88    N+NH3->N2H+H2       
300.0   1.585E-08   2.597E-88    N+NH3->N2H+H2       
300.0   2.512E-08   1.311E-88    N+NH3->N2H+H2       
300.0   3.981E-08   6.594E-89    N+NH3->N2H+H2       
300.0   6.310E-08   3.317E-89    N+NH3->N2H+H2       
300.0   1.000E-07   3.487E-89    NH2+NH2->N2H2+H2    
300.0   1.585E-07   2.210E-89    NH2+NH2->N2H2+H2    
300.0   2.512E-07   1.389E-89    NH2+NH2->N2H2+H2    
300.0   3.981E-07   8.738E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   5.508E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   3.478E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-06   2.200E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-06   1.394E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-06   8.770E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   5.517E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   3.478E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-05   2.196E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-05   1.390E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-05   8.813E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   5.560E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   3.505E-92    NH2+NH2->N2H2+H2    
300.0   1.259E-04   2.787E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-04   2.218E-92    NH2+NH2->N2H2+H2    
300.0   1.995E-04   1.767E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-04   1.409E-92    NH2+NH2->N2H2+H2    
300.0   3.162E-04   1.125E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-04   8.992E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   7.199E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   5.773E-93    NH2+NH2->N2H2+H2    
