#500Xsolar and C/O = 1:# For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   7.994E-82    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   4.772E-82    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   2.878E-82    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   1.750E-82    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   1.072E-82    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   6.605E-83    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   4.088E-83    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   2.540E-83    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   1.583E-83    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   9.893E-84    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   6.193E-84    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   3.883E-84    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   2.438E-84    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   1.532E-84    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   9.637E-85    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   6.065E-85    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   3.819E-85    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   2.406E-85    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   1.516E-85    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   9.557E-86    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   6.025E-86    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   4.784E-86    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   3.799E-86    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   3.017E-86    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   2.396E-86    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   1.903E-86    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   1.511E-86    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   1.200E-86    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   9.532E-87    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   7.570E-87    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   6.012E-87    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   4.775E-87    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   3.793E-87    C2H4+M->C2H2+H2+M   
300.0   1.995E-03   3.013E-87    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   2.393E-87    C2H4+M->C2H2+H2+M   
300.0   3.162E-03   1.901E-87    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   1.510E-87    C2H4+M->C2H2+H2+M   
300.0   5.012E-03   1.199E-87    C2H4+M->C2H2+H2+M   
300.0   6.310E-03   9.524E-88    C2H4+M->C2H2+H2+M   
300.0   7.943E-03   7.565E-88    C2H4+M->C2H2+H2+M   
300.0   1.000E-02   6.009E-88    C2H4+M->C2H2+H2+M   
300.0   1.259E-02   4.773E-88    C2H4+M->C2H2+H2+M   
300.0   1.585E-02   3.791E-88    C2H4+M->C2H2+H2+M   
300.0   1.995E-02   3.011E-88    C2H4+M->C2H2+H2+M   
300.0   2.512E-02   2.392E-88    C2H4+M->C2H2+H2+M   
300.0   3.162E-02   1.900E-88    C2H4+M->C2H2+H2+M   
300.0   3.981E-02   1.509E-88    C2H4+M->C2H2+H2+M   
300.0   5.012E-02   1.199E-88    C2H4+M->C2H2+H2+M   
300.0   6.310E-02   9.521E-89    C2H4+M->C2H2+H2+M   
300.0   7.943E-02   7.563E-89    C2H4+M->C2H2+H2+M   
300.0   1.000E-01   6.007E-89    C2H4+M->C2H2+H2+M   
300.0   1.259E-01   4.772E-89    C2H4+M->C2H2+H2+M   
300.0   1.585E-01   3.790E-89    C2H4+M->C2H2+H2+M   
300.0   1.995E-01   3.011E-89    C2H4+M->C2H2+H2+M   
300.0   2.512E-01   2.391E-89    C2H4+M->C2H2+H2+M   
300.0   3.162E-01   1.900E-89    C2H4+M->C2H2+H2+M   
300.0   3.981E-01   1.509E-89    C2H4+M->C2H2+H2+M   
300.0   5.012E-01   1.199E-89    C2H4+M->C2H2+H2+M   
300.0   6.310E-01   9.520E-90    C2H4+M->C2H2+H2+M   
300.0   7.943E-01   7.562E-90    C2H4+M->C2H2+H2+M   
300.0   1.000E+00   6.007E-90    C2H4+M->C2H2+H2+M   
300.0   1.259E+00   4.771E-90    C2H4+M->C2H2+H2+M   
300.0   1.585E+00   3.790E-90    C2H4+M->C2H2+H2+M   
300.0   1.995E+00   3.011E-90    C2H4+M->C2H2+H2+M   
300.0   2.512E+00   2.391E-90    C2H4+M->C2H2+H2+M   
300.0   3.162E+00   1.900E-90    C2H4+M->C2H2+H2+M   
300.0   3.981E+00   1.509E-90    C2H4+M->C2H2+H2+M   
300.0   5.012E+00   1.199E-90    C2H4+M->C2H2+H2+M   
300.0   6.310E+00   9.520E-91    C2H4+M->C2H2+H2+M   
300.0   7.943E+00   7.562E-91    C2H4+M->C2H2+H2+M   
300.0   1.000E+01   6.007E-91    C2H4+M->C2H2+H2+M   
300.0   1.259E+01   4.771E-91    C2H4+M->C2H2+H2+M   
300.0   1.585E+01   3.790E-91    C2H4+M->C2H2+H2+M   
300.0   1.995E+01   3.011E-91    C2H4+M->C2H2+H2+M   
300.0   2.512E+01   2.391E-91    C2H4+M->C2H2+H2+M   
300.0   3.162E+01   1.900E-91    C2H4+M->C2H2+H2+M   
300.0   3.981E+01   1.509E-91    C2H4+M->C2H2+H2+M   
300.0   5.012E+01   1.199E-91    C2H4+M->C2H2+H2+M   
300.0   6.310E+01   9.520E-92    C2H4+M->C2H2+H2+M   
300.0   7.943E+01   7.562E-92    C2H4+M->C2H2+H2+M   
300.0   1.000E+02   6.007E-92    C2H4+M->C2H2+H2+M   
300.0   1.259E+02   4.771E-92    C2H4+M->C2H2+H2+M   
300.0   1.585E+02   3.790E-92    C2H4+M->C2H2+H2+M   
300.0   1.995E+02   3.011E-92    C2H4+M->C2H2+H2+M   
300.0   2.512E+02   2.391E-92    C2H4+M->C2H2+H2+M   
300.0   3.162E+02   1.900E-92    C2H4+M->C2H2+H2+M   
300.0   3.981E+02   1.509E-92    C2H4+M->C2H2+H2+M   
300.0   5.012E+02   1.199E-92    C2H4+M->C2H2+H2+M   
300.0   6.310E+02   9.521E-93    C2H4+M->C2H2+H2+M   
300.0   7.943E+02   7.562E-93    C2H4+M->C2H2+H2+M   
300.0   1.000E+03   6.007E-93    C2H4+M->C2H2+H2+M   
350.0   1.000E-08   8.971E-69    C2H4+M->C2H2+H2+M   
350.0   1.585E-08   4.315E-69    C2H4+M->C2H2+H2+M   
350.0   2.512E-08   2.113E-69    C2H4+M->C2H2+H2+M   
350.0   3.981E-08   1.060E-69    C2H4+M->C2H2+H2+M   
350.0   6.310E-08   5.458E-70    C2H4+M->C2H2+H2+M   
350.0   1.000E-07   2.887E-70    C2H4+M->C2H2+H2+M   
350.0   1.585E-07   1.566E-70    C2H4+M->C2H2+H2+M   
350.0   2.512E-07   8.707E-71    C2H4+M->C2H2+H2+M   
350.0   3.981E-07   4.940E-71    C2H4+M->C2H2+H2+M   
350.0   6.310E-07   2.854E-71    C2H4+M->C2H2+H2+M   
350.0   1.000E-06   1.674E-71    C2H4+M->C2H2+H2+M   
350.0   1.585E-06   9.952E-72    C2H4+M->C2H2+H2+M   
350.0   2.512E-06   5.981E-72    C2H4+M->C2H2+H2+M   
350.0   3.981E-06   3.628E-72    C2H4+M->C2H2+H2+M   
350.0   6.310E-06   2.218E-72    C2H4+M->C2H2+H2+M   
350.0   1.000E-05   1.364E-72    C2H4+M->C2H2+H2+M   
350.0   1.585E-05   8.430E-73    C2H4+M->C2H2+H2+M   
350.0   2.512E-05   5.232E-73    C2H4+M->C2H2+H2+M   
350.0   3.981E-05   3.258E-73    C2H4+M->C2H2+H2+M   
350.0   6.310E-05   2.034E-73    C2H4+M->C2H2+H2+M   
350.0   1.000E-04   1.272E-73    C2H4+M->C2H2+H2+M   
350.0   1.259E-04   1.007E-73    C2H4+M->C2H2+H2+M   
350.0   1.585E-04   7.975E-74    C2H4+M->C2H2+H2+M   
350.0   1.995E-04   6.317E-74    C2H4+M->C2H2+H2+M   
350.0   2.512E-04   5.005E-74    C2H4+M->C2H2+H2+M   
350.0   3.162E-04   3.967E-74    C2H4+M->C2H2+H2+M   
350.0   3.981E-04   3.145E-74    C2H4+M->C2H2+H2+M   
350.0   5.012E-04   2.493E-74    C2H4+M->C2H2+H2+M   
350.0   6.310E-04   1.977E-74    C2H4+M->C2H2+H2+M   
350.0   7.943E-04   1.568E-74    C2H4+M->C2H2+H2+M   
350.0   1.000E-03   1.244E-74    C2H4+M->C2H2+H2+M   
350.0   1.259E-03   9.872E-75    C2H4+M->C2H2+H2+M   
350.0   1.585E-03   7.834E-75    C2H4+M->C2H2+H2+M   
350.0   1.995E-03   6.217E-75    C2H4+M->C2H2+H2+M   
350.0   2.512E-03   4.934E-75    C2H4+M->C2H2+H2+M   
350.0   3.162E-03   3.917E-75    C2H4+M->C2H2+H2+M   
350.0   3.981E-03   3.109E-75    C2H4+M->C2H2+H2+M   
350.0   5.012E-03   2.468E-75    C2H4+M->C2H2+H2+M   
350.0   6.310E-03   1.960E-75    C2H4+M->C2H2+H2+M   
350.0   7.943E-03   1.556E-75    C2H4+M->C2H2+H2+M   
350.0   1.000E-02   1.235E-75    C2H4+M->C2H2+H2+M   
350.0   1.259E-02   9.810E-76    C2H4+M->C2H2+H2+M   
350.0   1.585E-02   7.790E-76    C2H4+M->C2H2+H2+M   
350.0   1.995E-02   6.186E-76    C2H4+M->C2H2+H2+M   
350.0   2.512E-02   4.912E-76    C2H4+M->C2H2+H2+M   
350.0   3.162E-02   3.901E-76    C2H4+M->C2H2+H2+M   
350.0   3.981E-02   3.098E-76    C2H4+M->C2H2+H2+M   
350.0   5.012E-02   2.460E-76    C2H4+M->C2H2+H2+M   
350.0   6.310E-02   1.954E-76    C2H4+M->C2H2+H2+M   
350.0   7.943E-02   1.552E-76    C2H4+M->C2H2+H2+M   
350.0   1.000E-01   1.233E-76    C2H4+M->C2H2+H2+M   
350.0   1.259E-01   9.790E-77    C2H4+M->C2H2+H2+M   
350.0   1.585E-01   7.776E-77    C2H4+M->C2H2+H2+M   
350.0   1.995E-01   6.176E-77    C2H4+M->C2H2+H2+M   
350.0   2.512E-01   4.905E-77    C2H4+M->C2H2+H2+M   
350.0   3.162E-01   3.896E-77    C2H4+M->C2H2+H2+M   
350.0   3.981E-01   3.095E-77    C2H4+M->C2H2+H2+M   
350.0   5.012E-01   2.458E-77    C2H4+M->C2H2+H2+M   
350.0   6.310E-01   1.952E-77    C2H4+M->C2H2+H2+M   
350.0   7.943E-01   1.551E-77    C2H4+M->C2H2+H2+M   
350.0   1.000E+00   1.232E-77    C2H4+M->C2H2+H2+M   
350.0   1.259E+00   9.784E-78    C2H4+M->C2H2+H2+M   
350.0   1.585E+00   7.771E-78    C2H4+M->C2H2+H2+M   
350.0   1.995E+00   6.173E-78    C2H4+M->C2H2+H2+M   
350.0   2.512E+00   4.903E-78    C2H4+M->C2H2+H2+M   
350.0   3.162E+00   3.895E-78    C2H4+M->C2H2+H2+M   
350.0   3.981E+00   3.094E-78    C2H4+M->C2H2+H2+M   
350.0   5.012E+00   2.457E-78    C2H4+M->C2H2+H2+M   
350.0   6.310E+00   1.952E-78    C2H4+M->C2H2+H2+M   
350.0   7.943E+00   1.550E-78    C2H4+M->C2H2+H2+M   
350.0   1.000E+01   1.231E-78    C2H4+M->C2H2+H2+M   
350.0   1.259E+01   9.782E-79    C2H4+M->C2H2+H2+M   
350.0   1.585E+01   7.770E-79    C2H4+M->C2H2+H2+M   
350.0   1.995E+01   6.172E-79    C2H4+M->C2H2+H2+M   
350.0   2.512E+01   4.903E-79    C2H4+M->C2H2+H2+M   
350.0   3.162E+01   3.894E-79    C2H4+M->C2H2+H2+M   
350.0   3.981E+01   3.093E-79    C2H4+M->C2H2+H2+M   
350.0   5.012E+01   2.457E-79    C2H4+M->C2H2+H2+M   
350.0   6.310E+01   1.952E-79    C2H4+M->C2H2+H2+M   
350.0   7.943E+01   1.550E-79    C2H4+M->C2H2+H2+M   
350.0   1.000E+02   1.231E-79    C2H4+M->C2H2+H2+M   
350.0   1.259E+02   9.782E-80    C2H4+M->C2H2+H2+M   
350.0   1.585E+02   7.770E-80    C2H4+M->C2H2+H2+M   
350.0   1.995E+02   6.172E-80    C2H4+M->C2H2+H2+M   
350.0   2.512E+02   4.903E-80    C2H4+M->C2H2+H2+M   
350.0   3.162E+02   3.894E-80    C2H4+M->C2H2+H2+M   
350.0   3.981E+02   3.093E-80    C2H4+M->C2H2+H2+M   
350.0   5.012E+02   2.457E-80    C2H4+M->C2H2+H2+M   
350.0   6.310E+02   1.952E-80    C2H4+M->C2H2+H2+M   
350.0   7.943E+02   1.550E-80    C2H4+M->C2H2+H2+M   
350.0   1.000E+03   1.232E-80    C2H4+M->C2H2+H2+M   
400.0   1.000E-08   8.870E-59    C2H4+M->C2H2+H2+M   
400.0   1.585E-08   5.241E-59    C2H4+M->C2H2+H2+M   
400.0   2.512E-08   2.939E-59    C2H4+M->C2H2+H2+M   
400.0   3.981E-08   1.562E-59    C2H4+M->C2H2+H2+M   
400.0   6.310E-08   7.894E-60    C2H4+M->C2H2+H2+M   
400.0   1.000E-07   3.827E-60    C2H4+M->C2H2+H2+M   
400.0   1.585E-07   1.806E-60    C2H4+M->C2H2+H2+M   
