#500Xsolar and C/O = 2:# For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.711E-77    CH3OH+H->CH3+H2O    
300.0   1.585E-08   3.266E-77    CH3OH+H->CH3+H2O    
300.0   2.512E-08   2.874E-77    CH3OH+H->CH3+H2O    
300.0   3.981E-08   2.530E-77    CH3OH+H->CH3+H2O    
300.0   6.310E-08   2.226E-77    CH3OH+H->CH3+H2O    
300.0   1.000E-07   2.538E-68    CH3CO+CH3->CO+C2H6  
300.0   1.585E-07   2.081E-68    CH3CO+CH3->CO+C2H6  
300.0   2.512E-07   1.724E-68    CH3CO+CH3->CO+C2H6  
300.0   3.981E-07   1.443E-68    CH3CO+CH3->CO+C2H6  
300.0   6.310E-07   1.219E-68    CH3CO+CH3->CO+C2H6  
300.0   1.000E-06   1.039E-68    CH3CO+CH3->CO+C2H6  
300.0   1.585E-06   8.921E-69    CH3CO+CH3->CO+C2H6  
300.0   2.512E-06   7.718E-69    CH3CO+CH3->CO+C2H6  
300.0   3.981E-06   6.723E-69    CH3CO+CH3->CO+C2H6  
300.0   6.310E-06   5.890E-69    CH3CO+CH3->CO+C2H6  
300.0   1.000E-05   5.185E-69    CH3CO+CH3->CO+C2H6  
300.0   1.585E-05   4.582E-69    CH3CO+CH3->CO+C2H6  
300.0   2.512E-05   4.064E-69    CH3CO+CH3->CO+C2H6  
300.0   3.981E-05   3.615E-69    CH3CO+CH3->CO+C2H6  
300.0   6.310E-05   3.225E-69    CH3CO+CH3->CO+C2H6  
300.0   1.000E-04   2.883E-69    CH3CO+CH3->CO+C2H6  
300.0   1.259E-04   2.728E-69    CH3CO+CH3->CO+C2H6  
300.0   1.585E-04   2.582E-69    CH3CO+CH3->CO+C2H6  
300.0   1.995E-04   2.445E-69    CH3CO+CH3->CO+C2H6  
300.0   2.512E-04   2.316E-69    CH3CO+CH3->CO+C2H6  
300.0   3.162E-04   2.194E-69    CH3CO+CH3->CO+C2H6  
300.0   3.981E-04   2.079E-69    CH3CO+CH3->CO+C2H6  
300.0   5.012E-04   1.970E-69    CH3CO+CH3->CO+C2H6  
300.0   6.310E-04   1.868E-69    CH3CO+CH3->CO+C2H6  
300.0   7.943E-04   1.771E-69    CH3CO+CH3->CO+C2H6  
300.0   1.000E-03   1.680E-69    CH3CO+CH3->CO+C2H6  
300.0   1.259E-03   1.594E-69    CH3CO+CH3->CO+C2H6  
300.0   1.585E-03   1.512E-69    CH3CO+CH3->CO+C2H6  
300.0   1.995E-03   1.435E-69    CH3CO+CH3->CO+C2H6  
300.0   2.512E-03   1.362E-69    CH3CO+CH3->CO+C2H6  
300.0   3.162E-03   1.293E-69    CH3CO+CH3->CO+C2H6  
300.0   3.981E-03   1.227E-69    CH3CO+CH3->CO+C2H6  
300.0   5.012E-03   1.165E-69    CH3CO+CH3->CO+C2H6  
300.0   6.310E-03   1.106E-69    CH3CO+CH3->CO+C2H6  
300.0   7.943E-03   1.050E-69    CH3CO+CH3->CO+C2H6  
300.0   1.000E-02   9.969E-70    CH3CO+CH3->CO+C2H6  
300.0   1.259E-02   9.465E-70    CH3CO+CH3->CO+C2H6  
300.0   1.585E-02   8.990E-70    CH3CO+CH3->CO+C2H6  
300.0   1.995E-02   8.539E-70    CH3CO+CH3->CO+C2H6  
300.0   2.512E-02   8.110E-70    CH3CO+CH3->CO+C2H6  
300.0   3.162E-02   7.704E-70    CH3CO+CH3->CO+C2H6  
300.0   3.981E-02   7.317E-70    CH3CO+CH3->CO+C2H6  
300.0   5.012E-02   6.951E-70    CH3CO+CH3->CO+C2H6  
300.0   6.310E-02   6.602E-70    CH3CO+CH3->CO+C2H6  
300.0   7.943E-02   6.271E-70    CH3CO+CH3->CO+C2H6  
300.0   1.000E-01   5.957E-70    CH3CO+CH3->CO+C2H6  
300.0   1.259E-01   5.658E-70    CH3CO+CH3->CO+C2H6  
300.0   1.585E-01   5.375E-70    CH3CO+CH3->CO+C2H6  
300.0   1.995E-01   5.105E-70    CH3CO+CH3->CO+C2H6  
300.0   2.512E-01   4.850E-70    CH3CO+CH3->CO+C2H6  
300.0   3.162E-01   4.608E-70    CH3CO+CH3->CO+C2H6  
300.0   3.981E-01   4.379E-70    CH3CO+CH3->CO+C2H6  
300.0   5.012E-01   4.160E-70    CH3CO+CH3->CO+C2H6  
300.0   6.310E-01   3.953E-70    CH3CO+CH3->CO+C2H6  
300.0   7.943E-01   3.755E-70    CH3CO+CH3->CO+C2H6  
300.0   1.000E+00   3.568E-70    CH3CO+CH3->CO+C2H6  
300.0   1.259E+00   3.390E-70    CH3CO+CH3->CO+C2H6  
300.0   1.585E+00   3.220E-70    CH3CO+CH3->CO+C2H6  
300.0   1.995E+00   3.060E-70    CH3CO+CH3->CO+C2H6  
300.0   2.512E+00   2.907E-70    CH3CO+CH3->CO+C2H6  
300.0   3.162E+00   2.761E-70    CH3CO+CH3->CO+C2H6  
300.0   3.981E+00   2.623E-70    CH3CO+CH3->CO+C2H6  
300.0   5.012E+00   2.493E-70    CH3CO+CH3->CO+C2H6  
300.0   6.310E+00   2.369E-70    CH3CO+CH3->CO+C2H6  
300.0   7.943E+00   2.251E-70    CH3CO+CH3->CO+C2H6  
300.0   1.000E+01   2.139E-70    CH3CO+CH3->CO+C2H6  
300.0   1.259E+01   2.032E-70    CH3CO+CH3->CO+C2H6  
300.0   1.585E+01   1.931E-70    CH3CO+CH3->CO+C2H6  
300.0   1.995E+01   1.835E-70    CH3CO+CH3->CO+C2H6  
300.0   2.512E+01   1.743E-70    CH3CO+CH3->CO+C2H6  
300.0   3.162E+01   1.656E-70    CH3CO+CH3->CO+C2H6  
300.0   3.981E+01   1.574E-70    CH3CO+CH3->CO+C2H6  
300.0   5.012E+01   1.495E-70    CH3CO+CH3->CO+C2H6  
300.0   6.310E+01   1.421E-70    CH3CO+CH3->CO+C2H6  
300.0   7.943E+01   1.350E-70    CH3CO+CH3->CO+C2H6  
300.0   1.000E+02   1.283E-70    CH3CO+CH3->CO+C2H6  
300.0   1.259E+02   1.219E-70    CH3CO+CH3->CO+C2H6  
300.0   1.585E+02   1.159E-70    CH3CO+CH3->CO+C2H6  
300.0   1.995E+02   1.101E-70    CH3CO+CH3->CO+C2H6  
300.0   2.512E+02   1.046E-70    CH3CO+CH3->CO+C2H6  
300.0   3.162E+02   9.944E-71    CH3CO+CH3->CO+C2H6  
300.0   3.981E+02   9.451E-71    CH3CO+CH3->CO+C2H6  
300.0   5.012E+02   8.982E-71    CH3CO+CH3->CO+C2H6  
300.0   6.310E+02   8.538E-71    CH3CO+CH3->CO+C2H6  
300.0   7.943E+02   8.116E-71    CH3CO+CH3->CO+C2H6  
300.0   1.000E+03   7.715E-71    CH3CO+CH3->CO+C2H6  
350.0   1.000E-08   2.764E-67    CH3OH+H->CH3+H2O    
350.0   1.585E-08   2.439E-67    CH3OH+H->CH3+H2O    
350.0   2.512E-08   2.150E-67    CH3OH+H->CH3+H2O    
350.0   3.981E-08   1.895E-67    CH3OH+H->CH3+H2O    
350.0   6.310E-08   1.669E-67    CH3OH+H->CH3+H2O    
350.0   1.000E-07   1.470E-67    CH3OH+H->CH3+H2O    
350.0   1.585E-07   1.294E-67    CH3OH+H->CH3+H2O    
350.0   2.512E-07   1.140E-67    CH3OH+H->CH3+H2O    
350.0   3.981E-07   1.003E-67    CH3OH+H->CH3+H2O    
350.0   6.310E-07   8.833E-68    CH3OH+H->CH3+H2O    
350.0   1.000E-06   7.774E-68    CH3OH+H->CH3+H2O    
350.0   1.585E-06   6.841E-68    CH3OH+H->CH3+H2O    
350.0   2.512E-06   6.019E-68    CH3OH+H->CH3+H2O    
350.0   3.981E-06   5.298E-68    CH3OH+H->CH3+H2O    
350.0   6.310E-06   4.663E-68    CH3OH+H->CH3+H2O    
350.0   1.000E-05   4.104E-68    CH3OH+H->CH3+H2O    
350.0   1.585E-05   1.019E-59    CH3CO+CH3->CO+C2H6  
350.0   2.512E-05   8.416E-60    CH3CO+CH3->CO+C2H6  
350.0   3.981E-05   7.022E-60    CH3CO+CH3->CO+C2H6  
350.0   6.310E-05   5.917E-60    CH3CO+CH3->CO+C2H6  
