#500Xsolar: # For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.743E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-08   3.249E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-08   2.826E-79    CH3OH+H->CH3+H2O    
300.0   3.981E-08   2.465E-79    CH3OH+H->CH3+H2O    
300.0   6.310E-08   2.155E-79    CH3OH+H->CH3+H2O    
300.0   1.000E-07   1.887E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-07   1.656E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-07   1.457E-79    CH3OH+H->CH3+H2O    
300.0   3.981E-07   1.283E-79    CH3OH+H->CH3+H2O    
300.0   6.310E-07   1.133E-79    CH3OH+H->CH3+H2O    
300.0   1.000E-06   1.001E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-06   8.856E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-06   7.844E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-06   6.957E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-06   6.176E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-05   5.486E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-05   4.876E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-05   4.336E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-05   3.857E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-05   3.432E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-04   3.056E-80    CH3OH+H->CH3+H2O    
300.0   1.259E-04   2.884E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-04   2.721E-80    CH3OH+H->CH3+H2O    
300.0   1.995E-04   2.568E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-04   2.424E-80    CH3OH+H->CH3+H2O    
300.0   3.162E-04   2.287E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-04   2.159E-80    CH3OH+H->CH3+H2O    
300.0   5.012E-04   2.037E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-04   1.923E-80    CH3OH+H->CH3+H2O    
300.0   7.943E-04   1.815E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-03   1.713E-80    CH3OH+H->CH3+H2O    
300.0   1.259E-03   1.617E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-03   1.526E-80    CH3OH+H->CH3+H2O    
300.0   1.995E-03   1.441E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-03   1.360E-80    CH3OH+H->CH3+H2O    
300.0   3.162E-03   1.284E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-03   1.212E-80    CH3OH+H->CH3+H2O    
300.0   5.012E-03   1.144E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-03   1.080E-80    CH3OH+H->CH3+H2O    
300.0   7.943E-03   1.019E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-02   9.623E-81    CH3OH+H->CH3+H2O    
300.0   1.259E-02   9.083E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-02   8.575E-81    CH3OH+H->CH3+H2O    
300.0   1.995E-02   8.096E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-02   7.643E-81    CH3OH+H->CH3+H2O    
300.0   3.162E-02   6.513E-86    CO+H2+M->H2CO+M     
300.0   3.981E-02   6.407E-86    CO+H2+M->H2CO+M     
300.0   5.012E-02   6.279E-86    CO+H2+M->H2CO+M     
300.0   6.310E-02   6.125E-86    CO+H2+M->H2CO+M     
300.0   7.943E-02   5.943E-86    CO+H2+M->H2CO+M     
300.0   1.000E-01   5.727E-86    CO+H2+M->H2CO+M     
300.0   1.259E-01   5.478E-86    CO+H2+M->H2CO+M     
300.0   1.585E-01   5.193E-86    CO+H2+M->H2CO+M     
300.0   1.995E-01   4.874E-86    CO+H2+M->H2CO+M     
300.0   2.512E-01   4.524E-86    CO+H2+M->H2CO+M     
300.0   3.162E-01   4.149E-86    CO+H2+M->H2CO+M     
300.0   3.981E-01   3.757E-86    CO+H2+M->H2CO+M     
300.0   5.012E-01   3.358E-86    CO+H2+M->H2CO+M     
300.0   6.310E-01   2.961E-86    CO+H2+M->H2CO+M     
300.0   7.943E-01   2.578E-86    CO+H2+M->H2CO+M     
300.0   1.000E+00   2.217E-86    CO+H2+M->H2CO+M     
300.0   1.259E+00   1.885E-86    CO+H2+M->H2CO+M     
300.0   1.585E+00   1.586E-86    CO+H2+M->H2CO+M     
300.0   1.995E+00   1.322E-86    CO+H2+M->H2CO+M     
300.0   2.512E+00   1.093E-86    CO+H2+M->H2CO+M     
300.0   3.162E+00   8.969E-87    CO+H2+M->H2CO+M     
300.0   3.981E+00   7.319E-87    CO+H2+M->H2CO+M     
300.0   5.012E+00   5.942E-87    CO+H2+M->H2CO+M     
300.0   6.310E+00   4.805E-87    CO+H2+M->H2CO+M     
300.0   7.943E+00   3.872E-87    CO+H2+M->H2CO+M     
300.0   1.000E+01   3.111E-87    CO+H2+M->H2CO+M     
300.0   1.259E+01   2.494E-87    CO+H2+M->H2CO+M     
300.0   1.585E+01   1.996E-87    CO+H2+M->H2CO+M     
300.0   1.995E+01   1.595E-87    CO+H2+M->H2CO+M     
300.0   2.512E+01   1.273E-87    CO+H2+M->H2CO+M     
300.0   3.162E+01   1.015E-87    CO+H2+M->H2CO+M     
