#500Xsolar: # For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.026E-81    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   7.742E-82    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   5.866E-82    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   4.464E-82    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   3.409E-82    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   2.613E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   2.009E-82    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   1.556E-82    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   1.210E-82    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   9.426E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   7.360E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   5.757E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   4.509E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   3.550E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   2.802E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   2.212E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   1.747E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   1.380E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   1.090E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   8.641E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   6.860E-84    CH2NH2+H->CH2NH+H2  
300.0   1.259E-04   6.111E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   5.443E-84    CH2NH2+H->CH2NH+H2  
300.0   1.995E-04   4.848E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   4.317E-84    CH2NH2+H->CH2NH+H2  
300.0   3.162E-04   3.844E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   3.422E-84    CH2NH2+H->CH2NH+H2  
300.0   5.012E-04   3.045E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   2.710E-84    CH2NH2+H->CH2NH+H2  
300.0   7.943E-04   2.412E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-03   2.152E-84    CH2NH2+H->CH2NH+H2  
300.0   1.259E-03   1.919E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-03   1.711E-84    CH2NH2+H->CH2NH+H2  
300.0   1.995E-03   1.526E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-03   1.360E-84    CH2NH2+H->CH2NH+H2  
300.0   3.162E-03   1.212E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-03   1.080E-84    CH2NH2+H->CH2NH+H2  
300.0   5.012E-03   9.618E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-03   8.567E-85    CH2NH2+H->CH2NH+H2  
300.0   7.943E-03   7.628E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-02   6.791E-85    CH2NH2+H->CH2NH+H2  
300.0   1.259E-02   6.044E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-02   5.391E-85    CH2NH2+H->CH2NH+H2  
300.0   1.995E-02   4.810E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-02   4.290E-85    CH2NH2+H->CH2NH+H2  
300.0   3.162E-02   3.826E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-02   3.411E-85    CH2NH2+H->CH2NH+H2  
300.0   5.012E-02   3.040E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-02   2.709E-85    CH2NH2+H->CH2NH+H2  
300.0   7.943E-02   2.414E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-01   2.150E-85    CH2NH2+H->CH2NH+H2  
300.0   1.259E-01   1.915E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-01   1.705E-85    CH2NH2+H->CH2NH+H2  
300.0   1.995E-01   1.518E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-01   1.353E-85    CH2NH2+H->CH2NH+H2  
300.0   3.162E-01   1.207E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-01   1.077E-85    CH2NH2+H->CH2NH+H2  
300.0   5.012E-01   9.605E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-01   8.564E-86    CH2NH2+H->CH2NH+H2  
300.0   7.943E-01   7.634E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E+00   6.804E-86    CH2NH2+H->CH2NH+H2  
300.0   1.259E+00   6.063E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E+00   5.401E-86    CH2NH2+H->CH2NH+H2  
300.0   1.995E+00   4.810E-86    CH2NH2+H->CH2NH+H2  
300.0   2.512E+00   4.283E-86    CH2NH2+H->CH2NH+H2  
300.0   3.162E+00   3.813E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E+00   3.398E-86    CH2NH2+H->CH2NH+H2  
