#500Xsolar: # For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   5.384E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   4.669E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   4.062E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   3.542E-67    HCN+OH->HNCO+H      
300.0   6.310E-08   3.097E-67    HCN+OH->HNCO+H      
300.0   1.000E-07   2.714E-67    HCN+OH->HNCO+H      
300.0   1.585E-07   2.382E-67    HCN+OH->HNCO+H      
300.0   2.512E-07   2.095E-67    HCN+OH->HNCO+H      
300.0   3.981E-07   1.846E-67    HCN+OH->HNCO+H      
300.0   6.310E-07   1.630E-67    HCN+OH->HNCO+H      
300.0   1.000E-06   1.440E-67    HCN+OH->HNCO+H      
300.0   1.585E-06   1.274E-67    HCN+OH->HNCO+H      
300.0   2.512E-06   1.128E-67    HCN+OH->HNCO+H      
300.0   3.981E-06   1.001E-67    HCN+OH->HNCO+H      
300.0   6.310E-06   8.890E-68    HCN+OH->HNCO+H      
300.0   1.000E-05   7.899E-68    HCN+OH->HNCO+H      
300.0   1.585E-05   7.021E-68    HCN+OH->HNCO+H      
300.0   2.512E-05   6.242E-68    HCN+OH->HNCO+H      
300.0   3.981E-05   5.549E-68    HCN+OH->HNCO+H      
300.0   6.310E-05   4.940E-68    HCN+OH->HNCO+H      
300.0   1.000E-04   4.400E-68    HCN+OH->HNCO+H      
300.0   1.259E-04   4.153E-68    HCN+OH->HNCO+H      
300.0   1.585E-04   3.919E-68    HCN+OH->HNCO+H      
300.0   1.995E-04   3.699E-68    HCN+OH->HNCO+H      
300.0   2.512E-04   3.491E-68    HCN+OH->HNCO+H      
300.0   3.162E-04   3.294E-68    HCN+OH->HNCO+H      
300.0   3.981E-04   3.108E-68    HCN+OH->HNCO+H      
300.0   5.012E-04   2.932E-68    HCN+OH->HNCO+H      
300.0   6.310E-04   2.767E-68    HCN+OH->HNCO+H      
300.0   7.943E-04   2.610E-68    HCN+OH->HNCO+H      
300.0   1.000E-03   2.465E-68    HCN+OH->HNCO+H      
300.0   1.259E-03   2.328E-68    HCN+OH->HNCO+H      
300.0   1.585E-03   2.198E-68    HCN+OH->HNCO+H      
300.0   1.995E-03   2.075E-68    HCN+OH->HNCO+H      
300.0   2.512E-03   1.959E-68    HCN+OH->HNCO+H      
300.0   3.162E-03   1.849E-68    HCN+OH->HNCO+H      
300.0   3.981E-03   1.746E-68    HCN+OH->HNCO+H      
300.0   5.012E-03   1.648E-68    HCN+OH->HNCO+H      
300.0   6.310E-03   1.555E-68    HCN+OH->HNCO+H      
300.0   7.943E-03   1.468E-68    HCN+OH->HNCO+H      
300.0   1.000E-02   1.385E-68    HCN+OH->HNCO+H      
300.0   1.259E-02   1.307E-68    HCN+OH->HNCO+H      
300.0   1.585E-02   1.234E-68    HCN+OH->HNCO+H      
300.0   1.995E-02   1.165E-68    HCN+OH->HNCO+H      
300.0   2.512E-02   1.100E-68    HCN+OH->HNCO+H      
300.0   3.162E-02   1.039E-68    HCN+OH->HNCO+H      
300.0   3.981E-02   9.812E-69    HCN+OH->HNCO+H      
300.0   5.012E-02   9.264E-69    HCN+OH->HNCO+H      
300.0   6.310E-02   8.745E-69    HCN+OH->HNCO+H      
300.0   7.943E-02   8.255E-69    HCN+OH->HNCO+H      
300.0   1.000E-01   7.791E-69    HCN+OH->HNCO+H      
300.0   1.259E-01   7.353E-69    HCN+OH->HNCO+H      
300.0   1.585E-01   6.939E-69    HCN+OH->HNCO+H      
300.0   1.995E-01   6.547E-69    HCN+OH->HNCO+H      
300.0   2.512E-01   6.182E-69    HCN+OH->HNCO+H      
300.0   3.162E-01   5.839E-69    HCN+OH->HNCO+H      
300.0   3.981E-01   5.514E-69    HCN+OH->HNCO+H      
300.0   5.012E-01   5.207E-69    HCN+OH->HNCO+H      
300.0   6.310E-01   4.917E-69    HCN+OH->HNCO+H      
