#solar and C/O = 0.25: # For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.572E-84    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   1.427E-84    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   5.695E-85    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   2.270E-85    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   9.034E-86    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   3.590E-86    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   1.425E-86    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   5.687E-87    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   2.268E-87    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   9.039E-88    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   3.598E-88    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   1.430E-88    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   5.676E-89    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   2.263E-89    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   9.030E-90    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   3.599E-90    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   1.433E-90    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   5.695E-91    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   2.261E-91    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   9.009E-92    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   3.595E-92    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   2.270E-92    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   1.433E-92    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   9.042E-93    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   5.704E-93    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   3.597E-93    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   2.268E-93    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   1.429E-93    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   9.005E-94    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   5.674E-94    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   3.586E-94    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   2.265E-94    C2H4+M->C2H2+H2+M   
300.0   1.585E-03   1.431E-94    C2H4+M->C2H2+H2+M   
300.0   1.995E-03   9.035E-95    C2H4+M->C2H2+H2+M   
300.0   2.512E-03   5.704E-95    C2H4+M->C2H2+H2+M   
300.0   3.162E-03   3.600E-95    C2H4+M->C2H2+H2+M   
300.0   3.981E-03   2.271E-95    C2H4+M->C2H2+H2+M   
