#solar and C/O = 0.25: # For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.330E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-08   1.057E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-08   8.404E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-08   6.677E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-08   5.303E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-07   4.210E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-07   3.342E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-07   2.656E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-07   2.111E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-07   1.677E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-06   1.332E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-06   1.058E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-06   8.395E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-06   6.671E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-06   5.302E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-05   4.213E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-05   3.346E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-05   2.657E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-05   2.109E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-05   1.676E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-04   1.332E-81    CH3OH+H->CH3+H2O    
300.0   1.259E-04   1.187E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-04   1.058E-81    CH3OH+H->CH3+H2O    
300.0   1.995E-04   9.431E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-04   8.405E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-04   7.490E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-04   6.674E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-04   5.947E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-04   5.298E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-04   4.720E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-03   4.209E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-03   3.752E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-03   3.345E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-03   2.982E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-03   2.658E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-03   2.369E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-03   2.111E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-03   1.882E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-03   1.677E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-03   1.494E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-02   1.331E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-02   1.186E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-02   1.057E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-02   9.425E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-02   8.402E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-02   7.490E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-02   6.676E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-02   5.951E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-02   5.304E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-02   4.726E-83    CH3OH+H->CH3+H2O    
300.0   1.000E-01   4.212E-83    CH3OH+H->CH3+H2O    
300.0   1.259E-01   3.753E-83    CH3OH+H->CH3+H2O    
300.0   1.585E-01   3.344E-83    CH3OH+H->CH3+H2O    
300.0   1.995E-01   2.979E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-01   2.655E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-01   2.367E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-01   2.110E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-01   1.881E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-01   1.677E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-01   1.495E-83    CH3OH+H->CH3+H2O    
300.0   1.000E+00   1.332E-83    CH3OH+H->CH3+H2O    
300.0   1.259E+00   1.187E-83    CH3OH+H->CH3+H2O    
300.0   1.585E+00   1.058E-83    CH3OH+H->CH3+H2O    
300.0   1.995E+00   9.427E-84    CH3OH+H->CH3+H2O    
300.0   2.512E+00   8.399E-84    CH3OH+H->CH3+H2O    
300.0   3.162E+00   7.483E-84    CH3OH+H->CH3+H2O    
300.0   3.981E+00   6.669E-84    CH3OH+H->CH3+H2O    
300.0   5.012E+00   5.946E-84    CH3OH+H->CH3+H2O    
300.0   6.310E+00   5.301E-84    CH3OH+H->CH3+H2O    
300.0   7.943E+00   4.726E-84    CH3OH+H->CH3+H2O    
300.0   1.000E+01   4.212E-84    CH3OH+H->CH3+H2O    
300.0   1.259E+01   3.755E-84    CH3OH+H->CH3+H2O    
300.0   1.585E+01   3.346E-84    CH3OH+H->CH3+H2O    
300.0   1.995E+01   2.982E-84    CH3OH+H->CH3+H2O    
300.0   2.512E+01   2.658E-84    CH3OH+H->CH3+H2O    
300.0   3.162E+01   2.368E-84    CH3OH+H->CH3+H2O    
300.0   3.981E+01   2.110E-84    CH3OH+H->CH3+H2O    
300.0   5.012E+01   1.880E-84    CH3OH+H->CH3+H2O    
300.0   6.310E+01   1.675E-84    CH3OH+H->CH3+H2O    
300.0   7.943E+01   1.493E-84    CH3OH+H->CH3+H2O    
300.0   1.000E+02   1.331E-84    CH3OH+H->CH3+H2O    
300.0   1.259E+02   1.187E-84    CH3OH+H->CH3+H2O    
300.0   1.585E+02   1.058E-84    CH3OH+H->CH3+H2O    
300.0   1.995E+02   9.431E-85    CH3OH+H->CH3+H2O    
300.0   2.512E+02   8.406E-85    CH3OH+H->CH3+H2O    
300.0   3.162E+02   7.491E-85    CH3OH+H->CH3+H2O    
300.0   3.981E+02   6.676E-85    CH3OH+H->CH3+H2O    
300.0   5.012E+02   5.949E-85    CH3OH+H->CH3+H2O    
300.0   6.310E+02   5.300E-85    CH3OH+H->CH3+H2O    
300.0   7.943E+02   4.722E-85    CH3OH+H->CH3+H2O    
300.0   1.000E+03   4.207E-85    CH3OH+H->CH3+H2O    
350.0   1.000E-08   5.474E-69    CH3OH+H->CH3+H2O    
350.0   1.585E-08   4.352E-69    CH3OH+H->CH3+H2O    
350.0   2.512E-08   3.458E-69    CH3OH+H->CH3+H2O    
350.0   3.981E-08   2.748E-69    CH3OH+H->CH3+H2O    
350.0   6.310E-08   2.182E-69    CH3OH+H->CH3+H2O    
350.0   1.000E-07   1.733E-69    CH3OH+H->CH3+H2O    
350.0   1.585E-07   1.375E-69    CH3OH+H->CH3+H2O    
350.0   2.512E-07   1.093E-69    CH3OH+H->CH3+H2O    
350.0   3.981E-07   8.687E-70    CH3OH+H->CH3+H2O    
350.0   6.310E-07   6.901E-70    CH3OH+H->CH3+H2O    
350.0   1.000E-06   5.482E-70    CH3OH+H->CH3+H2O    
350.0   1.585E-06   4.352E-70    CH3OH+H->CH3+H2O    
350.0   2.512E-06   3.455E-70    CH3OH+H->CH3+H2O    
350.0   3.981E-06   2.745E-70    CH3OH+H->CH3+H2O    
350.0   6.310E-06   2.182E-70    CH3OH+H->CH3+H2O    
350.0   1.000E-05   1.734E-70    CH3OH+H->CH3+H2O    
350.0   1.585E-05   1.377E-70    CH3OH+H->CH3+H2O    
350.0   2.512E-05   1.093E-70    CH3OH+H->CH3+H2O    
350.0   3.981E-05   8.679E-71    CH3OH+H->CH3+H2O    
350.0   6.310E-05   6.895E-71    CH3OH+H->CH3+H2O    
350.0   1.000E-04   5.480E-71    CH3OH+H->CH3+H2O    
350.0   1.259E-04   4.885E-71    CH3OH+H->CH3+H2O    
350.0   1.585E-04   4.355E-71    CH3OH+H->CH3+H2O    
350.0   1.995E-04   3.881E-71    CH3OH+H->CH3+H2O    
350.0   2.512E-04   3.459E-71    CH3OH+H->CH3+H2O    
350.0   3.162E-04   3.082E-71    CH3OH+H->CH3+H2O    
350.0   3.981E-04   2.747E-71    CH3OH+H->CH3+H2O    
350.0   5.012E-04   2.447E-71    CH3OH+H->CH3+H2O    
350.0   6.310E-04   2.180E-71    CH3OH+H->CH3+H2O    
350.0   7.943E-04   1.943E-71    CH3OH+H->CH3+H2O    
350.0   1.000E-03   1.732E-71    CH3OH+H->CH3+H2O    
350.0   1.259E-03   1.544E-71    CH3OH+H->CH3+H2O    
350.0   1.585E-03   1.377E-71    CH3OH+H->CH3+H2O    
350.0   1.995E-03   1.227E-71    CH3OH+H->CH3+H2O    
350.0   2.512E-03   1.094E-71    CH3OH+H->CH3+H2O    
350.0   3.162E-03   9.749E-72    CH3OH+H->CH3+H2O    
350.0   3.981E-03   8.689E-72    CH3OH+H->CH3+H2O    
350.0   5.012E-03   7.743E-72    CH3OH+H->CH3+H2O    
350.0   6.310E-03   6.900E-72    CH3OH+H->CH3+H2O    
350.0   7.943E-03   6.148E-72    CH3OH+H->CH3+H2O    
350.0   1.000E-02   5.477E-72    CH3OH+H->CH3+H2O    
350.0   1.259E-02   4.879E-72    CH3OH+H->CH3+H2O    
350.0   1.585E-02   4.350E-72    CH3OH+H->CH3+H2O    
350.0   1.995E-02   3.879E-72    CH3OH+H->CH3+H2O    
350.0   2.512E-02   3.458E-72    CH3OH+H->CH3+H2O    
350.0   3.162E-02   3.082E-72    CH3OH+H->CH3+H2O    
350.0   3.981E-02   2.747E-72    CH3OH+H->CH3+H2O    
350.0   5.012E-02   2.449E-72    CH3OH+H->CH3+H2O    
350.0   6.310E-02   2.183E-72    CH3OH+H->CH3+H2O    
350.0   7.943E-02   1.945E-72    CH3OH+H->CH3+H2O    
350.0   1.000E-01   1.733E-72    CH3OH+H->CH3+H2O    
350.0   1.259E-01   1.544E-72    CH3OH+H->CH3+H2O    
350.0   1.585E-01   1.376E-72    CH3OH+H->CH3+H2O    
350.0   1.995E-01   1.226E-72    CH3OH+H->CH3+H2O    
350.0   2.512E-01   1.093E-72    CH3OH+H->CH3+H2O    
350.0   3.162E-01   9.742E-73    CH3OH+H->CH3+H2O    
350.0   3.981E-01   8.685E-73    CH3OH+H->CH3+H2O    
350.0   5.012E-01   7.742E-73    CH3OH+H->CH3+H2O    
350.0   6.310E-01   6.901E-73    CH3OH+H->CH3+H2O    
350.0   7.943E-01   6.151E-73    CH3OH+H->CH3+H2O    
350.0   1.000E+00   5.482E-73    CH3OH+H->CH3+H2O    
350.0   1.259E+00   4.886E-73    CH3OH+H->CH3+H2O    
350.0   1.585E+00   4.354E-73    CH3OH+H->CH3+H2O    
350.0   1.995E+00   3.879E-73    CH3OH+H->CH3+H2O    
350.0   2.512E+00   3.456E-73    CH3OH+H->CH3+H2O    
350.0   3.162E+00   3.079E-73    CH3OH+H->CH3+H2O    
350.0   3.981E+00   2.744E-73    CH3OH+H->CH3+H2O    
350.0   5.012E+00   2.447E-73    CH3OH+H->CH3+H2O    
350.0   6.310E+00   2.181E-73    CH3OH+H->CH3+H2O    
350.0   7.943E+00   1.945E-73    CH3OH+H->CH3+H2O    
350.0   1.000E+01   1.733E-73    CH3OH+H->CH3+H2O    
350.0   1.259E+01   1.545E-73    CH3OH+H->CH3+H2O    
350.0   1.585E+01   1.377E-73    CH3OH+H->CH3+H2O    
350.0   1.995E+01   1.227E-73    CH3OH+H->CH3+H2O    
350.0   2.512E+01   1.094E-73    CH3OH+H->CH3+H2O    
350.0   3.162E+01   9.745E-74    CH3OH+H->CH3+H2O    
350.0   3.981E+01   8.683E-74    CH3OH+H->CH3+H2O    
350.0   5.012E+01   7.736E-74    CH3OH+H->CH3+H2O    
350.0   6.310E+01   6.893E-74    CH3OH+H->CH3+H2O    
350.0   7.943E+01   6.146E-74    CH3OH+H->CH3+H2O    
350.0   1.000E+02   5.479E-74    CH3OH+H->CH3+H2O    
350.0   1.259E+02   4.885E-74    CH3OH+H->CH3+H2O    
350.0   1.585E+02   4.354E-74    CH3OH+H->CH3+H2O    
350.0   1.995E+02   3.881E-74    CH3OH+H->CH3+H2O    
350.0   2.512E+02   3.459E-74    CH3OH+H->CH3+H2O    
350.0   3.162E+02   3.083E-74    CH3OH+H->CH3+H2O    
350.0   3.981E+02   2.747E-74    CH3OH+H->CH3+H2O    
350.0   5.012E+02   2.448E-74    CH3OH+H->CH3+H2O    
350.0   6.310E+02   2.181E-74    CH3OH+H->CH3+H2O    
350.0   7.943E+02   1.943E-74    CH3OH+H->CH3+H2O    
350.0   1.000E+03   1.731E-74    CH3OH+H->CH3+H2O    
400.0   1.000E-08   8.444E-60    CH3O+CO->CH3+CO2    
400.0   1.585E-08   2.720E-60    CH3O+CO->CH3+CO2    
400.0   2.512E-08   8.695E-61    CH3O+CO->CH3+CO2    
400.0   3.981E-08   2.763E-61    CH3O+CO->CH3+CO2    
400.0   6.310E-08   2.135E-61    CH3OH+H->CH3+H2O    
400.0   1.000E-07   1.695E-61    CH3OH+H->CH3+H2O    
400.0   1.585E-07   1.346E-61    CH3OH+H->CH3+H2O    
400.0   2.512E-07   1.069E-61    CH3OH+H->CH3+H2O    
400.0   3.981E-07   8.500E-62    CH3OH+H->CH3+H2O    
400.0   6.310E-07   6.753E-62    CH3OH+H->CH3+H2O    
400.0   1.000E-06   5.364E-62    CH3OH+H->CH3+H2O    
400.0   1.585E-06   4.259E-62    CH3OH+H->CH3+H2O    
400.0   2.512E-06   3.380E-62    CH3OH+H->CH3+H2O    
400.0   3.981E-06   2.686E-62    CH3OH+H->CH3+H2O    
400.0   6.310E-06   2.135E-62    CH3OH+H->CH3+H2O    
400.0   1.000E-05   1.696E-62    CH3OH+H->CH3+H2O    
400.0   1.585E-05   1.347E-62    CH3OH+H->CH3+H2O    
400.0   2.512E-05   1.070E-62    CH3OH+H->CH3+H2O    
400.0   3.981E-05   8.492E-63    CH3OH+H->CH3+H2O    
400.0   6.310E-05   6.747E-63    CH3OH+H->CH3+H2O    
400.0   1.000E-04   5.362E-63    CH3OH+H->CH3+H2O    
400.0   1.259E-04   4.780E-63    CH3OH+H->CH3+H2O    
400.0   1.585E-04   4.261E-63    CH3OH+H->CH3+H2O    
400.0   1.995E-04   3.798E-63    CH3OH+H->CH3+H2O    
400.0   2.512E-04   3.384E-63    CH3OH+H->CH3+H2O    
400.0   3.162E-04   3.016E-63    CH3OH+H->CH3+H2O    
400.0   3.981E-04   2.687E-63    CH3OH+H->CH3+H2O    
400.0   5.012E-04   2.395E-63    CH3OH+H->CH3+H2O    
400.0   6.310E-04   2.133E-63    CH3OH+H->CH3+H2O    
400.0   7.943E-04   1.901E-63    CH3OH+H->CH3+H2O    
400.0   1.000E-03   1.695E-63    CH3OH+H->CH3+H2O    
400.0   1.259E-03   1.511E-63    CH3OH+H->CH3+H2O    
400.0   1.585E-03   1.347E-63    CH3OH+H->CH3+H2O    
400.0   1.995E-03   1.201E-63    CH3OH+H->CH3+H2O    
400.0   2.512E-03   1.070E-63    CH3OH+H->CH3+H2O    
400.0   3.162E-03   9.540E-64    CH3OH+H->CH3+H2O    
400.0   3.981E-03   8.502E-64    CH3OH+H->CH3+H2O    
400.0   5.012E-03   7.577E-64    CH3OH+H->CH3+H2O    
400.0   6.310E-03   6.752E-64    CH3OH+H->CH3+H2O    
400.0   7.943E-03   6.016E-64    CH3OH+H->CH3+H2O    
400.0   1.000E-02   5.360E-64    CH3OH+H->CH3+H2O    
400.0   1.259E-02   4.775E-64    CH3OH+H->CH3+H2O    
400.0   1.585E-02   4.257E-64    CH3OH+H->CH3+H2O    
400.0   1.995E-02   3.795E-64    CH3OH+H->CH3+H2O    
400.0   2.512E-02   3.384E-64    CH3OH+H->CH3+H2O    
400.0   3.162E-02   3.016E-64    CH3OH+H->CH3+H2O    
400.0   3.981E-02   2.689E-64    CH3OH+H->CH3+H2O    
400.0   5.012E-02   2.396E-64    CH3OH+H->CH3+H2O    
400.0   6.310E-02   2.136E-64    CH3OH+H->CH3+H2O    
400.0   7.943E-02   1.903E-64    CH3OH+H->CH3+H2O    
400.0   1.000E-01   1.696E-64    CH3OH+H->CH3+H2O    
400.0   1.259E-01   1.511E-64    CH3OH+H->CH3+H2O    
400.0   1.585E-01   1.346E-64    CH3OH+H->CH3+H2O    
400.0   1.995E-01   1.200E-64    CH3OH+H->CH3+H2O    
400.0   2.512E-01   1.069E-64    CH3OH+H->CH3+H2O    
400.0   3.162E-01   9.533E-65    CH3OH+H->CH3+H2O    
400.0   3.981E-01   8.499E-65    CH3OH+H->CH3+H2O    
400.0   5.012E-01   7.576E-65    CH3OH+H->CH3+H2O    
400.0   6.310E-01   6.753E-65    CH3OH+H->CH3+H2O    
400.0   7.943E-01   6.019E-65    CH3OH+H->CH3+H2O    
400.0   1.000E+00   5.365E-65    CH3OH+H->CH3+H2O    
400.0   1.259E+00   4.781E-65    CH3OH+H->CH3+H2O    
400.0   1.585E+00   4.260E-65    CH3OH+H->CH3+H2O    
400.0   1.995E+00   3.796E-65    CH3OH+H->CH3+H2O    
400.0   2.512E+00   3.382E-65    CH3OH+H->CH3+H2O    
400.0   3.162E+00   3.013E-65    CH3OH+H->CH3+H2O    
400.0   3.981E+00   2.685E-65    CH3OH+H->CH3+H2O    
400.0   5.012E+00   2.394E-65    CH3OH+H->CH3+H2O    
400.0   6.310E+00   2.135E-65    CH3OH+H->CH3+H2O    
400.0   7.943E+00   1.903E-65    CH3OH+H->CH3+H2O    
400.0   1.000E+01   1.696E-65    CH3OH+H->CH3+H2O    
400.0   1.259E+01   1.512E-65    CH3OH+H->CH3+H2O    
