#solar and C/O = 0.25: # For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.296E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   8.164E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   5.147E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   3.247E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   2.049E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   1.294E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   8.177E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   5.152E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   3.248E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   2.049E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   1.293E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   8.165E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   5.159E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   3.252E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   2.050E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   1.294E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   8.168E-86    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   5.158E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   3.256E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   2.056E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   1.298E-86    CH2NH2+H->CH2NH+H2  
300.0   1.259E-04   1.032E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   8.199E-87    CH2NH2+H->CH2NH+H2  
300.0   1.995E-04   6.514E-87    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   5.174E-87    CH2NH2+H->CH2NH+H2  
300.0   3.162E-04   4.109E-87    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   3.263E-87    CH2NH2+H->CH2NH+H2  
300.0   5.012E-04   2.590E-87    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   2.056E-87    CH2NH2+H->CH2NH+H2  
300.0   7.943E-04   1.632E-87    CH2NH2+H->CH2NH+H2  
300.0   1.000E-03   1.297E-87    CH2NH2+H->CH2NH+H2  
300.0   1.259E-03   1.031E-87    CH2NH2+H->CH2NH+H2  
300.0   1.585E-03   8.196E-88    CH2NH2+H->CH2NH+H2  
300.0   1.995E-03   6.513E-88    CH2NH2+H->CH2NH+H2  
300.0   2.512E-03   5.175E-88    CH2NH2+H->CH2NH+H2  
300.0   3.162E-03   4.111E-88    CH2NH2+H->CH2NH+H2  
300.0   3.981E-03   3.265E-88    CH2NH2+H->CH2NH+H2  
300.0   5.012E-03   2.593E-88    CH2NH2+H->CH2NH+H2  
300.0   6.310E-03   2.059E-88    CH2NH2+H->CH2NH+H2  
300.0   7.943E-03   1.635E-88    CH2NH2+H->CH2NH+H2  
300.0   1.000E-02   1.298E-88    CH2NH2+H->CH2NH+H2  
300.0   1.259E-02   1.030E-88    CH2NH2+H->CH2NH+H2  
300.0   1.585E-02   8.185E-89    CH2NH2+H->CH2NH+H2  
300.0   1.995E-02   6.506E-89    CH2NH2+H->CH2NH+H2  
300.0   2.512E-02   5.171E-89    CH2NH2+H->CH2NH+H2  
300.0   3.162E-02   4.109E-89    CH2NH2+H->CH2NH+H2  
300.0   3.981E-02   3.265E-89    CH2NH2+H->CH2NH+H2  
300.0   5.012E-02   2.594E-89    CH2NH2+H->CH2NH+H2  
300.0   6.310E-02   2.060E-89    CH2NH2+H->CH2NH+H2  
300.0   7.943E-02   1.636E-89    CH2NH2+H->CH2NH+H2  
300.0   1.000E-01   1.299E-89    CH2NH2+H->CH2NH+H2  
300.0   1.259E-01   1.032E-89    CH2NH2+H->CH2NH+H2  
300.0   1.585E-01   8.188E-90    CH2NH2+H->CH2NH+H2  
