#solar and C/O = 0.25: # For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.913E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.504E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.186E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   9.390E-68    HCN+OH->HNCO+H      
300.0   6.310E-08   7.469E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   5.970E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   4.798E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   3.781E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   2.981E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   2.360E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   1.876E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.499E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.204E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   9.514E-69    HCN+OH->HNCO+H      
300.0   6.310E-06   7.507E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   5.950E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   4.735E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   3.782E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.026E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   2.406E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   1.912E-69    HCN+OH->HNCO+H      
300.0   1.259E-04   1.705E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.520E-69    HCN+OH->HNCO+H      
300.0   1.995E-04   1.355E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.208E-69    HCN+OH->HNCO+H      
300.0   3.162E-04   1.077E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   9.598E-70    HCN+OH->HNCO+H      
300.0   5.012E-04   8.553E-70    HCN+OH->HNCO+H      
300.0   6.310E-04   7.621E-70    HCN+OH->HNCO+H      
300.0   7.943E-04   6.790E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   6.054E-70    HCN+OH->HNCO+H      
300.0   1.259E-03   5.397E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   4.812E-70    HCN+OH->HNCO+H      
300.0   1.995E-03   4.289E-70    HCN+OH->HNCO+H      
300.0   2.512E-03   3.823E-70    HCN+OH->HNCO+H      
300.0   3.162E-03   3.408E-70    HCN+OH->HNCO+H      
300.0   3.981E-03   3.037E-70    HCN+OH->HNCO+H      
300.0   5.012E-03   2.706E-70    HCN+OH->HNCO+H      
300.0   6.310E-03   2.412E-70    HCN+OH->HNCO+H      
300.0   7.943E-03   2.149E-70    HCN+OH->HNCO+H      
300.0   1.000E-02   1.914E-70    HCN+OH->HNCO+H      
300.0   1.259E-02   1.706E-70    HCN+OH->HNCO+H      
300.0   1.585E-02   1.521E-70    HCN+OH->HNCO+H      
300.0   1.995E-02   1.356E-70    HCN+OH->HNCO+H      
300.0   2.512E-02   1.209E-70    HCN+OH->HNCO+H      
300.0   3.162E-02   1.077E-70    HCN+OH->HNCO+H      
300.0   3.981E-02   9.603E-71    HCN+OH->HNCO+H      
300.0   5.012E-02   8.560E-71    HCN+OH->HNCO+H      
300.0   6.310E-02   7.629E-71    HCN+OH->HNCO+H      
300.0   7.943E-02   6.798E-71    HCN+OH->HNCO+H      
300.0   1.000E-01   6.058E-71    HCN+OH->HNCO+H      
300.0   1.259E-01   5.398E-71    HCN+OH->HNCO+H      
300.0   1.585E-01   4.809E-71    HCN+OH->HNCO+H      
300.0   1.995E-01   4.285E-71    HCN+OH->HNCO+H      
300.0   2.512E-01   3.819E-71    HCN+OH->HNCO+H      
300.0   3.162E-01   3.405E-71    HCN+OH->HNCO+H      
300.0   3.981E-01   3.036E-71    HCN+OH->HNCO+H      
300.0   5.012E-01   2.706E-71    HCN+OH->HNCO+H      
300.0   6.310E-01   2.412E-71    HCN+OH->HNCO+H      
300.0   7.943E-01   2.150E-71    HCN+OH->HNCO+H      
300.0   1.000E+00   1.916E-71    HCN+OH->HNCO+H      
300.0   1.259E+00   1.708E-71    HCN+OH->HNCO+H      
300.0   1.585E+00   1.522E-71    HCN+OH->HNCO+H      
300.0   1.995E+00   1.356E-71    HCN+OH->HNCO+H      
