#solar and C/O = 0.25: # For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   7.248E-89    N+NH3->N2H+H2       
300.0   1.585E-08   3.624E-89    N+NH3->N2H+H2       
300.0   2.512E-08   3.706E-89    NH2+NH2->N2H2+H2    
300.0   3.981E-08   2.337E-89    NH2+NH2->N2H2+H2    
300.0   6.310E-08   1.476E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-07   9.337E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-07   5.916E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-07   3.718E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-07   2.339E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   1.474E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   9.311E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-06   5.890E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-06   3.731E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-06   2.348E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   1.478E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   9.320E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-05   5.888E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-05   3.724E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   2.355E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   1.487E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   9.392E-93    NH2+NH2->N2H2+H2    
300.0   1.259E-04   7.465E-93    NH2+NH2->N2H2+H2    
300.0   1.585E-04   5.932E-93    NH2+NH2->N2H2+H2    
300.0   1.995E-04   4.713E-93    NH2+NH2->N2H2+H2    
300.0   2.512E-04   3.744E-93    NH2+NH2->N2H2+H2    
300.0   3.162E-04   2.974E-93    NH2+NH2->N2H2+H2    
300.0   3.981E-04   2.361E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   1.875E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   1.488E-93    NH2+NH2->N2H2+H2    
300.0   7.943E-04   1.181E-93    NH2+NH2->N2H2+H2    
300.0   1.000E-03   9.391E-94    NH2+NH2->N2H2+H2    
300.0   1.259E-03   7.464E-94    NH2+NH2->N2H2+H2    
300.0   1.585E-03   5.932E-94    NH2+NH2->N2H2+H2    
300.0   1.995E-03   4.714E-94    NH2+NH2->N2H2+H2    
300.0   2.512E-03   3.745E-94    NH2+NH2->N2H2+H2    
300.0   3.162E-03   2.975E-94    NH2+NH2->N2H2+H2    
300.0   3.981E-03   2.363E-94    NH2+NH2->N2H2+H2    
300.0   5.012E-03   1.877E-94    NH2+NH2->N2H2+H2    
300.0   6.310E-03   1.490E-94    NH2+NH2->N2H2+H2    
300.0   7.943E-03   1.183E-94    NH2+NH2->N2H2+H2    
300.0   1.000E-02   9.391E-95    NH2+NH2->N2H2+H2    
300.0   1.259E-02   7.453E-95    NH2+NH2->N2H2+H2    
300.0   1.585E-02   5.924E-95    NH2+NH2->N2H2+H2    
300.0   1.995E-02   4.709E-95    NH2+NH2->N2H2+H2    
300.0   2.512E-02   3.743E-95    NH2+NH2->N2H2+H2    
300.0   3.162E-02   2.974E-95    NH2+NH2->N2H2+H2    
300.0   3.981E-02   2.363E-95    NH2+NH2->N2H2+H2    
300.0   5.012E-02   1.877E-95    NH2+NH2->N2H2+H2    
300.0   6.310E-02   1.491E-95    NH2+NH2->N2H2+H2    
300.0   7.943E-02   1.184E-95    NH2+NH2->N2H2+H2    
300.0   1.000E-01   9.404E-96    NH2+NH2->N2H2+H2    
300.0   1.259E-01   7.466E-96    NH2+NH2->N2H2+H2    
300.0   1.585E-01   5.926E-96    NH2+NH2->N2H2+H2    
300.0   1.995E-01   4.704E-96    NH2+NH2->N2H2+H2    
300.0   2.512E-01   3.737E-96    NH2+NH2->N2H2+H2    
300.0   3.162E-01   2.971E-96    NH2+NH2->N2H2+H2    
300.0   3.981E-01   2.361E-96    NH2+NH2->N2H2+H2    
300.0   5.012E-01   1.876E-96    NH2+NH2->N2H2+H2    
300.0   6.310E-01   1.491E-96    NH2+NH2->N2H2+H2    
