# For the net reaction CH4 + H2O -> CO + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.331E-79    CH3OH+H->CH3+H2O    
300.0   1.585E-08   1.058E-79    CH3OH+H->CH3+H2O    
300.0   2.512E-08   8.408E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-08   6.680E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-08   5.305E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-07   4.212E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-07   3.343E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-07   2.657E-80    CH3OH+H->CH3+H2O    
300.0   3.981E-07   2.112E-80    CH3OH+H->CH3+H2O    
300.0   6.310E-07   1.678E-80    CH3OH+H->CH3+H2O    
300.0   1.000E-06   1.333E-80    CH3OH+H->CH3+H2O    
300.0   1.585E-06   1.058E-80    CH3OH+H->CH3+H2O    
300.0   2.512E-06   8.399E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-06   6.674E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-06   5.304E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-05   4.215E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-05   3.348E-81    CH3OH+H->CH3+H2O    
300.0   2.512E-05   2.658E-81    CH3OH+H->CH3+H2O    
300.0   3.981E-05   2.110E-81    CH3OH+H->CH3+H2O    
300.0   6.310E-05   1.676E-81    CH3OH+H->CH3+H2O    
300.0   1.000E-04   1.332E-81    CH3OH+H->CH3+H2O    
300.0   1.259E-04   1.188E-81    CH3OH+H->CH3+H2O    
300.0   1.585E-04   1.059E-81    CH3OH+H->CH3+H2O    
300.0   1.995E-04   9.436E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-04   8.409E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-04   7.494E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-04   6.677E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-04   5.950E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-04   5.301E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-04   4.723E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-03   4.211E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-03   3.754E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-03   3.347E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-03   2.983E-82    CH3OH+H->CH3+H2O    
300.0   2.512E-03   2.659E-82    CH3OH+H->CH3+H2O    
300.0   3.162E-03   2.370E-82    CH3OH+H->CH3+H2O    
300.0   3.981E-03   2.112E-82    CH3OH+H->CH3+H2O    
300.0   5.012E-03   1.882E-82    CH3OH+H->CH3+H2O    
300.0   6.310E-03   1.677E-82    CH3OH+H->CH3+H2O    
300.0   7.943E-03   1.495E-82    CH3OH+H->CH3+H2O    
300.0   1.000E-02   1.332E-82    CH3OH+H->CH3+H2O    
300.0   1.259E-02   1.186E-82    CH3OH+H->CH3+H2O    
300.0   1.585E-02   1.058E-82    CH3OH+H->CH3+H2O    
300.0   1.995E-02   9.429E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-02   8.406E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-02   7.494E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-02   6.680E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-02   5.954E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-02   5.306E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-02   4.729E-83    CH3OH+H->CH3+H2O    
300.0   1.000E-01   4.214E-83    CH3OH+H->CH3+H2O    
300.0   1.259E-01   3.754E-83    CH3OH+H->CH3+H2O    
300.0   1.585E-01   3.345E-83    CH3OH+H->CH3+H2O    
300.0   1.995E-01   2.980E-83    CH3OH+H->CH3+H2O    
300.0   2.512E-01   2.656E-83    CH3OH+H->CH3+H2O    
300.0   3.162E-01   2.368E-83    CH3OH+H->CH3+H2O    
300.0   3.981E-01   2.111E-83    CH3OH+H->CH3+H2O    
300.0   5.012E-01   1.882E-83    CH3OH+H->CH3+H2O    
300.0   6.310E-01   1.678E-83    CH3OH+H->CH3+H2O    
300.0   7.943E-01   1.495E-83    CH3OH+H->CH3+H2O    
300.0   1.000E+00   1.333E-83    CH3OH+H->CH3+H2O    
300.0   1.259E+00   1.188E-83    CH3OH+H->CH3+H2O    
300.0   1.585E+00   1.058E-83    CH3OH+H->CH3+H2O    
300.0   1.995E+00   9.431E-84    CH3OH+H->CH3+H2O    
300.0   2.512E+00   8.403E-84    CH3OH+H->CH3+H2O    
300.0   3.162E+00   7.486E-84    CH3OH+H->CH3+H2O    
300.0   3.981E+00   6.672E-84    CH3OH+H->CH3+H2O    
300.0   5.012E+00   5.949E-84    CH3OH+H->CH3+H2O    
