# For the net reaction CH4 + NH3 -> HCN + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.297E-82    CH2NH2+H->CH2NH+H2  
300.0   1.585E-08   8.172E-83    CH2NH2+H->CH2NH+H2  
300.0   2.512E-08   5.151E-83    CH2NH2+H->CH2NH+H2  
300.0   3.981E-08   3.250E-83    CH2NH2+H->CH2NH+H2  
300.0   6.310E-08   2.051E-83    CH2NH2+H->CH2NH+H2  
300.0   1.000E-07   1.295E-83    CH2NH2+H->CH2NH+H2  
300.0   1.585E-07   8.184E-84    CH2NH2+H->CH2NH+H2  
300.0   2.512E-07   5.157E-84    CH2NH2+H->CH2NH+H2  
300.0   3.981E-07   3.251E-84    CH2NH2+H->CH2NH+H2  
300.0   6.310E-07   2.050E-84    CH2NH2+H->CH2NH+H2  
300.0   1.000E-06   1.294E-84    CH2NH2+H->CH2NH+H2  
300.0   1.585E-06   8.173E-85    CH2NH2+H->CH2NH+H2  
300.0   2.512E-06   5.163E-85    CH2NH2+H->CH2NH+H2  
300.0   3.981E-06   3.255E-85    CH2NH2+H->CH2NH+H2  
300.0   6.310E-06   2.052E-85    CH2NH2+H->CH2NH+H2  
300.0   1.000E-05   1.295E-85    CH2NH2+H->CH2NH+H2  
300.0   1.585E-05   8.176E-86    CH2NH2+H->CH2NH+H2  
300.0   2.512E-05   5.163E-86    CH2NH2+H->CH2NH+H2  
300.0   3.981E-05   3.259E-86    CH2NH2+H->CH2NH+H2  
300.0   6.310E-05   2.057E-86    CH2NH2+H->CH2NH+H2  
300.0   1.000E-04   1.300E-86    CH2NH2+H->CH2NH+H2  
300.0   1.259E-04   1.033E-86    CH2NH2+H->CH2NH+H2  
300.0   1.585E-04   8.206E-87    CH2NH2+H->CH2NH+H2  
300.0   1.995E-04   6.520E-87    CH2NH2+H->CH2NH+H2  
300.0   2.512E-04   5.179E-87    CH2NH2+H->CH2NH+H2  
300.0   3.162E-04   4.113E-87    CH2NH2+H->CH2NH+H2  
300.0   3.981E-04   3.266E-87    CH2NH2+H->CH2NH+H2  
300.0   5.012E-04   2.593E-87    CH2NH2+H->CH2NH+H2  
300.0   6.310E-04   2.058E-87    CH2NH2+H->CH2NH+H2  
