# For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.914E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.504E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.186E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   9.395E-68    HCN+OH->HNCO+H      
300.0   6.310E-08   7.472E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   5.973E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   4.800E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   3.782E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   2.982E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   2.361E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   1.877E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.499E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.204E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   9.518E-69    HCN+OH->HNCO+H      
300.0   6.310E-06   7.511E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   5.952E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   4.737E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   3.784E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.027E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   2.407E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   1.912E-69    HCN+OH->HNCO+H      
300.0   1.259E-04   1.705E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.521E-69    HCN+OH->HNCO+H      
300.0   1.995E-04   1.356E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.209E-69    HCN+OH->HNCO+H      
300.0   3.162E-04   1.077E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   9.603E-70    HCN+OH->HNCO+H      
300.0   5.012E-04   8.557E-70    HCN+OH->HNCO+H      
300.0   6.310E-04   7.624E-70    HCN+OH->HNCO+H      
300.0   7.943E-04   6.793E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   6.057E-70    HCN+OH->HNCO+H      
300.0   1.259E-03   5.400E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   4.814E-70    HCN+OH->HNCO+H      
300.0   1.995E-03   4.291E-70    HCN+OH->HNCO+H      
300.0   2.512E-03   3.825E-70    HCN+OH->HNCO+H      
300.0   3.162E-03   3.409E-70    HCN+OH->HNCO+H      
300.0   3.981E-03   3.038E-70    HCN+OH->HNCO+H      
300.0   5.012E-03   2.708E-70    HCN+OH->HNCO+H      
300.0   6.310E-03   2.413E-70    HCN+OH->HNCO+H      
300.0   7.943E-03   2.150E-70    HCN+OH->HNCO+H      
300.0   1.000E-02   1.915E-70    HCN+OH->HNCO+H      
300.0   1.259E-02   1.706E-70    HCN+OH->HNCO+H      
300.0   1.585E-02   1.521E-70    HCN+OH->HNCO+H      
300.0   1.995E-02   1.356E-70    HCN+OH->HNCO+H      
300.0   2.512E-02   1.209E-70    HCN+OH->HNCO+H      
300.0   3.162E-02   1.078E-70    HCN+OH->HNCO+H      
300.0   3.981E-02   9.608E-71    HCN+OH->HNCO+H      
300.0   5.012E-02   8.563E-71    HCN+OH->HNCO+H      
300.0   6.310E-02   7.632E-71    HCN+OH->HNCO+H      
300.0   7.943E-02   6.801E-71    HCN+OH->HNCO+H      
300.0   1.000E-01   6.061E-71    HCN+OH->HNCO+H      
300.0   1.259E-01   5.400E-71    HCN+OH->HNCO+H      
300.0   1.585E-01   4.812E-71    HCN+OH->HNCO+H      
300.0   1.995E-01   4.287E-71    HCN+OH->HNCO+H      
