# For the net reaction CH4 + CH4 -> C2H2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   3.588E-84    C2H4+M->C2H2+H2+M   
300.0   1.585E-08   1.433E-84    C2H4+M->C2H2+H2+M   
300.0   2.512E-08   5.720E-85    C2H4+M->C2H2+H2+M   
300.0   3.981E-08   2.280E-85    C2H4+M->C2H2+H2+M   
300.0   6.310E-08   9.073E-86    C2H4+M->C2H2+H2+M   
300.0   1.000E-07   3.606E-86    C2H4+M->C2H2+H2+M   
300.0   1.585E-07   1.431E-86    C2H4+M->C2H2+H2+M   
300.0   2.512E-07   5.711E-87    C2H4+M->C2H2+H2+M   
300.0   3.981E-07   2.278E-87    C2H4+M->C2H2+H2+M   
300.0   6.310E-07   9.078E-88    C2H4+M->C2H2+H2+M   
300.0   1.000E-06   3.613E-88    C2H4+M->C2H2+H2+M   
300.0   1.585E-06   1.436E-88    C2H4+M->C2H2+H2+M   
300.0   2.512E-06   5.701E-89    C2H4+M->C2H2+H2+M   
300.0   3.981E-06   2.273E-89    C2H4+M->C2H2+H2+M   
300.0   6.310E-06   9.069E-90    C2H4+M->C2H2+H2+M   
300.0   1.000E-05   3.614E-90    C2H4+M->C2H2+H2+M   
300.0   1.585E-05   1.439E-90    C2H4+M->C2H2+H2+M   
300.0   2.512E-05   5.720E-91    C2H4+M->C2H2+H2+M   
300.0   3.981E-05   2.271E-91    C2H4+M->C2H2+H2+M   
300.0   6.310E-05   9.048E-92    C2H4+M->C2H2+H2+M   
300.0   1.000E-04   3.610E-92    C2H4+M->C2H2+H2+M   
300.0   1.259E-04   2.280E-92    C2H4+M->C2H2+H2+M   
300.0   1.585E-04   1.439E-92    C2H4+M->C2H2+H2+M   
300.0   1.995E-04   9.081E-93    C2H4+M->C2H2+H2+M   
300.0   2.512E-04   5.729E-93    C2H4+M->C2H2+H2+M   
300.0   3.162E-04   3.613E-93    C2H4+M->C2H2+H2+M   
300.0   3.981E-04   2.278E-93    C2H4+M->C2H2+H2+M   
300.0   5.012E-04   1.436E-93    C2H4+M->C2H2+H2+M   
300.0   6.310E-04   9.044E-94    C2H4+M->C2H2+H2+M   
300.0   7.943E-04   5.698E-94    C2H4+M->C2H2+H2+M   
300.0   1.000E-03   3.601E-94    C2H4+M->C2H2+H2+M   
300.0   1.259E-03   2.275E-94    C2H4+M->C2H2+H2+M   
