# For the net reaction CO + NH3 -> HCN + H2O
T           Pbar    rate const            Reaction
300.0   1.000E-08   1.916E-67    HCN+OH->HNCO+H      
300.0   1.585E-08   1.505E-67    HCN+OH->HNCO+H      
300.0   2.512E-08   1.187E-67    HCN+OH->HNCO+H      
300.0   3.981E-08   9.401E-68    HCN+OH->HNCO+H      
300.0   6.310E-08   7.477E-68    HCN+OH->HNCO+H      
300.0   1.000E-07   5.977E-68    HCN+OH->HNCO+H      
300.0   1.585E-07   4.803E-68    HCN+OH->HNCO+H      
300.0   2.512E-07   3.785E-68    HCN+OH->HNCO+H      
300.0   3.981E-07   2.984E-68    HCN+OH->HNCO+H      
300.0   6.310E-07   2.362E-68    HCN+OH->HNCO+H      
300.0   1.000E-06   1.878E-68    HCN+OH->HNCO+H      
300.0   1.585E-06   1.500E-68    HCN+OH->HNCO+H      
300.0   2.512E-06   1.205E-68    HCN+OH->HNCO+H      
300.0   3.981E-06   9.524E-69    HCN+OH->HNCO+H      
300.0   6.310E-06   7.515E-69    HCN+OH->HNCO+H      
300.0   1.000E-05   5.956E-69    HCN+OH->HNCO+H      
300.0   1.585E-05   4.740E-69    HCN+OH->HNCO+H      
300.0   2.512E-05   3.786E-69    HCN+OH->HNCO+H      
300.0   3.981E-05   3.029E-69    HCN+OH->HNCO+H      
300.0   6.310E-05   2.408E-69    HCN+OH->HNCO+H      
300.0   1.000E-04   1.914E-69    HCN+OH->HNCO+H      
300.0   1.259E-04   1.706E-69    HCN+OH->HNCO+H      
300.0   1.585E-04   1.522E-69    HCN+OH->HNCO+H      
300.0   1.995E-04   1.357E-69    HCN+OH->HNCO+H      
300.0   2.512E-04   1.210E-69    HCN+OH->HNCO+H      
300.0   3.162E-04   1.078E-69    HCN+OH->HNCO+H      
300.0   3.981E-04   9.609E-70    HCN+OH->HNCO+H      
300.0   5.012E-04   8.562E-70    HCN+OH->HNCO+H      
300.0   6.310E-04   7.629E-70    HCN+OH->HNCO+H      
300.0   7.943E-04   6.797E-70    HCN+OH->HNCO+H      
300.0   1.000E-03   6.060E-70    HCN+OH->HNCO+H      
300.0   1.259E-03   5.403E-70    HCN+OH->HNCO+H      
300.0   1.585E-03   4.817E-70    HCN+OH->HNCO+H      
300.0   1.995E-03   4.294E-70    HCN+OH->HNCO+H      
300.0   2.512E-03   3.827E-70    HCN+OH->HNCO+H      
300.0   3.162E-03   3.411E-70    HCN+OH->HNCO+H      
300.0   3.981E-03   3.040E-70    HCN+OH->HNCO+H      
300.0   5.012E-03   2.709E-70    HCN+OH->HNCO+H      
300.0   6.310E-03   2.414E-70    HCN+OH->HNCO+H      
300.0   7.943E-03   2.151E-70    HCN+OH->HNCO+H      
300.0   1.000E-02   1.917E-70    HCN+OH->HNCO+H      
300.0   1.259E-02   1.707E-70    HCN+OH->HNCO+H      
300.0   1.585E-02   1.522E-70    HCN+OH->HNCO+H      
300.0   1.995E-02   1.357E-70    HCN+OH->HNCO+H      
300.0   2.512E-02   1.210E-70    HCN+OH->HNCO+H      
300.0   3.162E-02   1.079E-70    HCN+OH->HNCO+H      
300.0   3.981E-02   9.614E-71    HCN+OH->HNCO+H      
300.0   5.012E-02   8.569E-71    HCN+OH->HNCO+H      
300.0   6.310E-02   7.637E-71    HCN+OH->HNCO+H      
300.0   7.943E-02   6.806E-71    HCN+OH->HNCO+H      
300.0   1.000E-01   6.065E-71    HCN+OH->HNCO+H      
300.0   1.259E-01   5.404E-71    HCN+OH->HNCO+H      
300.0   1.585E-01   4.814E-71    HCN+OH->HNCO+H      
300.0   1.995E-01   4.289E-71    HCN+OH->HNCO+H      
300.0   2.512E-01   3.823E-71    HCN+OH->HNCO+H      
300.0   3.162E-01   3.409E-71    HCN+OH->HNCO+H      
300.0   3.981E-01   3.039E-71    HCN+OH->HNCO+H      
300.0   5.012E-01   2.709E-71    HCN+OH->HNCO+H      
300.0   6.310E-01   2.415E-71    HCN+OH->HNCO+H      
300.0   7.943E-01   2.152E-71    HCN+OH->HNCO+H      
300.0   1.000E+00   1.918E-71    HCN+OH->HNCO+H      
300.0   1.259E+00   1.710E-71    HCN+OH->HNCO+H      
300.0   1.585E+00   1.523E-71    HCN+OH->HNCO+H      
300.0   1.995E+00   1.357E-71    HCN+OH->HNCO+H      
300.0   2.512E+00   1.209E-71    HCN+OH->HNCO+H      
300.0   3.162E+00   1.077E-71    HCN+OH->HNCO+H      
300.0   3.981E+00   9.603E-72    HCN+OH->HNCO+H      
300.0   5.012E+00   8.562E-72    HCN+OH->HNCO+H      
300.0   6.310E+00   7.633E-72    HCN+OH->HNCO+H      
300.0   7.943E+00   6.804E-72    HCN+OH->HNCO+H      
300.0   1.000E+01   6.066E-72    HCN+OH->HNCO+H      
300.0   1.259E+01   5.406E-72    HCN+OH->HNCO+H      
300.0   1.585E+01   4.819E-72    HCN+OH->HNCO+H      
300.0   1.995E+01   4.294E-72    HCN+OH->HNCO+H      
300.0   2.512E+01   3.827E-72    HCN+OH->HNCO+H      
300.0   3.162E+01   3.410E-72    HCN+OH->HNCO+H      
300.0   3.981E+01   3.038E-72    HCN+OH->HNCO+H      
300.0   5.012E+01   2.707E-72    HCN+OH->HNCO+H      
300.0   6.310E+01   2.412E-72    HCN+OH->HNCO+H      
300.0   7.943E+01   2.150E-72    HCN+OH->HNCO+H      
300.0   1.000E+02   1.917E-72    HCN+OH->HNCO+H      
300.0   1.259E+02   1.709E-72    HCN+OH->HNCO+H      
300.0   1.585E+02   1.524E-72    HCN+OH->HNCO+H      
300.0   1.995E+02   1.358E-72    HCN+OH->HNCO+H      
300.0   2.512E+02   1.210E-72    HCN+OH->HNCO+H      
300.0   3.162E+02   1.079E-72    HCN+OH->HNCO+H      
300.0   3.981E+02   9.613E-73    HCN+OH->HNCO+H      
300.0   5.012E+02   8.566E-73    HCN+OH->HNCO+H      
300.0   6.310E+02   9.457E-73    CH2NH2+OH->CH2OH+NH2
300.0   7.943E+02   1.197E-72    CH2NH2+OH->CH2OH+NH2
