# For the net reaction NH3 + NH3 -> N2 + H2 + H2 + H2
T           Pbar    rate const            Reaction
300.0   1.000E-08   7.272E-89    N+NH3->N2H+H2       
300.0   1.585E-08   3.636E-89    N+NH3->N2H+H2       
300.0   2.512E-08   3.714E-89    NH2+NH2->N2H2+H2    
300.0   3.981E-08   2.342E-89    NH2+NH2->N2H2+H2    
300.0   6.310E-08   1.479E-89    NH2+NH2->N2H2+H2    
300.0   1.000E-07   9.357E-90    NH2+NH2->N2H2+H2    
300.0   1.585E-07   5.929E-90    NH2+NH2->N2H2+H2    
300.0   2.512E-07   3.726E-90    NH2+NH2->N2H2+H2    
300.0   3.981E-07   2.344E-90    NH2+NH2->N2H2+H2    
300.0   6.310E-07   1.478E-90    NH2+NH2->N2H2+H2    
300.0   1.000E-06   9.332E-91    NH2+NH2->N2H2+H2    
300.0   1.585E-06   5.902E-91    NH2+NH2->N2H2+H2    
300.0   2.512E-06   3.739E-91    NH2+NH2->N2H2+H2    
300.0   3.981E-06   2.353E-91    NH2+NH2->N2H2+H2    
300.0   6.310E-06   1.481E-91    NH2+NH2->N2H2+H2    
300.0   1.000E-05   9.340E-92    NH2+NH2->N2H2+H2    
300.0   1.585E-05   5.901E-92    NH2+NH2->N2H2+H2    
300.0   2.512E-05   3.732E-92    NH2+NH2->N2H2+H2    
300.0   3.981E-05   2.360E-92    NH2+NH2->N2H2+H2    
300.0   6.310E-05   1.490E-92    NH2+NH2->N2H2+H2    
300.0   1.000E-04   9.412E-93    NH2+NH2->N2H2+H2    
300.0   1.259E-04   7.481E-93    NH2+NH2->N2H2+H2    
300.0   1.585E-04   5.945E-93    NH2+NH2->N2H2+H2    
300.0   1.995E-04   4.723E-93    NH2+NH2->N2H2+H2    
300.0   2.512E-04   3.752E-93    NH2+NH2->N2H2+H2    
300.0   3.162E-04   2.980E-93    NH2+NH2->N2H2+H2    
300.0   3.981E-04   2.366E-93    NH2+NH2->N2H2+H2    
300.0   5.012E-04   1.879E-93    NH2+NH2->N2H2+H2    
300.0   6.310E-04   1.491E-93    NH2+NH2->N2H2+H2    
300.0   7.943E-04   1.184E-93    NH2+NH2->N2H2+H2    
300.0   1.000E-03   9.411E-94    NH2+NH2->N2H2+H2    
300.0   1.259E-03   7.480E-94    NH2+NH2->N2H2+H2    
300.0   1.585E-03   5.945E-94    NH2+NH2->N2H2+H2    
300.0   1.995E-03   4.724E-94    NH2+NH2->N2H2+H2    
300.0   2.512E-03   3.753E-94    NH2+NH2->N2H2+H2    
300.0   3.162E-03   2.982E-94    NH2+NH2->N2H2+H2    
300.0   3.981E-03   2.368E-94    NH2+NH2->N2H2+H2    
300.0   5.012E-03   1.881E-94    NH2+NH2->N2H2+H2    
300.0   6.310E-03   1.493E-94    NH2+NH2->N2H2+H2    
300.0   7.943E-03   1.186E-94    NH2+NH2->N2H2+H2    
300.0   1.000E-02   9.412E-95    NH2+NH2->N2H2+H2    
300.0   1.259E-02   7.469E-95    NH2+NH2->N2H2+H2    
300.0   1.585E-02   5.937E-95    NH2+NH2->N2H2+H2    
300.0   1.995E-02   4.719E-95    NH2+NH2->N2H2+H2    
300.0   2.512E-02   3.751E-95    NH2+NH2->N2H2+H2    
300.0   3.162E-02   2.980E-95    NH2+NH2->N2H2+H2    
300.0   3.981E-02   2.368E-95    NH2+NH2->N2H2+H2    
300.0   5.012E-02   1.881E-95    NH2+NH2->N2H2+H2    
300.0   6.310E-02   1.494E-95    NH2+NH2->N2H2+H2    
300.0   7.943E-02   1.187E-95    NH2+NH2->N2H2+H2    
300.0   1.000E-01   9.424E-96    NH2+NH2->N2H2+H2    
300.0   1.259E-01   7.482E-96    NH2+NH2->N2H2+H2    
300.0   1.585E-01   5.939E-96    NH2+NH2->N2H2+H2    
300.0   1.995E-01   4.714E-96    NH2+NH2->N2H2+H2    
300.0   2.512E-01   3.745E-96    NH2+NH2->N2H2+H2    
300.0   3.162E-01   2.977E-96    NH2+NH2->N2H2+H2    
300.0   3.981E-01   2.366E-96    NH2+NH2->N2H2+H2    
300.0   5.012E-01   1.880E-96    NH2+NH2->N2H2+H2    
300.0   6.310E-01   1.494E-96    NH2+NH2->N2H2+H2    
300.0   7.943E-01   1.187E-96    NH2+NH2->N2H2+H2    
300.0   1.000E+00   9.429E-97    NH2+NH2->N2H2+H2    
300.0   1.259E+00   7.488E-97    NH2+NH2->N2H2+H2    
300.0   1.585E+00   5.946E-97    NH2+NH2->N2H2+H2    
300.0   1.995E+00   4.721E-97    NH2+NH2->N2H2+H2    
300.0   2.512E+00   3.748E-97    NH2+NH2->N2H2+H2    
300.0   3.162E+00   2.975E-97    NH2+NH2->N2H2+H2    
300.0   3.981E+00   2.363E-97    NH2+NH2->N2H2+H2    
300.0   5.012E+00   1.878E-97    NH2+NH2->N2H2+H2    
300.0   6.310E+00   1.493E-97    NH2+NH2->N2H2+H2    
300.0   7.943E+00   1.186E-97    NH2+NH2->N2H2+H2    
300.0   1.000E+01   9.427E-98    NH2+NH2->N2H2+H2    
300.0   1.259E+01   7.489E-98    NH2+NH2->N2H2+H2    
300.0   1.585E+01   5.949E-98    NH2+NH2->N2H2+H2    
300.0   1.995E+01   4.725E-98    NH2+NH2->N2H2+H2    
300.0   2.512E+01   3.752E-98    NH2+NH2->N2H2+H2    
300.0   3.162E+01   2.979E-98    NH2+NH2->N2H2+H2    
300.0   3.981E+01   2.365E-98    NH2+NH2->N2H2+H2    
300.0   5.012E+01   1.877E-98    NH2+NH2->N2H2+H2    
300.0   6.310E+01   1.490E-98    NH2+NH2->N2H2+H2    
300.0   7.943E+01   5.521E-99    N2H2+H->N2H+H2      
300.0   1.000E+02   3.915E-99    N2H2+H->N2H+H2      
300.0   1.259E+02   2.775E-99    N2H2+H->N2H+H2      
300.0   1.585E+02   1.966E-99    N2H2+H->N2H+H2      
300.0   1.995E+02   1.393E-99    N2H2+H->N2H+H2      
300.0   2.512E+02  9.863E-100    N2H2+H->N2H+H2      
300.0   3.162E+02  6.981E-100    N2H2+H->N2H+H2      
300.0   3.981E+02  4.940E-100    N2H2+H->N2H+H2      
300.0   5.012E+02  3.494E-100    N2H2+H->N2H+H2      
300.0   6.310E+02  2.470E-100    N2H2+H->N2H+H2      
300.0   7.943E+02  1.745E-100    N2H2+H->N2H+H2      
300.0   1.000E+03  1.233E-100    N2H2+H->N2H+H2      
350.0   1.000E-08   5.997E-75    N+NH3->N2H+H2       
350.0   1.585E-08   2.998E-75    N+NH3->N2H+H2       
350.0   2.512E-08   1.501E-75    N+NH3->N2H+H2       
350.0   3.981E-08   7.519E-76    N+NH3->N2H+H2       
350.0   6.310E-08   3.770E-76    N+NH3->N2H+H2       
350.0   1.000E-07   1.892E-76    N+NH3->N2H+H2       
350.0   1.585E-07   9.504E-77    N+NH3->N2H+H2       
350.0   2.512E-07   4.754E-77    N+NH3->N2H+H2       
